"2020-10-07";"00:17:00";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"21:00:01";"SCHS";"";"Chart start ";""
"5";"2020-10-06";"21:00:02";"C";"";"File Nr. 402 | File Dev. ID #1, DIVING-PAM-II:  ";""
"10";"2020-10-06";"21:00:02";"SCHE";"";"Chart stop ";""
"16000";"2020-10-06";"21:00:17";"SCHS";"";"Chart start ";""
"16005";"2020-10-06";"21:00:18";"C";"";"File Nr. 403 | File Dev. ID #1, DIVING-PAM-II:  ";""
"38005";"2020-10-06";"21:00:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"76005";"2020-10-06";"21:01:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"87965";"2020-10-06";"21:01:29";"F";"9702";"3";"13";"0";"-";"-"
"91005";"2020-10-06";"21:01:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"95125";"2020-10-06";"21:01:37";"F";"9703";"5";"18";"0";"-";"-"
"99005";"2020-10-06";"21:01:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"112435";"2020-10-06";"21:01:54";"F";"9704";"13";"13";"0";"-";"-"
"116005";"2020-10-06";"21:01:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"125965";"2020-10-06";"21:02:07";"F";"9705";"14";"21";"0";"-";"-"
"129005";"2020-10-06";"21:02:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"132905";"2020-10-06";"21:02:14";"F";"9706";"10";"16";"0";"-";"-"
"136005";"2020-10-06";"21:02:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"141175";"2020-10-06";"21:02:23";"F";"9707";"0";"14";"0";"-";"-"
"145005";"2020-10-06";"21:02:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"155225";"2020-10-06";"21:02:37";"F";"9708";"6";"19";"0";"-";"-"
"159005";"2020-10-06";"21:02:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"162265";"2020-10-06";"21:02:44";"F";"9709";"5";"22";"0";"-";"-"
"166005";"2020-10-06";"21:02:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"170075";"2020-10-06";"21:02:52";"F";"9710";"3";"16";"0";"-";"-"
"174005";"2020-10-06";"21:02:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"182835";"2020-10-06";"21:03:04";"F";"9711";"5";"16";"0";"-";"-"
"186005";"2020-10-06";"21:03:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"193625";"2020-10-06";"21:03:15";"F";"9712";"9";"16";"0";"-";"-"
"197005";"2020-10-06";"21:03:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"201905";"2020-10-06";"21:03:23";"F";"9713";"3";"18";"0";"-";"-"
"205005";"2020-10-06";"21:03:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"209875";"2020-10-06";"21:03:31";"F";"9714";"0";"17";"0";"-";"-"
"213005";"2020-10-06";"21:03:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"216245";"2020-10-06";"21:03:38";"F";"9715";"5";"16";"0";"-";"-"
"220005";"2020-10-06";"21:03:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"226955";"2020-10-06";"21:03:48";"F";"9716";"1";"16";"0";"-";"-"
"230005";"2020-10-06";"21:03:52";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"235545";"2020-10-06";"21:03:57";"F";"9717";"9";"14";"0";"-";"-"
"239005";"2020-10-06";"21:04:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"242385";"2020-10-06";"21:04:04";"F";"9718";"9";"15";"0";"-";"-"
"246005";"2020-10-06";"21:04:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"252325";"2020-10-06";"21:04:14";"F";"9719";"7";"16";"0";"-";"-"
"256005";"2020-10-06";"21:04:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"262925";"2020-10-06";"21:04:24";"F";"9720";"10";"16";"0";"-";"-"
"266005";"2020-10-06";"21:04:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"271295";"2020-10-06";"21:04:33";"F";"9721";"7";"12";"0";"-";"-"
"275005";"2020-10-06";"21:04:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"279415";"2020-10-06";"21:04:41";"F";"9722";"7";"19";"0";"-";"-"
"283005";"2020-10-06";"21:04:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"289935";"2020-10-06";"21:04:51";"F";"9723";"9";"14";"0";"-";"-"
"289940";"2020-10-06";"21:04:51";"SCHE";"";"Chart stop ";""
"293005";"2020-10-06";"21:04:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"366000";"2020-10-06";"21:06:07";"SCHS";"";"Chart start ";""
"366005";"2020-10-06";"21:06:08";"C";"";"File Nr. 404 | File Dev. ID #1, DIVING-PAM-II:  ";""
"411395";"2020-10-06";"21:06:53";"F";"9724";"128";"266";"0";"0.519";"0.0"
"416005";"2020-10-06";"21:06:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"420585";"2020-10-06";"21:07:02";"F";"9725";"99";"186";"0";"0.468";"0.0"
"425005";"2020-10-06";"21:07:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"485215";"2020-10-06";"21:08:07";"F";"9726";"131";"310";"0";"0.577";"0.0"
"489005";"2020-10-06";"21:08:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"499405";"2020-10-06";"21:08:21";"F";"9727";"46";"113";"0";"0.593";"0.0"
"504005";"2020-10-06";"21:08:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"509605";"2020-10-06";"21:08:31";"F";"9728";"289";"561";"0";"0.485";"0.0"
"514005";"2020-10-06";"21:08:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"528935";"2020-10-06";"21:08:50";"F";"9729";"824";"1594";"0";"0.483";"0.0"
"532005";"2020-10-06";"21:08:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"538215";"2020-10-06";"21:09:00";"F";"9730";"708";"1793";"0";"0.605";"0.0"
"543005";"2020-10-06";"21:09:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"547715";"2020-10-06";"21:09:09";"F";"9731";"775";"1780";"0";"0.565";"0.0"
"551005";"2020-10-06";"21:09:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"566375";"2020-10-06";"21:09:28";"F";"9732";"367";"859";"0";"0.573";"0.0"
"570005";"2020-10-06";"21:09:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"573985";"2020-10-06";"21:09:35";"F";"9733";"447";"1070";"0";"0.582";"0.0"
"578005";"2020-10-06";"21:09:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"579085";"2020-10-06";"21:09:41";"F";"9734";"380";"974";"0";"0.610";"0.0"
"584005";"2020-10-06";"21:09:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"588175";"2020-10-06";"21:09:50";"F";"9735";"119";"276";"0";"0.569";"0.0"
"592005";"2020-10-06";"21:09:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"619775";"2020-10-06";"21:10:21";"F";"9736";"243";"534";"0";"0.545";"0.0"
"624005";"2020-10-06";"21:10:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"638975";"2020-10-06";"21:10:40";"F";"9737";"228";"467";"0";"0.512";"0.0"
"643005";"2020-10-06";"21:10:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"648835";"2020-10-06";"21:10:50";"F";"9738";"423";"1238";"0";"0.658";"0.0"
"653005";"2020-10-06";"21:10:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"655485";"2020-10-06";"21:10:57";"F";"9739";"564";"1349";"0";"0.582";"0.0"
"659005";"2020-10-06";"21:11:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"664925";"2020-10-06";"21:11:06";"F";"9740";"775";"1636";"0";"0.526";"0.0"
"669005";"2020-10-06";"21:11:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"675385";"2020-10-06";"21:11:17";"F";"9741";"690";"1460";"0";"0.527";"0.0"
"680005";"2020-10-06";"21:11:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"688865";"2020-10-06";"21:11:30";"F";"9742";"634";"1849";"0";"0.657";"0.0"
"693005";"2020-10-06";"21:11:35";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"695885";"2020-10-06";"21:11:37";"F";"9743";"543";"1736";"0";"0.687";"0.0"
"700005";"2020-10-06";"21:11:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"705055";"2020-10-06";"21:11:47";"F";"9744";"599";"1153";"0";"0.480";"0.0"
"709005";"2020-10-06";"21:11:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"715895";"2020-10-06";"21:11:57";"F";"9745";"276";"1302";"0";"0.788";"0.0"
"719005";"2020-10-06";"21:12:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"729305";"2020-10-06";"21:12:11";"F";"9746";"417";"930";"0";"0.552";"0.0"
"734005";"2020-10-06";"21:12:16";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"756955";"2020-10-06";"21:12:38";"F";"9747";"417";"877";"0";"0.525";"0.0"
"761005";"2020-10-06";"21:12:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"763545";"2020-10-06";"21:12:45";"F";"9748";"501";"1215";"0";"0.588";"0.0"
"768005";"2020-10-06";"21:12:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"769275";"2020-10-06";"21:12:51";"F";"9749";"391";"1902";"0";"0.794";"0.0"
"773005";"2020-10-06";"21:12:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"777685";"2020-10-06";"21:12:59";"F";"9750";"929";"2032";"0";"0.543";"0.0"
"782005";"2020-10-06";"21:13:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"799145";"2020-10-06";"21:13:21";"F";"9751";"458";"1008";"0";"0.546";"0.0"
"804005";"2020-10-06";"21:13:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"814185";"2020-10-06";"21:13:36";"F";"9752";"338";"744";"0";"0.546";"0.0"
"819005";"2020-10-06";"21:13:41";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"822435";"2020-10-06";"21:13:44";"F";"9753";"292";"683";"0";"0.572";"0.0"
"827005";"2020-10-06";"21:13:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"834205";"2020-10-06";"21:13:56";"F";"9754";"407";"982";"0";"0.586";"0.0"
"839005";"2020-10-06";"21:14:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"841925";"2020-10-06";"21:14:03";"F";"9755";"373";"883";"0";"0.578";"0.0"
"846005";"2020-10-06";"21:14:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"847925";"2020-10-06";"21:14:09";"F";"9756";"271";"802";"0";"0.662";"0.0"
"852005";"2020-10-06";"21:14:14";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"853415";"2020-10-06";"21:14:15";"F";"9757";"351";"834";"0";"0.579";"0.0"
"858005";"2020-10-06";"21:14:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"858965";"2020-10-06";"21:14:20";"F";"9758";"254";"758";"0";"0.665";"0.0"
"863005";"2020-10-06";"21:14:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"866565";"2020-10-06";"21:14:28";"F";"9759";"288";"674";"0";"0.573";"0.0"
"871005";"2020-10-06";"21:14:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"877035";"2020-10-06";"21:14:39";"F";"9760";"359";"825";"0";"0.565";"0.0"
"882005";"2020-10-06";"21:14:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"884725";"2020-10-06";"21:14:46";"F";"9761";"295";"924";"0";"0.681";"0.0"
"888005";"2020-10-06";"21:14:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
