geno,rec,f,fm,fvfm,tank_id,tank_set,max_temp
25,9229,467,1136,0.589,S7,starboard,32
25,9230,496,1254,0.604,S7,starboard,32
162,9231,176,423,0.584,S7,starboard,32
162,9232,170,387,0.561,S7,starboard,32
21,9233,340,786,0.567,S7,starboard,32
21,9234,324,868,0.627,S7,starboard,32
150,9235,293,723,0.595,S7,starboard,32
150,9236,253,671,0.623,S7,starboard,32
28,9237,336,1068,0.685,S7,starboard,32
28,9239,308,980,0.686,S7,starboard,32
11,9240,430,1052,0.591,S7,starboard,32
11,9241,377,932,0.595,S7,starboard,32
CN3,9242,261,606,0.569,S7,starboard,32
CN3,9243,240,634,0.621,S7,starboard,32
182,9244,256,648,0.605,S7,starboard,32
182,9245,303,673,0.55,S7,starboard,32
174,9246,233,575,0.595,S7,starboard,32
174,9247,103,262,0.607,S7,starboard,32
166,9248,365,924,0.605,S7,starboard,32
166,9249,341,921,0.63,S7,starboard,32
167,9250,375,873,0.57,S7,starboard,32
167,9251,426,1010,0.578,S7,starboard,32
176B,9252,179,526,0.66,S7,starboard,32
176B,9253,234,631,0.629,S7,starboard,32
171,9254,375,1072,0.65,S7,starboard,32
171,9255,287,887,0.676,S7,starboard,32
173,9256,201,591,0.66,S7,starboard,32
173,9257,190,329,0.422,S7,starboard,32
CN2,9258,350,809,0.567,S7,starboard,32
CN2,9259,377,890,0.576,S7,starboard,32
175,9260,286,639,0.552,S7,starboard,32
175,9261,216,497,0.565,S7,starboard,32
156,9262,331,964,0.657,S7,starboard,32
156,9263,158,522,0.697,S7,starboard,32
170B,9264,224,553,0.595,S7,starboard,32
170B,9266,276,856,0.678,S7,starboard,32
165,9267,251,682,0.632,S7,starboard,32
165,9268,220,796,0.724,S7,starboard,32
161,9269,149,332,0.551,S7,starboard,32
161,9270,170,529,0.679,S7,starboard,32
154,9271,212,717,0.704,S7,starboard,32
154,9272,308,942,0.673,S7,starboard,32
163,9273,253,635,0.602,P7,port,32
163,9274,238,649,0.633,P7,port,32
168,9275,359,975,0.632,P7,port,32
168,9276,417,1201,0.653,P7,port,32
PK10,9277,288,660,0.564,P7,port,32
PK10,9278,480,1086,0.558,P7,port,32
178,9279,308,773,0.602,P7,port,32
178,9280,364,948,0.616,P7,port,32
26,9281,61,178,0.657,P7,port,32
26,9282,237,416,0.43,P7,port,32
159,9283,241,618,0.61,P7,port,32
159,9284,331,847,0.609,P7,port,32
170A,9285,128,298,0.57,P7,port,32
170A,9286,318,812,0.608,P7,port,32
172,9287,312,738,0.577,P7,port,32
172,9288,339,831,0.592,P7,port,32
155,9289,288,690,0.583,P7,port,32
155,9290,316,707,0.553,P7,port,32
10,9291,322,761,0.577,P7,port,32
10,9292,338,783,0.568,P7,port,32
183,9293,375,1035,0.638,P7,port,32
183,9294,349,942,0.63,P7,port,32
160,9295,325,778,0.582,P7,port,32
160,9296,382,984,0.612,P7,port,32
CN4,9297,290,839,0.654,P7,port,32
CN4,9298,377,913,0.587,P7,port,32
176A,9299,260,694,0.625,P7,port,32
176A,9300,324,919,0.647,P7,port,32
179,9301,298,706,0.578,P7,port,32
179,9302,442,1101,0.599,P7,port,32
M3,9303,376,1243,0.698,P7,port,32
M3,9304,450,1166,0.614,P7,port,32
157,9305,365,1065,0.657,P7,port,32
157,9306,227,707,0.679,P7,port,32
153,9307,214,747,0.714,P7,port,32
153,9308,292,935,0.688,P7,port,32
164,9309,351,961,0.635,P7,port,32
164,9310,404,1107,0.635,P7,port,32
HS1,9311,282,1020,0.724,P7,port,32
HS1,9312,377,1124,0.665,P7,port,32
M2,9313,315,1042,0.698,P7,port,32
M2,9314,393,1230,0.68,P7,port,32
163,9359,116,153,0.242,P2,port,36
163,9360,102,187,0.455,P2,port,36
168,9361,237,386,0.386,P2,port,36
168,9362,135,220,0.386,P2,port,36
PK10,9320,144,272,0.471,P2,port,36
PK10,9321,180,341,0.472,P2,port,36
178,9322,76,156,0.513,P2,port,36
178,9323,143,287,0.502,P2,port,36
26,9324,467,655,0.287,P2,port,36
26,9325,423,613,0.31,P2,port,36
159,9326,232,510,0.545,P2,port,36
159,9327,142,319,0.555,P2,port,36
170A,9328,421,588,0.284,P2,port,36
170A,9329,381,629,0.394,P2,port,36
172,9330,74,139,0.468,P2,port,36
172,9332,42,78,0.462,P2,port,36
155,9333,274,382,0.283,P2,port,36
155,9334,287,418,0.313,P2,port,36
10,9335,292,477,0.388,P2,port,36
10,9336,269,460,0.415,P2,port,36
183,9337,356,766,0.535,P2,port,36
183,9338,234,434,0.461,P2,port,36
160,9339,140,279,0.498,P2,port,36
160,9340,242,377,0.358,P2,port,36
CN4,9341,491,841,0.416,P2,port,36
CN4,9342,395,674,0.414,P2,port,36
176A,9343,188,256,0.266,P2,port,36
176A,9344,46,58,0.207,P2,port,36
179,9345,280,497,0.437,P2,port,36
179,9346,278,417,0.333,P2,port,36
M3,9347,249,511,0.513,P2,port,36
M3,9348,174,473,0.632,P2,port,36
157,9349,236,454,0.48,P2,port,36
157,9350,252,446,0.435,P2,port,36
153,9351,365,766,0.523,P2,port,36
153,9352,260,551,0.528,P2,port,36
164,9353,430,880,0.511,P2,port,36
164,9354,350,819,0.573,P2,port,36
HS1,9355,349,701,0.502,P2,port,36
HS1,9356,338,684,0.506,P2,port,36
M2,9357,103,215,0.521,P2,port,36
M2,9358,119,260,0.542,P2,port,36
25,9386,62,151,0.589,S3,starboard,36
25,9387,79,212,0.627,S3,starboard,36
162,9388,133,243,0.453,S3,starboard,36
162,9389,242,355,0.318,S3,starboard,36
21,9390,219,410,0.466,S3,starboard,36
21,9391,301,401,0.249,S3,starboard,36
150,9392,340,727,0.532,S3,starboard,36
150,9393,173,380,0.545,S3,starboard,36
28,9394,78,108,0.278,S3,starboard,36
28,9395,60,112,0.464,S3,starboard,36
11,9396,323,613,0.473,S3,starboard,36
11,9397,165,336,0.509,S3,starboard,36
CN3,9398,407,548,0.257,S3,starboard,36
CN3,9399,361,569,0.366,S3,starboard,36
182,9400,191,428,0.554,S3,starboard,36
182,9401,186,335,0.445,S3,starboard,36
174,9402,38,75,0.493,S3,starboard,36
174,9403,140,207,0.324,S3,starboard,36
166,9404,242,426,0.432,S3,starboard,36
166,9405,422,732,0.423,S3,starboard,36
167,9406,362,472,0.233,S3,starboard,36
167,9407,382,508,0.248,S3,starboard,36
176B,9408,234,382,0.387,S3,starboard,36
176B,9409,182,303,0.399,S3,starboard,36
171,9410,268,523,0.488,S3,starboard,36
171,9411,275,570,0.518,S3,starboard,36
173,9412,339,574,0.409,S3,starboard,36
173,9413,360,558,0.355,S3,starboard,36
CN2,9414,288,542,0.469,S3,starboard,36
CN2,9415,145,249,0.418,S3,starboard,36
175,9416,125,213,0.413,S3,starboard,36
175,9417,120,221,0.457,S3,starboard,36
156,9418,334,557,0.4,S3,starboard,36
156,9419,184,483,0.619,S3,starboard,36
170B,9420,300,394,0.239,S3,starboard,36
170B,9421,389,662,0.412,S3,starboard,36
165,9422,90,216,0.583,S3,starboard,36
165,9423,177,309,0.427,S3,starboard,36
161,9424,101,172,0.413,S3,starboard,36
161,9425,66,144,0.542,S3,starboard,36
154,9426,67,147,0.544,S3,starboard,36
154,9427,162,372,0.565,S3,starboard,36
25,9458,342,768,0.555,S6,starboard,33
25,9459,334,893,0.626,S6,starboard,33
162,9460,377,886,0.574,S6,starboard,33
162,9461,255,709,0.64,S6,starboard,33
21,9462,259,706,0.633,S6,starboard,33
21,9463,57,169,0.663,S6,starboard,33
150,9464,232,591,0.607,S6,starboard,33
150,9465,308,973,0.683,S6,starboard,33
28,9466,468,1233,0.62,S6,starboard,33
28,9467,423,1198,0.647,S6,starboard,33
11,9468,279,745,0.626,S6,starboard,33
11,9469,382,1115,0.657,S6,starboard,33
CN3,9470,306,915,0.666,S6,starboard,33
CN3,9471,354,1018,0.652,S6,starboard,33
182,9472,261,628,0.584,S6,starboard,33
182,9473,242,770,0.686,S6,starboard,33
174,9474,202,449,0.55,S6,starboard,33
174,9475,253,634,0.601,S6,starboard,33
166,9476,404,1028,0.607,S6,starboard,33
166,9477,332,847,0.608,S6,starboard,33
167,9478,274,1038,0.736,S6,starboard,33
167,9479,464,1040,0.554,S6,starboard,33
176B,9480,230,694,0.669,S6,starboard,33
176B,9481,230,971,0.763,S6,starboard,33
171,9482,189,703,0.731,S6,starboard,33
171,9483,371,980,0.621,S6,starboard,33
173,9484,392,954,0.589,S6,starboard,33
173,9485,343,845,0.594,S6,starboard,33
CN2,9486,226,731,0.691,S6,starboard,33
CN2,9487,142,547,0.74,S6,starboard,33
175,9488,217,655,0.669,S6,starboard,33
