PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,94113,12,54,52,30.00,29.56,29.56,OFF,30.00,29.69,29.69,OFF,30.00,30.06,30.06,CHL,30.00,28.94,28.94,OFF,
CRII_OCT2020,2020_October_6,106179,12,54,58,30.00,29.56,29.56,HTR,30.00,29.69,29.69,HTR,30.00,30.12,30.12,CHL,30.00,28.94,28.94,HTR,
CRII_OCT2020,2020_October_6,111647,12,55,3,30.00,29.56,29.56,HTR,30.00,29.69,29.69,HTR,30.00,30.12,30.12,CHL,30.00,28.94,28.94,HTR,
CRII_OCT2020,2020_October_6,117120,12,55,9,30.00,29.56,29.56,HTR,30.00,29.69,29.69,HTR,30.00,30.12,30.12,CHL,30.00,29.00,29.00,HTR,
CRII_OCT2020,2020_October_6,122588,12,55,14,30.00,29.56,29.56,HTR,30.00,29.69,29.69,HTR,30.00,30.19,30.19,CHL,30.00,29.00,29.00,HTR,
CRII_OCT2020,2020_October_6,128057,12,55,20,30.00,29.56,29.56,HTR,30.00,29.69,29.69,HTR,30.00,30.19,30.19,CHL,30.00,29.00,29.00,HTR,
CRII_OCT2020,2020_October_6,133526,12,55,25,30.00,29.56,29.56,HTR,30.00,29.69,29.69,HTR,30.00,30.19,30.19,CHL,30.00,29.00,29.00,HTR,
CRII_OCT2020,2020_October_6,138998,12,55,31,30.00,29.56,29.56,HTR,30.00,29.75,29.75,OFF,30.00,30.19,30.19,CHL,30.00,29.06,29.06,HTR,
CRII_OCT2020,2020_October_6,144470,12,55,36,30.00,29.62,29.62,HTR,30.00,29.75,29.75,HTR,30.00,30.25,30.25,CHL,30.00,29.06,29.06,HTR,
CRII_OCT2020,2020_October_6,149938,12,55,42,30.00,29.62,29.62,HTR,30.00,29.75,29.75,HTR,30.00,30.19,30.19,HTR,30.00,29.06,29.06,HTR,
CRII_OCT2020,2020_October_6,155407,12,55,54,30.00,29.62,29.62,HTR,30.00,29.75,29.75,HTR,30.00,30.19,30.19,CHL,30.00,29.12,29.12,HTR,
CRII_OCT2020,2020_October_6,167301,12,55,59,30.00,29.69,29.69,HTR,30.00,29.81,29.81,CHL,30.00,30.25,30.25,CHL,30.00,29.12,29.12,HTR,
CRII_OCT2020,2020_October_6,172769,12,56,5,30.00,29.69,29.69,HTR,30.00,29.81,29.81,HTR,30.00,30.25,30.25,CHL,30.00,29.19,29.19,HTR,
CRII_OCT2020,2020_October_6,178237,12,56,10,30.00,29.75,29.75,OFF,30.00,29.81,29.81,HTR,30.00,30.25,30.25,CHL,30.00,29.19,29.19,HTR,
CRII_OCT2020,2020_October_6,183706,12,56,16,30.00,29.75,29.75,HTR,30.00,29.87,29.87,CHL,30.00,30.31,30.31,CHL,30.00,29.25,29.25,HTR,
CRII_OCT2020,2020_October_6,189180,12,56,21,30.00,29.81,29.81,CHL,30.00,29.94,29.94,CHL,30.00,30.37,30.37,CHL,30.00,29.25,29.25,HTR,
CRII_OCT2020,2020_October_6,194651,12,56,27,30.00,29.81,29.81,HTR,30.00,29.94,29.94,HTR,30.00,30.37,30.37,CHL,30.00,29.31,29.31,HTR,
CRII_OCT2020,2020_October_6,200120,12,56,32,30.00,29.87,29.87,CHL,30.00,29.94,29.94,HTR,30.00,30.44,30.44,CHL,30.00,29.37,29.37,HTR,
CRII_OCT2020,2020_October_6,205593,12,56,38,30.00,29.87,29.87,HTR,30.00,29.94,29.94,HTR,30.00,30.50,30.50,CHL,30.00,29.37,29.37,HTR,
CRII_OCT2020,2020_October_6,211063,12,56,43,30.00,29.94,29.94,CHL,30.00,30.00,30.00,CHL,30.00,30.56,30.56,CHL,30.00,29.37,29.37,HTR,
CRII_OCT2020,2020_October_6,216535,12,56,55,30.00,29.94,29.94,HTR,30.00,30.00,30.00,HTR,30.00,30.62,30.62,CHL,30.00,29.44,29.44,HTR,
