PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,79731,17,48,28,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,90956,17,48,33,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,95592,17,48,37,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,100232,17,48,42,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,104868,17,48,46,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,109506,17,48,51,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,114143,17,48,56,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,118784,17,49,0,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,123420,17,49,5,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,128056,17,49,10,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,132694,17,49,14,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,137334,17,49,19,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,141972,17,49,30,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,153039,17,49,35,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,157680,17,49,39,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,162317,17,49,44,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,166955,17,49,49,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,171592,17,49,53,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,176232,17,49,58,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,180872,17,50,3,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,185507,17,50,7,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,190144,17,50,12,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,194785,17,50,17,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,199421,17,50,21,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,204059,17,50,32,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,215127,17,50,37,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,219763,17,50,42,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,224401,17,50,46,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,229038,17,50,51,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,233678,17,50,55,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,238316,17,51,0,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,242952,17,51,5,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,247587,17,51,9,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,252227,17,51,14,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,256864,17,51,19,35.00,0.00,-127.00,HTR,36.00,0.00,-127.00,HTR,37.00,0.00,-127.00,HTR,38.00,0.00,-127.00,HTR,
