"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"1",5,2020-10-10,19:41:56,"C",NA,"File Nr. 444 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"2",37445,2020-10-10,19:42:33,"F",11106,"4",14,0,"-","-"
"3",46255,2020-10-10,19:42:42,"F",11107,"5",13,0,"-","-"
"4",55655,2020-10-10,19:42:51,"F",11108,"0",17,0,"-","-"
"5",63915,2020-10-10,19:42:59,"F",11109,"7",15,0,"-","-"
"6",70845,2020-10-10,19:43:06,"F",11110,"3",13,0,"-","-"
"7",79945,2020-10-10,19:43:15,"F",11111,"1",14,0,"-","-"
"8",90885,2020-10-10,19:43:26,"F",11112,"9",20,0,"-","-"
"9",105635,2020-10-10,19:43:41,"F",11113,"1",13,0,"-","-"
"10",114645,2020-10-10,19:43:50,"F",11114,"6",13,0,"-","-"
"11",122365,2020-10-10,19:43:58,"F",11115,"8",15,0,"-","-"
"12",137365,2020-10-10,19:44:13,"F",11116,"7",13,0,"-","-"
"13",146275,2020-10-10,19:44:22,"F",11117,"0",19,0,"-","-"
"14",155625,2020-10-10,19:44:31,"F",11118,"3",14,0,"-","-"
"15",164685,2020-10-10,19:44:40,"F",11119,"4",15,0,"-","-"
"16",175425,2020-10-10,19:44:51,"F",11120,"0",12,0,"-","-"
"17",209965,2020-10-10,19:45:25,"F",11121,"0",21,0,"-","-"
"18",217155,2020-10-10,19:45:33,"F",11122,"1",19,0,"-","-"
"19",224265,2020-10-10,19:45:40,"F",11123,"3",11,0,"-","-"
"20",233895,2020-10-10,19:45:49,"F",11124,"8",18,0,"-","-"
"21",10592015,2020-10-10,22:38:28,"F",11125,"3",3,0,"-","-"
"22",5,2020-10-10,20:37:54,"C",NA,"File Nr. 455 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"23",14265,2020-10-10,20:38:08,"F",11343,"3",10,0,"-","-"
"24",27615,2020-10-10,20:38:21,"F",11344,"5",9,0,"-","-"
"25",35955,2020-10-10,20:38:29,"F",11345,"3",9,0,"-","-"
"26",46945,2020-10-10,20:38:40,"F",11346,"4",8,0,"-","-"
"27",56215,2020-10-10,20:38:50,"F",11347,"3",11,0,"-","-"
"28",65365,2020-10-10,20:38:59,"F",11348,"5",9,0,"-","-"
"29",75775,2020-10-10,20:39:09,"F",11349,"4",13,0,"-","-"
"30",84385,2020-10-10,20:39:18,"F",11350,"6",9,0,"-","-"
"31",93575,2020-10-10,20:39:27,"F",11351,"3",10,0,"-","-"
"32",105785,2020-10-10,20:39:39,"F",11352,"6",13,0,"-","-"
"33",114855,2020-10-10,20:39:48,"F",11353,"6",8,0,"-","-"
"34",124985,2020-10-10,20:39:58,"F",11354,"2",9,0,"-","-"
"35",135945,2020-10-10,20:40:09,"F",11355,"3",7,0,"-","-"
"36",7134052,2020-10-10,22:36:48,"F",11028,"2",2,0,"-","-"
"37",7137722,2020-10-10,22:36:51,"SRES",NA,"Recovery start",NA,NA,NA,NA
"38",7144032,2020-10-10,22:36:58,"F",11029,"1",3,0,"-","-"
"39",5,2020-10-10,20:48:33,"C",NA,"File Nr. 458 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"40",15675,2020-10-10,20:48:48,"F",11383,"0",10,0,"-","-"
"41",26415,2020-10-10,20:48:59,"F",11384,"3",11,0,"-","-"
"42",32655,2020-10-10,20:49:05,"F",11385,"6",11,0,"-","-"
"43",41225,2020-10-10,20:49:14,"F",11386,"3",12,0,"-","-"
"44",53715,2020-10-10,20:49:26,"F",11387,"5",10,0,"-","-"
"45",71245,2020-10-10,20:49:44,"F",11388,"5",10,0,"-","-"
"46",80985,2020-10-10,20:49:53,"F",11389,"3",10,0,"-","-"
"47",93095,2020-10-10,20:50:06,"F",11390,"2",15,0,"-","-"
"48",103665,2020-10-10,20:50:16,"F",11391,"3",10,0,"-","-"
"49",109085,2020-10-10,20:50:22,"F",11392,"3",13,0,"-","-"
"50",118095,2020-10-10,20:50:31,"F",11393,"2",11,0,"-","-"
"51",127125,2020-10-10,20:50:40,"F",11394,"6",10,0,"-","-"
"52",133745,2020-10-10,20:50:46,"F",11395,"5",12,0,"-","-"
"53",142025,2020-10-10,20:50:55,"F",11396,"2",9,0,"-","-"
"54",150305,2020-10-10,20:51:03,"F",11397,"1",11,0,"-","-"
"55",6415090,2020-10-10,22:35:28,"F",11025,"0",2,0,"-","-"
