"2020-10-14";"00:51:06";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-13";"20:31:00";"SCHS";"";"Chart start ";""
"5";"2020-10-13";"20:31:01";"C";"";"File Nr. 505 | File Dev. ID #1, DIVING-PAM-II:  ";""
"9005";"2020-10-13";"20:31:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"37675";"2020-10-13";"20:31:38";"F";"12742";"8";"20";"0";"-";"-"
"41005";"2020-10-13";"20:31:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"47335";"2020-10-13";"20:31:48";"F";"12743";"10";"22";"0";"-";"-"
"51005";"2020-10-13";"20:31:52";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"56925";"2020-10-13";"20:31:57";"F";"12744";"12";"28";"0";"-";"-"
"61005";"2020-10-13";"20:32:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"72965";"2020-10-13";"20:32:13";"F";"12745";"13";"22";"0";"-";"-"
"76005";"2020-10-13";"20:32:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"79525";"2020-10-13";"20:32:20";"F";"12746";"6";"24";"0";"-";"-"
"83005";"2020-10-13";"20:32:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"93495";"2020-10-13";"20:32:34";"F";"12747";"1";"21";"0";"-";"-"
"97005";"2020-10-13";"20:32:38";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"100575";"2020-10-13";"20:32:41";"F";"12748";"11";"18";"0";"-";"-"
"104005";"2020-10-13";"20:32:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"105835";"2020-10-13";"20:32:46";"F";"12749";"15";"19";"0";"-";"-"
"109005";"2020-10-13";"20:32:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"111535";"2020-10-13";"20:32:52";"F";"12750";"10";"19";"0";"-";"-"
"115005";"2020-10-13";"20:32:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"117205";"2020-10-13";"20:32:58";"F";"12751";"13";"20";"0";"-";"-"
"121005";"2020-10-13";"20:33:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"131085";"2020-10-13";"20:33:12";"F";"12752";"9";"20";"0";"-";"-"
"135005";"2020-10-13";"20:33:16";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"138025";"2020-10-13";"20:33:19";"F";"12753";"8";"18";"0";"-";"-"
"142005";"2020-10-13";"20:33:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"147405";"2020-10-13";"20:33:28";"F";"12754";"9";"19";"0";"-";"-"
"151005";"2020-10-13";"20:33:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"153315";"2020-10-13";"20:33:34";"F";"12755";"7";"19";"0";"-";"-"
"157005";"2020-10-13";"20:33:38";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"162025";"2020-10-13";"20:33:43";"F";"12756";"13";"30";"0";"-";"-"
"166005";"2020-10-13";"20:33:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"170385";"2020-10-13";"20:33:51";"F";"12757";"10";"26";"0";"-";"-"
"175005";"2020-10-13";"20:33:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"179755";"2020-10-13";"20:34:00";"F";"12758";"11";"15";"0";"-";"-"
"183005";"2020-10-13";"20:34:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"189345";"2020-10-13";"20:34:10";"F";"12759";"8";"21";"0";"-";"-"
"193005";"2020-10-13";"20:34:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.8 ";""
"197185";"2020-10-13";"20:34:18";"F";"12760";"8";"17";"0";"-";"-"
"201005";"2020-10-13";"20:34:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"204165";"2020-10-13";"20:34:25";"F";"12761";"8";"20";"0";"-";"-"
"208005";"2020-10-13";"20:34:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"211375";"2020-10-13";"20:34:32";"F";"12762";"10";"18";"0";"-";"-"
"215005";"2020-10-13";"20:34:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.8 ";""
"219965";"2020-10-13";"20:34:40";"F";"12763";"9";"19";"0";"-";"-"
"219970";"2020-10-13";"20:34:40";"SCHE";"";"Chart stop ";""
"223005";"2020-10-13";"20:34:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
