"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"1",5,2020-10-13,18:46:57,"C",NA,"File Nr. 483 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"2",235475,2020-10-13,18:50:52,"F",12178,"0",36,0,"-","-"
"3",243525,2020-10-13,18:51:00,"F",12179,"0",28,0,"-","-"
"4",271455,2020-10-13,18:51:28,"F",12180,"20",29,0,"-","-"
"5",280305,2020-10-13,18:51:37,"F",12181,"15",32,0,"-","-"
"6",286025,2020-10-13,18:51:43,"F",12182,"163",185,0,"0.119","0.0"
"7",293125,2020-10-13,18:51:50,"F",12183,"230",257,0,"0.105","0.0"
"8",298965,2020-10-13,18:51:55,"F",12184,"55",94,0,"0.415","0.0"
"9",304765,2020-10-13,18:52:01,"F",12185,"46",67,0,"0.313","0.0"
"10",314165,2020-10-13,18:52:11,"F",12186,"31",43,0,"-","-"
"11",325935,2020-10-13,18:52:22,"F",12187,"7",20,0,"-","-"
"12",330375,2020-10-13,18:52:27,"F",12188,"8",20,0,"-","-"
"13",373765,2020-10-13,18:53:10,"F",12189,"312",335,0,"0.069","0.0"
"14",381775,2020-10-13,18:53:18,"F",12190,"170",242,0,"0.298","0.0"
"15",397125,2020-10-13,18:53:34,"F",12191,"53",63,0,"0.159","0.0"
"16",403085,2020-10-13,18:53:40,"F",12192,"57",87,0,"0.345","0.0"
"17",412685,2020-10-13,18:53:49,"F",12193,"56",67,0,"0.164","0.0"
"18",421455,2020-10-13,18:53:58,"F",12194,"76",104,0,"0.269","0.0"
"19",428185,2020-10-13,18:54:05,"F",12195,"19",51,0,"0.627","0.0"
"20",436885,2020-10-13,18:54:13,"F",12196,"35",46,0,"-","-"
"21",445595,2020-10-13,18:54:22,"F",12197,"31",62,0,"0.500","0.0"
"22",452285,2020-10-13,18:54:29,"F",12198,"25",37,0,"-","-"
"23",460885,2020-10-13,18:54:37,"F",12199,"43",59,0,"0.271","0.0"
"24",481525,2020-10-13,18:54:58,"F",12200,"38",71,0,"0.465","0.0"
"25",492285,2020-10-13,18:55:09,"F",12201,"16",33,0,"-","-"
"26",508875,2020-10-13,18:55:25,"F",12202,"8",27,0,"-","-"
"27",527215,2020-10-13,18:55:44,"F",12203,"10",31,0,"-","-"
"28",537435,2020-10-13,18:55:54,"F",12204,"9",28,0,"-","-"
"29",551315,2020-10-13,18:56:08,"F",12205,"15",48,0,"-","-"
"30",572755,2020-10-13,18:56:29,"F",12206,"11",20,0,"-","-"
"31",581605,2020-10-13,18:56:38,"F",12207,"6",34,0,"-","-"
"32",588075,2020-10-13,18:56:45,"F",12208,"175",200,0,"0.125","0.0"
"33",600545,2020-10-13,18:56:57,"F",12209,"28",31,0,"-","-"
"34",606125,2020-10-13,18:57:03,"F",12210,"0",31,0,"-","-"
"35",614555,2020-10-13,18:57:11,"F",12211,"19",49,0,"-","-"
"36",619905,2020-10-13,18:57:16,"F",12212,"27",44,0,"-","-"
"37",627585,2020-10-13,18:57:24,"F",12213,"47",72,0,"0.347","0.0"
"38",636935,2020-10-13,18:57:33,"F",12214,"60",84,0,"0.286","0.0"
"39",644955,2020-10-13,18:57:41,"F",12215,"50",62,0,"0.194","0.0"
"40",652925,2020-10-13,18:57:49,"F",12216,"22",53,0,"0.585","0.0"
"41",660195,2020-10-13,18:57:57,"F",12217,"35",59,0,"0.407","0.0"
"42",673335,2020-10-13,18:58:10,"F",12218,"44",64,0,"0.313","0.0"
"43",681095,2020-10-13,18:58:18,"F",12219,"44",64,0,"0.313","0.0"
"44",695225,2020-10-13,18:58:32,"F",12220,"46",77,0,"0.403","0.0"
"45",709845,2020-10-13,18:58:46,"F",12221,"56",69,0,"0.188","0.0"
"46",720845,2020-10-13,18:58:57,"F",12222,"36",46,0,"-","-"
