dttm,hm,sp,temp,max_temp,tank_set,tank_id
2020-10-13T11:06:17Z,11:06,30,29.62,35,starboard,S4
2020-10-13T11:06:17Z,11:06,30,29.69,36,starboard,S3
2020-10-13T11:06:17Z,11:06,30,29.62,37,starboard,S2
2020-10-13T11:06:17Z,11:06,30,29.69,38,starboard,S1
2020-10-13T11:06:23Z,11:06,30,29.62,35,starboard,S4
2020-10-13T11:06:23Z,11:06,30,29.69,36,starboard,S3
2020-10-13T11:06:23Z,11:06,30,29.62,37,starboard,S2
2020-10-13T11:06:23Z,11:06,30,29.69,38,starboard,S1
2020-10-13T11:06:28Z,11:06,30,29.62,35,starboard,S4
2020-10-13T11:06:28Z,11:06,30,29.69,36,starboard,S3
2020-10-13T11:06:28Z,11:06,30,29.62,37,starboard,S2
2020-10-13T11:06:28Z,11:06,30,29.69,38,starboard,S1
2020-10-13T11:06:34Z,11:06,30,29.69,35,starboard,S4
2020-10-13T11:06:34Z,11:06,30,29.69,36,starboard,S3
2020-10-13T11:06:34Z,11:06,30,29.62,37,starboard,S2
2020-10-13T11:06:34Z,11:06,30,29.69,38,starboard,S1
2020-10-13T11:06:39Z,11:06,30,29.69,35,starboard,S4
2020-10-13T11:06:39Z,11:06,30,29.75,36,starboard,S3
2020-10-13T11:06:39Z,11:06,30,29.62,37,starboard,S2
2020-10-13T11:06:39Z,11:06,30,29.69,38,starboard,S1
2020-10-13T11:06:45Z,11:06,30,29.69,35,starboard,S4
2020-10-13T11:06:45Z,11:06,30,29.75,36,starboard,S3
2020-10-13T11:06:45Z,11:06,30,29.62,37,starboard,S2
2020-10-13T11:06:45Z,11:06,30,29.69,38,starboard,S1
2020-10-13T11:06:50Z,11:06,30,29.69,35,starboard,S4
2020-10-13T11:06:50Z,11:06,30,29.75,36,starboard,S3
2020-10-13T11:06:50Z,11:06,30,29.69,37,starboard,S2
2020-10-13T11:06:50Z,11:06,30,29.69,38,starboard,S1
2020-10-13T11:06:57Z,11:06,30,29.69,35,starboard,S4
2020-10-13T11:06:57Z,11:06,30,29.81,36,starboard,S3
2020-10-13T11:06:57Z,11:06,30,29.69,37,starboard,S2
2020-10-13T11:06:57Z,11:06,30,29.75,38,starboard,S1
2020-10-13T11:07:03Z,11:07,30,29.69,35,starboard,S4
2020-10-13T11:07:03Z,11:07,30,29.81,36,starboard,S3
2020-10-13T11:07:03Z,11:07,30,29.69,37,starboard,S2
2020-10-13T11:07:03Z,11:07,30,29.75,38,starboard,S1
2020-10-13T11:07:08Z,11:07,30,29.69,35,starboard,S4
2020-10-13T11:07:08Z,11:07,30,29.81,36,starboard,S3
2020-10-13T11:07:08Z,11:07,30,29.69,37,starboard,S2
2020-10-13T11:07:08Z,11:07,30,29.75,38,starboard,S1
2020-10-13T11:07:14Z,11:07,30,29.69,35,starboard,S4
2020-10-13T11:07:14Z,11:07,30,29.81,36,starboard,S3
2020-10-13T11:07:14Z,11:07,30,29.69,37,starboard,S2
2020-10-13T11:07:14Z,11:07,30,29.75,38,starboard,S1
2020-10-13T11:07:19Z,11:07,30,29.75,35,starboard,S4
2020-10-13T11:07:19Z,11:07,30,29.87,36,starboard,S3
2020-10-13T11:07:19Z,11:07,30,29.75,37,starboard,S2
2020-10-13T11:07:19Z,11:07,30,29.81,38,starboard,S1
2020-10-13T11:07:25Z,11:07,30,29.75,35,starboard,S4
2020-10-13T11:07:25Z,11:07,30,29.87,36,starboard,S3
2020-10-13T11:07:25Z,11:07,30,29.75,37,starboard,S2
2020-10-13T11:07:25Z,11:07,30,29.87,38,starboard,S1
2020-10-13T11:07:30Z,11:07,30,29.75,35,starboard,S4
2020-10-13T11:07:30Z,11:07,30,29.87,36,starboard,S3
2020-10-13T11:07:30Z,11:07,30,29.81,37,starboard,S2
2020-10-13T11:07:30Z,11:07,30,29.87,38,starboard,S1
2020-10-13T11:07:36Z,11:07,30,29.81,35,starboard,S4
2020-10-13T11:07:36Z,11:07,30,29.94,36,starboard,S3
2020-10-13T11:07:36Z,11:07,30,29.81,37,starboard,S2
2020-10-13T11:07:36Z,11:07,30,29.87,38,starboard,S1
2020-10-13T11:07:41Z,11:07,30,29.81,35,starboard,S4
2020-10-13T11:07:41Z,11:07,30,29.94,36,starboard,S3
2020-10-13T11:07:41Z,11:07,30,29.87,37,starboard,S2
2020-10-13T11:07:41Z,11:07,30,29.94,38,starboard,S1
2020-10-13T11:07:47Z,11:07,30,29.81,35,starboard,S4
2020-10-13T11:07:47Z,11:07,30,29.94,36,starboard,S3
2020-10-13T11:07:47Z,11:07,30,29.87,37,starboard,S2
2020-10-13T11:07:47Z,11:07,30,29.94,38,starboard,S1
2020-10-13T11:07:52Z,11:07,30,29.87,35,starboard,S4
2020-10-13T11:07:52Z,11:07,30,30,36,starboard,S3
2020-10-13T11:07:52Z,11:07,30,29.87,37,starboard,S2
2020-10-13T11:07:52Z,11:07,30,29.94,38,starboard,S1
2020-10-13T11:08:01Z,11:08,30,29.87,35,starboard,S4
2020-10-13T11:08:01Z,11:08,30,30,36,starboard,S3
2020-10-13T11:08:01Z,11:08,30,29.94,37,starboard,S2
2020-10-13T11:08:01Z,11:08,30,30,38,starboard,S1
2020-10-13T11:08:06Z,11:08,30,29.94,35,starboard,S4
2020-10-13T11:08:06Z,11:08,30,30,36,starboard,S3
2020-10-13T11:08:06Z,11:08,30,29.94,37,starboard,S2
2020-10-13T11:08:06Z,11:08,30,30,38,starboard,S1
2020-10-13T11:08:12Z,11:08,30,29.94,35,starboard,S4
2020-10-13T11:08:12Z,11:08,30,30.06,36,starboard,S3
2020-10-13T11:08:12Z,11:08,30,30,37,starboard,S2
2020-10-13T11:08:12Z,11:08,30,30.06,38,starboard,S1
2020-10-13T11:08:17Z,11:08,30,29.94,35,starboard,S4
2020-10-13T11:08:17Z,11:08,30,30.06,36,starboard,S3
2020-10-13T11:08:17Z,11:08,30,30,37,starboard,S2
2020-10-13T11:08:17Z,11:08,30,30.06,38,starboard,S1
2020-10-13T11:08:23Z,11:08,30,30,35,starboard,S4
2020-10-13T11:08:23Z,11:08,30,30.06,36,starboard,S3
2020-10-13T11:08:23Z,11:08,30,30,37,starboard,S2
2020-10-13T11:08:23Z,11:08,30,30.06,38,starboard,S1
2020-10-13T11:08:28Z,11:08,30,30,35,starboard,S4
2020-10-13T11:08:28Z,11:08,30,30.12,36,starboard,S3
2020-10-13T11:08:28Z,11:08,30,30.06,37,starboard,S2
2020-10-13T11:08:28Z,11:08,30,30.12,38,starboard,S1
2020-10-13T11:08:33Z,11:08,30,30.06,35,starboard,S4
2020-10-13T11:08:33Z,11:08,30,30.12,36,starboard,S3
2020-10-13T11:08:33Z,11:08,30,30.06,37,starboard,S2
2020-10-13T11:08:33Z,11:08,30,30.12,38,starboard,S1
2020-10-13T11:08:39Z,11:08,30,30.06,35,starboard,S4
2020-10-13T11:08:39Z,11:08,30,30.12,36,starboard,S3
2020-10-13T11:08:39Z,11:08,30,30.06,37,starboard,S2
2020-10-13T11:08:39Z,11:08,30,30.12,38,starboard,S1
2020-10-13T11:08:44Z,11:08,30,30.06,35,starboard,S4
2020-10-13T11:08:44Z,11:08,30,30.19,36,starboard,S3
2020-10-13T11:08:44Z,11:08,30,30.06,37,starboard,S2
2020-10-13T11:08:44Z,11:08,30,30.12,38,starboard,S1
2020-10-13T11:08:50Z,11:08,30,30.06,35,starboard,S4
2020-10-13T11:08:50Z,11:08,30,30.12,36,starboard,S3
2020-10-13T11:08:50Z,11:08,30,30.12,37,starboard,S2
2020-10-13T11:08:50Z,11:08,30,30.12,38,starboard,S1
2020-10-13T11:08:55Z,11:08,30,30.12,35,starboard,S4
2020-10-13T11:08:55Z,11:08,30,30.19,36,starboard,S3
2020-10-13T11:08:55Z,11:08,30,30.12,37,starboard,S2
2020-10-13T11:08:55Z,11:08,30,30.12,38,starboard,S1
2020-10-13T11:09:07Z,11:09,30,30.12,35,starboard,S4
2020-10-13T11:09:07Z,11:09,30,30.19,36,starboard,S3
2020-10-13T11:09:07Z,11:09,30,30.12,37,starboard,S2
2020-10-13T11:09:07Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:12Z,11:09,30,30.12,35,starboard,S4
2020-10-13T11:09:12Z,11:09,30,30.19,36,starboard,S3
2020-10-13T11:09:12Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:12Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:18Z,11:09,30,30.19,35,starboard,S4
2020-10-13T11:09:18Z,11:09,30,30.19,36,starboard,S3
2020-10-13T11:09:18Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:18Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:23Z,11:09,30,30.19,35,starboard,S4
2020-10-13T11:09:23Z,11:09,30,30.19,36,starboard,S3
2020-10-13T11:09:23Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:23Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:29Z,11:09,30,30.19,35,starboard,S4
2020-10-13T11:09:29Z,11:09,30,30.19,36,starboard,S3
2020-10-13T11:09:29Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:29Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:34Z,11:09,30,30.19,35,starboard,S4
2020-10-13T11:09:34Z,11:09,30,30.19,36,starboard,S3
2020-10-13T11:09:34Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:34Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:40Z,11:09,30,30.25,35,starboard,S4
2020-10-13T11:09:40Z,11:09,30,30.19,36,starboard,S3
2020-10-13T11:09:40Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:40Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:45Z,11:09,30,30.19,35,starboard,S4
2020-10-13T11:09:45Z,11:09,30,30.25,36,starboard,S3
2020-10-13T11:09:45Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:45Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:51Z,11:09,30,30.25,35,starboard,S4
2020-10-13T11:09:51Z,11:09,30,30.25,36,starboard,S3
2020-10-13T11:09:51Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:51Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:09:56Z,11:09,30,30.25,35,starboard,S4
2020-10-13T11:09:56Z,11:09,30,30.25,36,starboard,S3
2020-10-13T11:09:56Z,11:09,30,30.19,37,starboard,S2
2020-10-13T11:09:56Z,11:09,30,30.19,38,starboard,S1
2020-10-13T11:10:08Z,11:10,30,30.19,35,starboard,S4
2020-10-13T11:10:08Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:08Z,11:10,30,30.19,37,starboard,S2
2020-10-13T11:10:08Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:14Z,11:10,30,30.19,35,starboard,S4
2020-10-13T11:10:14Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:14Z,11:10,30,30.19,37,starboard,S2
2020-10-13T11:10:14Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:19Z,11:10,30,30.19,35,starboard,S4
2020-10-13T11:10:19Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:19Z,11:10,30,30.19,37,starboard,S2
2020-10-13T11:10:19Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:25Z,11:10,30,30.25,35,starboard,S4
2020-10-13T11:10:25Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:25Z,11:10,30,30.19,37,starboard,S2
2020-10-13T11:10:25Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:30Z,11:10,30,30.19,35,starboard,S4
2020-10-13T11:10:30Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:30Z,11:10,30,30.12,37,starboard,S2
2020-10-13T11:10:30Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:36Z,11:10,30,30.19,35,starboard,S4
2020-10-13T11:10:36Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:36Z,11:10,30,30.06,37,starboard,S2
2020-10-13T11:10:36Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:41Z,11:10,30,30.19,35,starboard,S4
2020-10-13T11:10:41Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:41Z,11:10,30,30.12,37,starboard,S2
2020-10-13T11:10:41Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:47Z,11:10,30,30.25,35,starboard,S4
2020-10-13T11:10:47Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:47Z,11:10,30,30.12,37,starboard,S2
2020-10-13T11:10:47Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:52Z,11:10,30,30.19,35,starboard,S4
2020-10-13T11:10:52Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:52Z,11:10,30,30.12,37,starboard,S2
2020-10-13T11:10:52Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:10:58Z,11:10,30,30.19,35,starboard,S4
2020-10-13T11:10:58Z,11:10,30,30.19,36,starboard,S3
2020-10-13T11:10:58Z,11:10,30,30.12,37,starboard,S2
2020-10-13T11:10:58Z,11:10,30,30.12,38,starboard,S1
2020-10-13T11:11:10Z,11:11,30,30.19,35,starboard,S4
2020-10-13T11:11:10Z,11:11,30,30.19,36,starboard,S3
2020-10-13T11:11:10Z,11:11,30,30.12,37,starboard,S2
2020-10-13T11:11:10Z,11:11,30,30.12,38,starboard,S1
2020-10-13T11:11:16Z,11:11,30,30.19,35,starboard,S4
2020-10-13T11:11:16Z,11:11,30,30.12,36,starboard,S3
2020-10-13T11:11:16Z,11:11,30,30.12,37,starboard,S2
2020-10-13T11:11:16Z,11:11,30,30.12,38,starboard,S1
2020-10-13T11:11:21Z,11:11,30,30.19,35,starboard,S4
2020-10-13T11:11:21Z,11:11,30,30.19,36,starboard,S3
