"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"1",5,2020-10-14,18:53:05,"C",NA,"File Nr. 513 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"2",134535,2020-10-14,18:55:19,"F",13031,"17",31,0,"-","-"
"3",139115,2020-10-14,18:55:24,"F",13032,"10",26,0,"-","-"
"4",146115,2020-10-14,18:55:31,"F",13033,"88",131,0,"0.328","0.0"
"5",150145,2020-10-14,18:55:35,"F",13034,"141",175,0,"0.194","0.0"
"6",158135,2020-10-14,18:55:43,"F",13035,"72",97,0,"0.258","0.0"
"7",166835,2020-10-14,18:55:51,"F",13036,"173",190,0,"0.089","0.0"
"8",172755,2020-10-14,18:55:57,"F",13037,"164",225,0,"0.271","0.0"
"9",181825,2020-10-14,18:56:06,"F",13038,"49",71,0,"0.310","0.0"
"10",190405,2020-10-14,18:56:15,"F",13039,"44",65,0,"0.323","0.0"
"11",200335,2020-10-14,18:56:25,"F",13040,"18",37,0,"-","-"
"12",205265,2020-10-14,18:56:30,"F",13041,"7",26,0,"-","-"
"13",213825,2020-10-14,18:56:38,"F",13042,"138",155,0,"0.110","0.0"
"14",219725,2020-10-14,18:56:44,"F",13043,"81",92,0,"0.120","0.0"
"15",225715,2020-10-14,18:56:50,"F",13044,"139",184,0,"0.245","0.0"
"16",231735,2020-10-14,18:56:56,"F",13045,"93",108,0,"0.139","0.0"
"17",240415,2020-10-14,18:57:05,"F",13046,"62",96,0,"0.354","0.0"
"18",245025,2020-10-14,18:57:10,"F",13047,"68",99,0,"0.313","0.0"
"19",254755,2020-10-14,18:57:19,"F",13048,"66",114,0,"0.421","0.0"
"20",258145,2020-10-14,18:57:23,"F",13049,"61",87,0,"0.299","0.0"
"21",268935,2020-10-14,18:57:33,"F",13050,"49",80,0,"0.388","0.0"
"22",274255,2020-10-14,18:57:39,"F",13051,"60",89,0,"0.326","0.0"
"23",287775,2020-10-14,18:57:52,"F",13052,"84",150,0,"0.440","0.0"
"24",300365,2020-10-14,18:58:05,"F",13053,"74",134,0,"0.448","0.0"
"25",307185,2020-10-14,18:58:12,"F",13054,"14",48,0,"-","-"
"26",312825,2020-10-14,18:58:17,"F",13055,"46",90,0,"0.489","0.0"
"27",320855,2020-10-14,18:58:25,"F",13056,"37",74,0,"0.500","0.0"
"28",326815,2020-10-14,18:58:31,"F",13057,"25",34,0,"-","-"
"29",335925,2020-10-14,18:58:40,"F",13058,"50",130,0,"0.615","0.0"
"30",341985,2020-10-14,18:58:46,"F",13059,"120",157,0,"0.236","0.0"
"31",345615,2020-10-14,18:58:50,"F",13060,"122",166,0,"0.265","0.0"
"32",353525,2020-10-14,18:58:58,"F",13061,"227",267,0,"0.150","0.0"
"33",358325,2020-10-14,18:59:03,"F",13062,"259",376,0,"0.311","0.0"
"34",366985,2020-10-14,18:59:11,"F",13063,"31",44,0,"-","-"
"35",373865,2020-10-14,18:59:18,"F",13064,"14",41,0,"-","-"
"36",391425,2020-10-14,18:59:36,"F",13065,"9",34,0,"-","-"
"37",395945,2020-10-14,18:59:40,"F",13066,"12",26,0,"-","-"
"38",401755,2020-10-14,18:59:46,"F",13067,"45",112,0,"0.598","0.0"
"39",406525,2020-10-14,18:59:51,"F",13068,"41",62,0,"0.339","0.0"
"40",411255,2020-10-14,18:59:56,"F",13069,"107",120,0,"0.108","0.0"
"41",420525,2020-10-14,19:00:05,"F",13070,"122",128,0,"0.047","0.0"
"42",428305,2020-10-14,19:00:13,"F",13071,"101",125,0,"0.192","0.0"
"43",433635,2020-10-14,19:00:18,"F",13072,"158",179,0,"0.117","0.0"
"44",443275,2020-10-14,19:00:28,"F",13073,"10",34,0,"-","-"
"45",448575,2020-10-14,19:00:33,"F",13074,"13",41,0,"-","-"
"46",454585,2020-10-14,19:00:39,"F",13075,"3",37,0,"-","-"
"47",460925,2020-10-14,19:00:45,"F",13076,"10",34,0,"-","-"
"48",524005,2020-10-14,19:01:49,"C",NA,"File Nr. 514 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"49",563885,2020-10-14,19:02:28,"F",13077,"216",376,0,"0.426","0.0"
"50",567965,2020-10-14,19:02:32,"F",13078,"217",271,0,"0.199","0.0"
"51",571285,2020-10-14,19:02:36,"F",13079,"214",289,0,"0.260","0.0"
"52",583255,2020-10-14,19:02:48,"F",13080,"93",115,0,"0.191","0.0"
"53",588135,2020-10-14,19:02:53,"F",13081,"116",178,0,"0.348","0.0"
"54",594975,2020-10-14,19:02:59,"F",13082,"52",123,0,"0.577","0.0"
"55",599805,2020-10-14,19:03:04,"F",13083,"71",109,0,"0.349","0.0"
"56",605315,2020-10-14,19:03:10,"F",13084,"11",48,0,"-","-"
"57",612475,2020-10-14,19:03:17,"F",13085,"31",61,0,"0.492","0.0"
"58",617075,2020-10-14,19:03:22,"F",13086,"23",56,0,"0.589","0.0"
"59",627795,2020-10-14,19:03:32,"F",13087,"83",138,0,"0.399","0.0"
"60",631785,2020-10-14,19:03:36,"F",13088,"60",94,0,"0.362","0.0"
"61",637735,2020-10-14,19:03:42,"F",13089,"42",127,0,"0.669","0.0"
"62",641615,2020-10-14,19:03:46,"F",13090,"77",134,0,"0.425","0.0"
"63",646115,2020-10-14,19:03:51,"F",13091,"123",160,0,"0.231","0.0"
"64",655415,2020-10-14,19:04:00,"F",13092,"26",62,0,"0.581","0.0"
"65",660355,2020-10-14,19:04:05,"F",13093,"19",49,0,"-","-"
"66",672475,2020-10-14,19:04:17,"F",13094,"24",40,0,"-","-"
"67",677535,2020-10-14,19:04:22,"F",13095,"7",35,0,"-","-"
"68",688105,2020-10-14,19:04:33,"F",13096,"53",118,0,"0.551","0.0"
"69",692615,2020-10-14,19:04:37,"F",13097,"79",118,0,"0.331","0.0"
"70",697145,2020-10-14,19:04:42,"F",13098,"96",132,0,"0.273","0.0"
"71",733925,2020-10-14,19:05:18,"F",13099,"91",144,0,"0.368","0.0"
"72",737205,2020-10-14,19:05:22,"F",13100,"118",167,0,"0.293","0.0"
"73",745485,2020-10-14,19:05:30,"F",13101,"99",158,0,"0.373","0.0"
"74",749525,2020-10-14,19:05:34,"F",13102,"115",157,0,"0.268","0.0"
"75",755475,2020-10-14,19:05:40,"F",13103,"20",53,0,"0.623","0.0"
"76",760285,2020-10-14,19:05:45,"F",13104,"17",30,0,"-","-"
"77",765755,2020-10-14,19:05:50,"F",13105,"14",35,0,"-","-"
"78",778945,2020-10-14,19:06:03,"F",13106,"114",140,0,"0.186","0.0"
"79",784555,2020-10-14,19:06:09,"F",13107,"60",137,0,"0.562","0.0"
"80",790915,2020-10-14,19:06:15,"F",13108,"126",219,0,"0.425","0.0"
"81",798325,2020-10-14,19:06:23,"F",13109,"104",166,0,"0.373","0.0"
"82",804465,2020-10-14,19:06:29,"F",13110,"115",192,0,"0.401","0.0"
"83",810695,2020-10-14,19:06:35,"F",13111,"168",352,0,"0.523","0.0"
"84",816735,2020-10-14,19:06:41,"F",13112,"199",300,0,"0.337","0.0"
"85",823765,2020-10-14,19:06:48,"F",13113,"273",414,0,"0.341","0.0"
"86",836745,2020-10-14,19:07:01,"F",13114,"24",52,0,"0.538","0.0"
"87",859285,2020-10-14,19:07:24,"F",13115,"26",41,0,"-","-"
"88",875495,2020-10-14,19:07:40,"F",13116,"22",54,0,"0.593","0.0"
"89",893035,2020-10-14,19:07:58,"F",13117,"269",474,0,"0.432","0.0"
"90",899395,2020-10-14,19:08:04,"F",13118,"315",522,0,"0.397","0.0"
"91",907805,2020-10-14,19:08:12,"F",13119,"130",160,0,"0.188","0.0"
"92",911915,2020-10-14,19:08:16,"F",13120,"151",190,0,"0.205","0.0"
"93",919685,2020-10-14,19:08:24,"F",13121,"62",79,0,"0.215","0.0"
"94",925095,2020-10-14,19:08:30,"F",13122,"105",143,0,"0.266","0.0"
"95",939875,2020-10-14,19:08:44,"F",13123,"39",57,0,"0.316","0.0"
"96",943555,2020-10-14,19:08:48,"F",13124,"29",39,0,"-","-"
"97",0,1970-01-01,00:00:00,"C",NA,"#1: DIVING-PAM-II | ERROR: Low Battery Shutdown",NA,NA,NA,NA
"98",1602698943000,2020-10-14,19:09:03,"C",NA,"File Nr. 515 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"99",1602698966000,2020-10-14,19:09:26,"C",NA,"File Nr. 516 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"100",1602699020580,2020-10-14,19:10:20,"F",13125,"18",30,0,"-","-"
"101",1602699026800,2020-10-14,19:10:26,"F",13126,"12",33,0,"-","-"
"102",1602699043350,2020-10-14,19:10:43,"F",13127,"15",43,0,"-","-"
"103",1602699046780,2020-10-14,19:10:46,"F",13128,"36",54,0,"0.333","0.0"
"104",1602699055360,2020-10-14,19:10:55,"F",13129,"102",176,0,"0.420","0.0"
"105",1602699059380,2020-10-14,19:10:59,"F",13130,"64",103,0,"0.379","0.0"
"106",1602699067020,2020-10-14,19:11:07,"F",13131,"102",182,0,"0.440","0.0"
"107",1602699071800,2020-10-14,19:11:11,"F",13132,"79",138,0,"0.428","0.0"
"108",1602699078200,2020-10-14,19:11:18,"F",13133,"40",76,0,"0.474","0.0"
"109",1602699082910,2020-10-14,19:11:22,"F",13134,"36",58,0,"0.379","0.0"
"110",1602699089120,2020-10-14,19:11:29,"F",13135,"79",161,0,"0.509","0.0"
"111",1602699092870,2020-10-14,19:11:32,"F",13136,"130",163,0,"0.202","0.0"
"112",1602699098080,2020-10-14,19:11:38,"F",13137,"97",205,0,"0.527","0.0"
"113",1602699105880,2020-10-14,19:11:45,"F",13138,"18",68,0,"0.735","0.0"
"114",1602699115220,2020-10-14,19:11:55,"F",13139,"359",599,0,"0.401","0.0"
"115",1602699121650,2020-10-14,19:12:01,"F",13140,"422",528,0,"0.201","0.0"
"116",1602699127870,2020-10-14,19:12:07,"F",13141,"410",501,0,"0.182","0.0"
"117",1602699163570,2020-10-14,19:12:43,"F",13142,"183",227,0,"0.194","0.0"
