nursery,geno,ed50,std.error,genoN
crf,CRF007,35.50117416082794,0.19810209410004953,g1
crf,CRF029,35.68544310641157,0.24343112728457364,g10
mote,ML75,35.998247664507176,0.18288573213042245,g100
mote,ML76,35.68796543707419,0.25053400138132353,g101
mote,ML77,36.09843358094947,0.21045473994863545,g102
mote,ML78,36.30216678863148,0.2602951446964428,g103
mote,ML79,36.2276783140212,0.19517384879470231,g104
mote,ML8,35.42975165141537,0.19567866292277125,g105
mote,ML80,36.230367422896414,0.2205998114553673,g106
mote,ML84,35.838384627669996,0.23115192512994792,g107
mote,ML88,36.31945271677422,0.23755277498264307,g108
mote,ML89,35.95185460136221,0.23068918338593308,g109
crf,CRF031,35.252646207185784,0.17754431618364602,g11
mote,ML90,35.490351252802576,0.09101251728846721,g110
rrt,Acer120,35.92245262071754,0.181805908557225,g111
rrt,Acer121,36.210298931806925,0.17150935006089188,g112
rrt,Acer122,36.747247288057515,0.2263385210019813,g113
rrt,Acer123,36.526638390737546,0.11016148658728551,g114
rrt,Acer126,36.659829328099974,0.1585918721025612,g115
rrt,CM6,36.378244699834156,0.19652671003097483,g116
rrt,FM12,36.06064210196368,0.20735359153433447,g117
rrt,FM13,35.857601193599656,0.25016546355910496,g118
rrt,FM14,36.06262406012518,0.17840908292325147,g119
crf,CRF032,36.40780132836762,0.3266959432516629,g12
rrt,FM19,37.56717859114826,0.4443796309799308,g120
rrt,FM19(C),35.61379497126183,0.19125840730512317,g121
rrt,FM20,36.76479593887982,0.34241641611799145,g122
rrt,FM21,36.937483625874606,0.3175349893580413,g123
rrt,FM5,35.967724229701496,0.12563433746927996,g124
rrt,FM6(A),35.37502426848883,0.19266769676024495,g125
rrt,FM6(B),36.58647793396375,0.21201890697428738,g126
rrt,FM7,36.36530057673425,0.14223070834574106,g127
rrt,FM9,36.27037579974275,0.20302681221654897,g128
rrt,K1,35.438762892434205,0.17837613912662564,g129
crf,CRF033,35.63700884020507,0.2503448111180505,g13
rrt,K2,37.026015868266626,0.1939828000259245,g130
rrt,K3,35.99030953304756,0.19872207112465515,g131
rrt,KW15,36.135678249408166,0.22671380252284304,g132
rrt,KW5,36.48492106457288,0.17569204005271302,g133
rrt,M10,35.74311192893155,0.272352273661511,g134
rrt,M5,36.68238865421986,0.2644822896846012,g135
rrt,M6,35.87424678835633,0.1685669941535051,g136
rrt,M7,36.14135021659569,0.11846991286832932,g137
rrt,ML1,36.207573781178404,0.1925729843353123,g138
rrt,ML3,37.06491574647408,0.1898436654585062,g139
crf,CRF039,35.35991454160782,0.15483707164058105,g14
rrt,ML31,36.66445728093749,0.20915159284734774,g140
rrt,ML34,35.887792934254364,0.2573861017472797,g141
rrt,ML41,35.975486991851014,0.24120365785483922,g142
rrt,ML5,35.76330629389743,0.13356356836007963,g143
rrt,ML63,35.695313607836646,0.2259487451453776,g144
rrt,ML75,36.801350925032985,0.17371534810503944,g145
rrt,U104,35.713020318891026,0.11134003768226239,g146
rrt,U15(A),35.623740346845764,0.20829255869161642,g147
rrt,U15(B),37.012391422306635,0.1833919532404223,g148
rrt,U19,36.19560110537981,0.19960349750091133,g149
crf,CRF040,35.59496074409121,0.19268545071905008,g15
rrt,U75,35.96939841503666,0.18338858456107296,g150
rrt,U93,36.081233010908015,0.19520986983429592,g151
rrt,U94,36.97932784599901,0.2588915087364234,g152
um,14y,35.341552301618165,0.13532485480618864,g153
um,15y,35.3332749636115,0.16271366791456782,g154
um,16y,35.535401306754416,0.1545264268161111,g155
um,19y,36.46209277709526,0.2872213027076734,g156
um,23y,35.42719043127423,0.12430873421767244,g157
um,27y,35.3290875363026,0.18108437833181942,g158
um,28y,36.340042607752096,0.23675951695614386,g159
crf,CRF042,36.03115866884454,0.16413243617723844,g16
um,29y,35.54277962649215,0.14024970642682572,g160
um,30y,36.368832127942134,0.20865609618793388,g161
um,32y,36.85510963634566,0.37957606614855155,g162
um,36y,35.30885173124048,0.1968815557799541,g163
um,37y,35.63605855575989,0.27910366444442825,g164
um,38y,35.329247155917955,0.16618307103684113,g165
um,39y,36.702119522950476,0.29247353170344453,g166
um,40y,35.565668166246894,0.24902477709433904,g167
um,41y,35.75149378340982,0.2350302706216708,g168
um,42y,36.154014080890576,0.23475747144278022,g169
crf,CRF043,36.16432872612457,0.2895429824986192,g17
um,44y,35.65943046411028,0.1560872063423199,g170
um,46y,35.30262181390208,0.20587389632897227,g171
um,47y,35.258166698516064,0.10109703446706897,g172
um,48y,36.14279725544654,0.24950208581593306,g173
um,49y,36.15392094090189,0.19099641543892862,g174
um,52y,35.662248656325794,0.2487361233643201,g175
um,54y,35.81547401738697,0.20941049075819573,g176
um,55y,35.57192410316698,0.21557533170201723,g177
um,58y,35.899031948562346,0.2783446735014004,g178
um,59y,35.428338222470536,0.24772183782912444,g179
crf,CRF047,36.462223476182885,0.27009752517525787,g18
um,60b,35.98747277953926,0.14842843091920963,g180
um,63y,36.82100419346232,0.2994050471907701,g181
um,64y,36.26478013550846,0.2681236956805801,g182
um,66y,35.61400438266754,0.1995265942475846,g183
um,67y,35.824558744047806,0.23288739819189216,g184
um,68y,35.32505609554609,0.1704725753780562,g185
um,70y,36.09984339877508,0.29746180975086345,g186
um,71y,35.834608965923465,0.23288872130790605,g187
um,82y,35.39931519481617,0.1538340268520738,g188
um,85y,35.52444355210341,0.1685292119991613,g189
crf,CRF048,35.822708898619865,0.2309002339522257,g19
um,88y,35.07590929563732,0.1475768036584462,g190
um,89y,35.92525673059807,0.2095506873217947,g191
um,90y,35.42459044335669,0.1340149806323002,g192
um,o.85,35.57844718745116,0.18784727434339682,g193
crf,CRF008,36.77906395510048,0.2600860718214151,g2
crf,CRF051,35.915562979913524,0.1774289731359522,g20
crf,CRF052,34.99963632667083,0.19891584281097593,g21
crf,CRF053,35.86220326539166,0.18483622226833224,g22
crf,CRF055,36.127885530919656,0.21836079425702148,g23
crf,CRF059,35.17242157701,0.10267416358050635,g24
crf,CRF066,35.70979141572487,0.17271983810041702,g25
crf,CRF068,36.02827249160655,0.15080724180902225,g26
crf,CRF069,35.7388341786648,0.14819531195083147,g27
crf,CRF074,36.59425541649288,0.24474912948974356,g28
crf,CRF076,36.24067936647088,0.3018951464654862,g29
crf,CRF010,35.619384190550086,0.2048870805150321,g3
crf,CRF082,35.92576144573713,0.1398389905226978,g30
crf,CRF085,35.825466815770874,0.2096116664116107,g31
crf,CRF086,35.6343697730096,0.16307407960128503,g32
crf,CRF087,36.30892624188887,0.2578495363041712,g33
crf,CRF094,35.440623337051626,0.1561422934377946,g34
crf,CRF095,35.66349483098211,0.2212283142910756,g35
crf,CRF098,35.32585460591908,0.10015930362222948,g36
crf,CRF099,35.55326646431666,0.17282809066714735,g37
crf,CRF102,35.742437843695555,0.16650507777885643,g38
crf,CRF108,36.264723400549286,0.23545619074736865,g39
crf,CRF013,36.35388521584911,0.19612591852638253,g4
crf,CRF112,35.359744857683644,0.11420307194855488,g40
crf,CRF113,36.40723885393098,0.2814615932907294,g41
crf,CRF118,35.60033136334038,0.14893062564424572,g42
crf,CRF119,35.734618726042726,0.18256478031847462,g43
crf,CRF121,35.678946601672024,0.20898575672423497,g44
fwc,ApalCCN4,36.329047161427674,0.19788167322483807,g45
fwc,CB024,35.39863064389885,0.164419226204885,g46
fwc,CM5,35.59223121964137,0.2053028265154765,g47
fwc,CM6,35.0270447797091,0.20097973764315374,g48
fwc,CU007,35.318321384441276,0.20466880444258212,g49
crf,CRF019,35.88914725757593,0.2303387843530418,g5
fwc,FM12,35.32483931831982,0.17175054277562246,g50
fwc,FM13,35.120512837742986,0.18143149208601297,g51
fwc,FM14,35.167810065089135,0.16993967115959566,g52
fwc,FM19,34.87244387474607,0.15811554541731132,g53
fwc,FM20,35.69662533436815,0.23664295054746085,g54
fwc,FM5,35.54484057777175,0.20758484294341206,g55
fwc,FM6,35.98969554622494,0.26242303583918986,g56
fwc,FM9,35.74724792345854,0.25410174919001693,g57
fwc,ML1,35.360735437630495,0.1906306672832792,g58
fwc,ML3,35.4391821881336,0.19601657425426222,g59
crf,CRF020,35.778320829162666,0.18798521368071858,g6
fwc,ML31,35.50251514691661,0.25818227756202966,g60
fwc,ML34,35.885677475909596,0.25903786694638126,g61
fwc,ML41,35.50219656780299,0.1760292007810622,g62
fwc,ML5,36.27749674365576,0.2320859719347106,g63
fwc,ML50,35.63612333989399,0.3161037929928556,g64
fwc,ML57,35.313155307223916,0.21397202960223174,g65
fwc,ML63,35.436562532450104,0.27299968414656156,g66
fwc,ML7,35.3839248910091,0.16523570629890227,g67
fwc,ML75,35.40567849112391,0.1958635638462337,g68
fwc,TDT1,35.53131347038952,0.20053535655848098,g69
crf,CRF023,36.21513887716736,0.19902094630599187,g7
fwc,TDT2,35.61664159599775,0.18010546567221505,g70
mote,ML1,35.93519185809192,0.259712225004417,g71
mote,ML10,36.14721302248679,0.22947166400956326,g72
mote,ML13,36.51099732201815,0.28176725167674593,g73
mote,ML20,35.78239073190269,0.2572356860978583,g74
mote,ML29,35.894915796855514,0.21181169575168446,g75
mote,ML3,35.742153940116566,0.1915504685046159,g76
mote,ML31,35.949225392246795,0.23174440839016686,g77
mote,ML34,36.59280909526869,0.3724385429267128,g78
mote,ML36,36.45426508155439,0.21513757717758167,g79
crf,CRF024,35.300396180437296,0.16520054727529837,g8
mote,ML38,36.413012137916716,0.1916198624951759,g80
mote,ML4,36.223294777958095,0.21871624738215148,g81
mote,ML41,35.93916002624956,0.19372325136285098,g82
mote,ML44,35.97906658394745,0.22891721311614235,g83
mote,ML46,36.00158311672582,0.1805008623797882,g84
mote,ML47,35.356991735962694,0.16225862118299308,g85
mote,ML48,35.79723871414602,0.2487793021781665,g86
mote,ML5,36.395858936320906,0.2252030895605489,g87
mote,ML50,36.1709861012308,0.23165900644111612,g88
mote,ML51,35.81747009234442,0.27501480591391797,g89
crf,CRF028,35.76632789276988,0.1314534627760224,g9
mote,ML54,35.84001494126011,0.24222713454836645,g90
mote,ML55,35.452503934728085,0.12735987266980864,g91
mote,ML56,37.49593670098784,0.48699356739090555,g92
mote,ML57,36.26805182306888,0.2685315326676244,g93
mote,ML58,35.71654958469867,0.2124651142732371,g94
mote,ML6,36.33910421772471,0.2923521949968553,g95
mote,ML62,35.62867421061709,0.1486092710739441,g96
mote,ML63,36.23818000623524,0.165683527002788,g97
mote,ML7,35.44445836237499,0.12537523062992198,g98
mote,ML70,36.55818197624812,0.22268597917884397,g99
