nursery,geno,source_lat,source_lon,MMM_5km
CRF,CRF007,24° 58.932'N,80° 26.178'W,29.7307
CRF,CRF008,24° 58.932'N,80° 26.178'W,29.7307
CRF,CRF010,25° 0.471'N,80° 26.883'W,29.8408
CRF,CRF013,24° 59.228'N,80° 27.173'W,29.9213
CRF,CRF019,24° 58.815'N,80° 26.564'W,29.7307
CRF,CRF020,24° 59.272'N,80° 28.070'W,29.9213
CRF,CRF023,26° 01.496'N,80° 06.249'W,29.3093
CRF,CRF024,25° 59.346'N,80° 06.550'W,29.2512
CRF,CRF028,24° 33.623'N,81° 30.082'W,30.1701
CRF,CRF029,24° 43.209'N,80° 55.725'W,29.7935
CRF,CRF031,24° 42.707'N,80° 56.758'W,29.7935
CRF,CRF032,24° 42.649'N,80° 56.880'W,29.7935
CRF,CRF033,24° 43.301N,80° 55.667'W,29.7935
CRF,CRF039,24° 59.395'N,80° 27.129'W,29.9213
CRF,CRF040,24° 59.815'N,80° 27.101'W,29.9213
CRF,CRF042,25° 00.567'N,80° 27.084'W,29.8356
CRF,CRF043,24° 59.316'N ,80° 24.154'W,29.7307
CRF,CRF047,24° 41.539'N,80° 58.545'W,29.7822
CRF,CRF048,24° 57.114'N,80° 27.068'W,29.9213
CRF,CRF051,24° 56.780'N,80° 28.210'W,29.766
CRF,CRF052,24° 57.054'N,80° 29.617'W,29.9213
CRF,CRF053,24° 57.113'N,80° 29.497'W,29.9213
CRF,CRF055,24° 57.444'N,80° 29.543'W,29.9213
CRF,CRF059,24° 59.261'N,80° 26.085'W,29.7307
CRF,CRF066,24° 59.287'N,80° 27.823'W,29.9213
CRF,CRF068,25° 1.065'N,80° 23.752'W,29.691
CRF,CRF069,25° 0.823'N,80° 24.900'W,29.8408
CRF,CRF074,24°29.945'N,81° 45.543'W,29.8961
CRF,CRF076,25° 0.127'N,80° 24.068'W,29.8408
CRF,CRF082,24° 57.151'N,80° 29.327'W,29.9213
CRF,CRF085,24° 49.832'N,80° 38.626'W,29.8162
CRF,CRF086,24° 48.787'N,80° 40.148'W,29.8854
CRF,CRF087,24° 48.776'N,80° 40.174'W,29.8854
CRF,CRF094,25° 8.063'N,80° 18.147'W,29.5965
CRF,CRF095,25° 8.023'N,80° 17.063'W,29.7527
CRF,CRF098,24° 33.547'N,81° 24.814'W,30.2694
CRF,CRF099,24° 33.569'N,81° 24.799'W,30.2694
CRF,CRF102,24° 48.817'N,80° 40.018'W,29.8854
CRF,CRF108,25° 10.608'N,80° 15.948'W,29.9009
CRF,CRF112,25° 12.166'N,80° 14.721'W,29.7968
CRF,CRF113,25° 17.017'N,80° 12.429'W,29.8605
CRF,CRF118,24° 30.030'N,81° 44.501'W,29.9247
CRF,CRF119,24° 30.047'N,81° 44.516'W,29.9247
CRF,CRF121,25° 6.514'N,80° 18.422'W,29.5965
FWC,ML3,24.56307,-81.401,30.2694
FWC,ML34,24.53865,-81.44358,29.8993
FWC,ML41,24.5532,-81.43758,30.2694
FWC,FM14,24.69756,-80.95852,29.7822
FWC,FM9,24.66427,-81.07655,29.8506
FWC,FM12 ,24.63965,-81.0662,29.9079
FWC,ML57,24.55948,-81.41322,30.2694
FWC,CM6,24.710667,-80.94825,29.7935
FWC,ML31,24.5477,-81.45696,29.8415
FWC,CM5,24.71182,-80.94595,29.7935
FWC,FM13,24.69767,-80.9581,29.7822
FWC,ML63,24.52983,-81.64069,30.0731
FWC,ML47,24.54835,-81.5332,30.0192
FWC,ML75,24.5401,-81.44882,29.8993
FWC,TDT2,24.6324,-82.9051,29.952
FWC,FM19,24.7763,-80.73651,29.7761
FWC,TDT1,24.63229,-82.9052,29.952
FWC,ML50,24.54854,-81.53308,30.0192
FWC,CB024,,,
FWC,CU007,,,
FWC,ML1,24.56937,-81.33028,29.9826
FWC,FM20,24.77885,-80.7349,29.7761
FWC,FM5,24.70217,-80.93867,29.7935
FWC,ML5,24.52257,-81.51978,30.0192
FWC,ML7,24.56038,-81.50137,30.1701
FWC,FM21,24.75825,-80.76598,30.0355
FWC,FM6,24.70217,-80.93867,29.7935
FWC,FM7,24.69767,-80.9581,29.7822
Mote,ML1,24.56937,-81.33028,29.9826
Mote,ML3,24.56307,-81.401,30.2694
Mote,ML4,24.56935,-81.38168,30.2519
Mote,ML5,24.52257,-81.51978,30.0192
Mote,ML6,24.52298,-81.52043,30.0192
Mote,ML7,24.56038,-81.50137,30.1701
Mote,ML8,24.58353,-81.43298,30.2694
Mote,ML10,24.61515,-81.37917,30.1071
Mote,ML13,24.59592,-81.37162,30.2519
Mote,ML20,24.62167,-81.36313,30.1071
Mote,ML29,24.52172,-81.57675,30.0312
Mote,ML31,24.5477,-81.45696,29.8415
Mote,ML34,24.53865,-81.44358,29.8993
Mote,ML36,24.5615,-81.40788,30.2694
Mote,ML38,24.56306,-81.40063,30.2694
Mote,ML41,24.5532,-81.43758,30.2694
Mote,ML44,24.5686,-81.3265,29.9826
Mote,ML46,24.5608,-81.50143,30.1701
Mote,ML47,24.54835,-81.5332,30.0192
Mote,ML48,24.5215,-81.5769,30.0312
Mote,ML50,24.54854,-81.53308,30.0192
Mote,ML51,24.52735,-81.49895,29.8415
Mote,ML54,24.55903,-81.41293,30.2694
Mote,ML55,24.55913,-81.41338,30.2694
Mote,ML56,24.55912,-81.41357,30.2694
Mote,ML57,24.55948,-81.41322,30.2694
Mote,ML58,24.52328,-81.53572,30.0192
Mote,ML62,24.52983,-81.64069,30.0731
Mote,ML63,24.52983,-81.64069,30.0731
Mote,ML70,24.55717,-81.51013,30.1701
Mote,ML75,24.5401,-81.44882,29.8993
Mote,ML76,24.52658,-81.50102,30.0192
Mote,ML77,24.52999,-81.48959,29.8415
Mote,ML78,24.52999,-81.48959,29.8415
Mote,ML79,24.5264,-81.50517,30.0192
Mote,ML80,24.5264,-81.50517,30.0192
Mote,ML84,24.54129,-81.44031,29.8993
Mote,ML88,24.51766,-81.5441,30.0192
Mote,ML89,24.51766,-81.5441,30.0192
Mote,ML90,24.55255,-81.57993,30.0639
RRT,Acer120RR, 25° 17.044'N, 80° 12.436'W,29.8605
RRT,Acer121RR, 25° 17.036'N, 80° 12.482'W,29.8605
RRT,Acer122RR, 25° 10.125'N, 80° 16.063'W,29.9009
RRT,Acer123RR, 24° 28.854'N, 81° 57.234'W,30.0319
RRT,Acer124RR, 24° 46.577'N, 80° 44.198'W,29.7761
RRT,Acer126RR, 24° 27.834'N, 81° 59.005'W,30.0319
RRT,ML3, 24° 33.784'N, 81° 24.060'W,30.2694
RRT,ML5, 24° 31.354'N, 81° 31.187'W,30.0192
RRT,ML31, 24° 32.862'N, 81° 27.418'W,29.8415
RRT,ML34, 24° 32.319'N, 81° 26.615'W,29.8993
RRT,ML41, 24° 33.192'N, 81° 26.255'W,30.2694
RRT,ML50, 24° 32.912'N, 81° 31.985'W,30.0192
