nursery,geno,max_temp,fvfm,date
nsu,1,36,0.105,2020-06
nsu,1,35,0.376,2020-06
nsu,1,32,0.549,2020-06
nsu,1,32,0.623,2020-06
nsu,1,37,0.076,2020-06
nsu,1,34,0.498,2020-06
nsu,1,35,0.374,2020-06
nsu,1,36,0.074,2020-06
nsu,1,36,0.123,2020-06
nsu,1,35,0.337,2020-06
nsu,1,33,0.552,2020-06
nsu,1,34,0.475,2020-06
nsu,1,37,0.091,2020-06
nsu,1,34,0.46,2020-06
nsu,1,35,0.367,2020-06
nsu,1,37,0,2020-06
nsu,1,34,0.562,2020-06
nsu,1,34,0.508,2020-06
nsu,1,32,0.622,2020-06
nsu,1,36,0.191,2020-06
nsu,1,33,0.516,2020-06
nsu,1,32,0.554,2020-06
nsu,1,37,0.032,2020-06
nsu,1,34,0.553,2020-06
nsu,1,32,0.536,2020-06
nsu,2,31.5,0.571,2020-06
nsu,2,33.5,0.521,2020-06
nsu,2,34.5,0.518,2020-06
nsu,2,34.5,0.498,2020-06
nsu,2,35.5,0.343,2020-06
nsu,2,35.5,0.339,2020-06
nsu,2,35.5,0.196,2020-06
nsu,2,36.5,0.115,2020-06
nsu,2,36.5,0.125,2020-06
nsu,2,31.5,0.574,2020-06
nsu,2,32.5,0.527,2020-06
nsu,2,32.5,0.58,2020-06
nsu,5,33.5,0.576,2020-06
nsu,5,33.5,0.588,2020-06
nsu,5,34.5,0.601,2020-06
nsu,5,34.5,0.577,2020-06
nsu,5,34.5,0.493,2020-06
nsu,5,35.5,0.443,2020-06
nsu,5,35.5,0.392,2020-06
nsu,5,36.5,0.12,2020-06
nsu,5,36.5,0.063,2020-06
nsu,5,36.5,0.192,2020-06
nsu,5,31.5,0.62,2020-06
nsu,5,31.5,0.611,2020-06
nsu,5,32.5,0.602,2020-06
nsu,5,32.5,0.62,2020-06
nsu,5,32.5,0.568,2020-06
nsu,7,33.5,0.592,2020-06
nsu,7,34.5,0.508,2020-06
nsu,7,34.5,0.565,2020-06
nsu,7,34.5,0.526,2020-06
nsu,7,35.5,0.365,2020-06
nsu,7,31.5,0.621,2020-06
nsu,7,31.5,0.636,2020-06
nsu,7,35.5,0.189,2020-06
nsu,7,35.5,0.326,2020-06
nsu,7,36.5,0.105,2020-06
nsu,7,31.5,0.636,2020-06
nsu,7,32.5,0.594,2020-06
nsu,7,32.5,0.598,2020-06
nsu,7,32.5,0.625,2020-06
nsu,7,32.5,0.65,2020-06
nsu,7,33.5,0.595,2020-06
nsu,7,33.5,0.655,2020-06
nsu,8,33.5,0.593,2020-06
nsu,8,33.5,0.619,2020-06
nsu,8,33.5,0.608,2020-06
nsu,8,33.5,0.617,2020-06
nsu,8,34.5,0.574,2020-06
nsu,8,34.5,0.571,2020-06
nsu,8,35.5,0.289,2020-06
nsu,8,36.5,0.136,2020-06
nsu,8,31.5,0.642,2020-06
nsu,8,31.5,0.631,2020-06
nsu,8,31.5,0.612,2020-06
nsu,8,32.5,0.64,2020-06
nsu,8,32.5,0.645,2020-06
nsu,9,34,0.491,2020-06
nsu,9,32,0.528,2020-06
nsu,9,32,0.504,2020-06
nsu,9,35,0.38,2020-06
nsu,9,32,0.519,2020-06
nsu,9,35,0.38,2020-06
nsu,9,33,0.496,2020-06
nsu,9,35,0.366,2020-06
nsu,9,37,0,2020-06
nsu,9,36,0.133,2020-06
nsu,9,37,0,2020-06
nsu,9,37,0,2020-06
nsu,9,36,0.114,2020-06
nsu,9,34,0.52,2020-06
nsu,9,35,0.271,2020-06
nsu,9,34,0.515,2020-06
nsu,20,33,0.536,2020-06
nsu,20,34,0.487,2020-06
nsu,20,35,0.427,2020-06
nsu,20,35,0.412,2020-06
nsu,20,34,0.608,2020-06
nsu,20,36,0.229,2020-06
nsu,20,35,0.463,2020-06
nsu,20,37,0,2020-06
nsu,20,32,0.549,2020-06
nsu,20,34,0.561,2020-06
nsu,30,31,0.567,2020-06
nsu,30,33,0.518,2020-06
