nursery,geno,max_temp,fvfm,date
nsu,kjs6,30,0.65,2020-08
nsu,kjs6,30,0.642,2020-08
nsu,kjs6,31,0.633,2020-08
nsu,kjs6,31,0.608,2020-08
nsu,kjs6,32,0.644,2020-08
nsu,kjs6,32,0.622,2020-08
nsu,kjs6,33,0.603,2020-08
nsu,kjs6,33,0.63,2020-08
nsu,kjs6,34,0.562,2020-08
nsu,kjs6,34,0.583,2020-08
nsu,kjs6,35,0.43,2020-08
nsu,kjs6,35,0.471,2020-08
nsu,kjs6,36,0.254,2020-08
nsu,kjs6,36,0.339,2020-08
nsu,kjs6,37,0.194,2020-08
nsu,kjs9,30,0.649,2020-08
nsu,kjs9,30,0.678,2020-08
nsu,kjs9,31,0.621,2020-08
nsu,kjs9,31,0.629,2020-08
nsu,kjs9,32,0.642,2020-08
nsu,kjs9,32,0.637,2020-08
nsu,kjs9,33,0.615,2020-08
nsu,kjs9,33,0.618,2020-08
nsu,kjs9,34,0.533,2020-08
nsu,kjs9,34,0.539,2020-08
nsu,kjs9,36,0.048,2020-08
nsu,kjs9,36,0,2020-08
nsu,kjs9,37,0,2020-08
nsu,kjs17,30,0.639,2020-08
nsu,kjs17,30,0.643,2020-08
nsu,kjs17,31,0.645,2020-08
nsu,kjs17,31,0.633,2020-08
nsu,kjs17,32,0.664,2020-08
nsu,kjs17,32,0.696,2020-08
nsu,kjs17,33,0.613,2020-08
nsu,kjs17,33,0.65,2020-08
nsu,kjs17,34,0.692,2020-08
nsu,kjs17,34,0.665,2020-08
nsu,kjs17,35,0.493,2020-08
nsu,kjs17,35,0.505,2020-08
nsu,kjs17,36,0.202,2020-08
nsu,kjs17,36,0.227,2020-08
nsu,kjs17,37,0.165,2020-08
nsu,kjs20,30,0.644,2020-08
nsu,kjs20,30,0.638,2020-08
nsu,kjs20,31,0.658,2020-08
nsu,kjs20,31,0.648,2020-08
nsu,kjs20,32,0.693,2020-08
nsu,kjs20,32,0.666,2020-08
nsu,kjs20,33,0.647,2020-08
nsu,kjs20,33,0.664,2020-08
nsu,kjs20,34,0.612,2020-08
nsu,kjs20,34,0.62,2020-08
nsu,kjs20,35,0.523,2020-08
nsu,kjs20,35,0.464,2020-08
nsu,kjs20,36,0,2020-08
nsu,kjs20,37,0.116,2020-08
nsu,kjs20,37,0.121,2020-08
nsu,kjs29,30,0.683,2020-08
nsu,kjs29,30,0.658,2020-08
nsu,kjs29,31,0.61,2020-08
nsu,kjs29,31,0.588,2020-08
nsu,kjs29,32,0.669,2020-08
nsu,kjs29,32,0.621,2020-08
nsu,kjs29,33,0.628,2020-08
nsu,kjs29,33,0.63,2020-08
nsu,kjs29,34,0.567,2020-08
nsu,kjs29,34,0.567,2020-08
nsu,kjs29,35,0.44,2020-08
nsu,kjs29,35,0.448,2020-08
nsu,kjs29,36,0.297,2020-08
nsu,kjs29,37,0.116,2020-08
nsu,kjs29,37,0.192,2020-08
nsu,kjs25,30,0.719,2020-08
nsu,kjs25,30,0.637,2020-08
nsu,kjs25,31,0.67,2020-08
nsu,kjs25,31,0.688,2020-08
nsu,kjs25,32,0.675,2020-08
nsu,kjs25,32,0.634,2020-08
nsu,kjs25,33,0.594,2020-08
nsu,kjs25,33,0.608,2020-08
nsu,kjs25,34,0.666,2020-08
nsu,kjs25,34,0.654,2020-08
nsu,kjs25,35,0.673,2020-08
nsu,kjs25,35,0.668,2020-08
nsu,kjs25,36,0.417,2020-08
nsu,kjs25,36,0.404,2020-08
nsu,kjs25,37,0.238,2020-08
nsu,kjs53?,30,0.688,2020-08
nsu,kjs53?,30,0.633,2020-08
nsu,kjs53?,31,0.56,2020-08
nsu,kjs53?,31,0.659,2020-08
nsu,kjs53?,32,0.611,2020-08
nsu,kjs53?,32,0.674,2020-08
nsu,kjs53?,33,0.588,2020-08
nsu,kjs53?,33,0.571,2020-08
nsu,kjs53?,34,0.569,2020-08
nsu,kjs53?,34,0.601,2020-08
nsu,kjs53?,35,0.451,2020-08
nsu,kjs53?,36,0.243,2020-08
nsu,kjs53?,36,0.131,2020-08
nsu,kjs53?,37,0,2020-08
nsu,kjs53,30,0.628,2020-08
nsu,kjs53,30,0.632,2020-08
nsu,kjs53,31,0.581,2020-08
nsu,kjs53,31,0.606,2020-08
nsu,kjs53,32,0.636,2020-08
nsu,kjs53,32,0.648,2020-08
nsu,kjs53,33,0.534,2020-08
nsu,kjs53,34,0.473,2020-08
nsu,kjs53,34,0.531,2020-08
nsu,kjs53,35,0.557,2020-08
nsu,kjs53,36,0.372,2020-08
nsu,kjs53,36,0.181,2020-08
nsu,kjs53,37,0.222,2020-08
nsu,kjs57,30,0.598,2020-08
nsu,kjs57,30,0.572,2020-08
nsu,kjs57,31,0.547,2020-08
nsu,kjs57,31,0.612,2020-08
nsu,kjs57,32,0.499,2020-08
nsu,kjs57,32,0.494,2020-08
nsu,kjs57,33,0.55,2020-08
nsu,kjs57,33,0.562,2020-08
nsu,kjs57,34,0.526,2020-08
nsu,kjs57,34,0.537,2020-08
nsu,kjs57,35,0.469,2020-08
nsu,kjs57,35,0.519,2020-08
nsu,kjs57,36,0.433,2020-08
nsu,kjs57,36,0.431,2020-08
nsu,kjs57,37,0,2020-08
nsu,kjs56,30,0.687,2020-08
nsu,kjs56,30,0.64,2020-08
nsu,kjs56,31,0.621,2020-08
nsu,kjs56,31,0.641,2020-08
nsu,kjs56,32,0.629,2020-08
nsu,kjs56,32,0.629,2020-08
nsu,kjs56,33,0.575,2020-08
nsu,kjs56,33,0.569,2020-08
nsu,kjs56,34,0.602,2020-08
nsu,kjs56,34,0.604,2020-08
nsu,kjs56,35,0.596,2020-08
nsu,kjs56,36,0.425,2020-08
nsu,kjs56,36,0.431,2020-08
nsu,kjs56,37,0.355,2020-08
nsu,kjs70,30,0.671,2020-08
nsu,kjs70,30,0.559,2020-08
nsu,kjs70,31,0.628,2020-08
nsu,kjs70,31,0.578,2020-08
nsu,kjs70,32,0.607,2020-08
nsu,kjs70,32,0.605,2020-08
nsu,kjs70,33,0.572,2020-08
nsu,kjs70,34,0.55,2020-08
nsu,kjs70,34,0.543,2020-08
nsu,kjs70,35,0.536,2020-08
nsu,kjs70,35,0.561,2020-08
nsu,kjs70,36,0.351,2020-08
nsu,kjs70,36,0.348,2020-08
nsu,kjs70,37,0.261,2020-08
nsu,kjs70,37,0.222,2020-08
nsu,kjs74,30,0.722,2020-08
nsu,kjs74,31,0.726,2020-08
nsu,kjs74,31,0.668,2020-08
nsu,kjs74,32,0.672,2020-08
nsu,kjs74,32,0.676,2020-08
nsu,kjs74,33,0.625,2020-08
nsu,kjs74,33,0.685,2020-08
nsu,kjs74,34,0.601,2020-08
nsu,kjs74,34,0.567,2020-08
nsu,kjs74,35,0.558,2020-08
nsu,kjs74,35,0.528,2020-08
nsu,kjs74,36,0.261,2020-08
nsu,kjs74,36,0.457,2020-08
nsu,kjs74,37,0.263,2020-08
nsu,kjs74,37,0.237,2020-08
nsu,kjs76,30,0.69,2020-08
nsu,kjs76,30,0.615,2020-08
nsu,kjs76,31,0.682,2020-08
nsu,kjs76,31,0.617,2020-08
nsu,kjs76,32,0.607,2020-08
nsu,kjs76,32,0.608,2020-08
nsu,kjs76,33,0.618,2020-08
nsu,kjs76,33,0.624,2020-08
nsu,kjs76,34,0.544,2020-08
nsu,kjs76,34,0.575,2020-08
nsu,kjs76,35,0.514,2020-08
nsu,kjs76,36,0.309,2020-08
nsu,kjs76,36,0,2020-08
nsu,kjs76,37,0.08,2020-08
nsu,kjs75,30,0.582,2020-08
nsu,kjs75,30,0.649,2020-08
nsu,kjs75,31,0.673,2020-08
nsu,kjs75,31,0.565,2020-08
nsu,kjs75,32,0.655,2020-08
nsu,kjs75,32,0.642,2020-08
nsu,kjs75,33,0.589,2020-08
nsu,kjs75,33,0.6,2020-08
nsu,kjs75,34,0.582,2020-08
nsu,kjs75,34,0.562,2020-08
nsu,kjs75,35,0.546,2020-08
nsu,kjs75,35,0.495,2020-08
