nursery,geno,max_temp,fvfm,date
rrt,U15(A),38,0,2020-10
rrt,U15(A),37,0.26,2020-10
rrt,U15(A),37,0.124,2020-10
rrt,U15(A),36,0.21,2020-10
rrt,U15(A),35,0.409,2020-10
rrt,U15(A),35,0.377,2020-10
rrt,U15(A),34,0.669,2020-10
rrt,U15(A),34,0.602,2020-10
rrt,U15(A),33,0.625,2020-10
rrt,U15(A),33,0.623,2020-10
rrt,U15(A),32,0.636,2020-10
rrt,U15(A),32,0.644,2020-10
rrt,U15(A),30,0.645,2020-10
rrt,U15(A),30,0.64,2020-10
rrt,M6,38,0,2020-10
rrt,M6,38,0,2020-10
rrt,M6,37,0.161,2020-10
rrt,M6,36,0.361,2020-10
rrt,M6,36,0.25,2020-10
rrt,M6,35,0.48,2020-10
rrt,M6,35,0.507,2020-10
rrt,M6,34,0.607,2020-10
rrt,M6,34,0.636,2020-10
rrt,M6,33,0.637,2020-10
rrt,M6,33,0.744,2020-10
rrt,M6,32,0.598,2020-10
rrt,M6,32,0.621,2020-10
rrt,M6,30,0.647,2020-10
rrt,M6,30,0.613,2020-10
rrt,FM12,38,0,2020-10
rrt,FM12,38,0.027,2020-10
rrt,FM12,37,0.311,2020-10
rrt,FM12,36,0.4,2020-10
rrt,FM12,36,0.283,2020-10
rrt,FM12,35,0.386,2020-10
rrt,FM12,35,0.364,2020-10
rrt,FM12,34,0.617,2020-10
rrt,FM12,34,0.622,2020-10
rrt,FM12,33,0.674,2020-10
rrt,FM12,33,0.639,2020-10
rrt,FM12,32,0.646,2020-10
rrt,FM12,32,0.63,2020-10
rrt,FM12,30,0.655,2020-10
rrt,FM12,30,0.632,2020-10
rrt,FM9,38,0.206,2020-10
rrt,FM9,38,0,2020-10
rrt,FM9,37,0.139,2020-10
rrt,FM9,36,0.52,2020-10
rrt,FM9,36,0.385,2020-10
rrt,FM9,35,0.48,2020-10
rrt,FM9,35,0.386,2020-10
rrt,FM9,34,0.62,2020-10
rrt,FM9,34,0.665,2020-10
rrt,FM9,33,0.717,2020-10
rrt,FM9,33,0.665,2020-10
rrt,FM9,32,0.614,2020-10
rrt,FM9,32,0.619,2020-10
rrt,FM9,30,0.635,2020-10
rrt,FM9,30,0.619,2020-10
rrt,U19,38,0,2020-10
rrt,U19,38,0,2020-10
rrt,U19,37,0.295,2020-10
rrt,U19,36,0.275,2020-10
rrt,U19,36,0.523,2020-10
rrt,U19,35,0.461,2020-10
rrt,U19,35,0.512,2020-10
rrt,U19,34,0.57,2020-10
rrt,U19,34,0.599,2020-10
rrt,U19,33,0.598,2020-10
rrt,U19,33,0.594,2020-10
rrt,U19,32,0.685,2020-10
rrt,U19,32,0.646,2020-10
rrt,U19,30,0.631,2020-10
rrt,U19,30,0.679,2020-10
rrt,K1,38,0.165,2020-10
rrt,K1,37,0,2020-10
rrt,K1,37,0.157,2020-10
rrt,K1,36,0.286,2020-10
rrt,K1,36,0.212,2020-10
rrt,K1,35,0.356,2020-10
rrt,K1,35,0.372,2020-10
rrt,K1,34,0.546,2020-10
rrt,K1,34,0.613,2020-10
rrt,K1,33,0.727,2020-10
rrt,K1,32,0.661,2020-10
rrt,K1,32,0.664,2020-10
rrt,K1,30,0.654,2020-10
rrt,K1,30,0.65,2020-10
rrt,K2,38,0,2020-10
rrt,K2,37,0.097,2020-10
rrt,K2,37,0,2020-10
rrt,K2,36,0.351,2020-10
rrt,K2,35,0.555,2020-10
rrt,K2,35,0.648,2020-10
rrt,K2,34,0.654,2020-10
rrt,K2,34,0.615,2020-10
rrt,K2,33,0.656,2020-10
rrt,K2,33,0.62,2020-10
rrt,K2,32,0.588,2020-10
rrt,K2,32,0.63,2020-10
rrt,K2,30,0.66,2020-10
rrt,K2,30,0.65,2020-10
rrt,CM6,38,0,2020-10
rrt,CM6,37,0.188,2020-10
rrt,CM6,37,0.216,2020-10
rrt,CM6,36,0.39,2020-10
rrt,CM6,36,0.495,2020-10
rrt,CM6,35,0.424,2020-10
rrt,CM6,35,0.582,2020-10
rrt,CM6,34,0.589,2020-10
rrt,CM6,33,0.641,2020-10
rrt,CM6,33,0.605,2020-10
rrt,CM6,32,0.603,2020-10
rrt,CM6,32,0.604,2020-10
rrt,CM6,30,0.714,2020-10
rrt,CM6,30,0.632,2020-10
rrt,FM20,38,0.352,2020-10
rrt,FM20,38,0.119,2020-10
rrt,FM20,36,0.431,2020-10
rrt,FM20,36,0.343,2020-10
rrt,FM20,35,0.473,2020-10
rrt,FM20,35,0.425,2020-10
rrt,FM20,34,0.701,2020-10
rrt,FM20,33,0.627,2020-10
rrt,FM20,33,0.678,2020-10
rrt,FM20,32,0.628,2020-10
rrt,FM20,32,0.639,2020-10
rrt,FM20,30,0.65,2020-10
rrt,FM20,30,0.648,2020-10
rrt,U94,38,0.181,2020-10
rrt,U94,38,0.094,2020-10
rrt,U94,37,0.503,2020-10
rrt,U94,36,0.526,2020-10
rrt,U94,36,0.412,2020-10
rrt,U94,35,0.424,2020-10
rrt,U94,35,0.502,2020-10
rrt,U94,34,0.614,2020-10
rrt,U94,34,0.62,2020-10
rrt,U94,33,0.697,2020-10
rrt,U94,33,0.608,2020-10
rrt,U94,32,0.648,2020-10
rrt,U94,32,0.629,2020-10
rrt,U94,30,0.646,2020-10
rrt,U94,30,0.665,2020-10
rrt,U93,38,0.052,2020-10
rrt,U93,37,0,2020-10
rrt,U93,37,0.351,2020-10
rrt,U93,36,0,2020-10
rrt,U93,36,0.553,2020-10
rrt,U93,35,0.533,2020-10
rrt,U93,35,0.513,2020-10
rrt,U93,34,0.621,2020-10
rrt,U93,34,0.631,2020-10
rrt,U93,33,0.699,2020-10
rrt,U93,33,0.701,2020-10
rrt,U93,32,0.656,2020-10
rrt,U93,32,0.626,2020-10
rrt,U93,30,0.645,2020-10
rrt,U93,30,0.659,2020-10
rrt,FM19(C),38,0,2020-10
rrt,FM19(C),38,0,2020-10
rrt,FM19(C),37,0,2020-10
rrt,FM19(C),36,0.271,2020-10
rrt,FM19(C),36,0.341,2020-10
rrt,FM19(C),35,0.388,2020-10
rrt,FM19(C),35,0.301,2020-10
rrt,FM19(C),34,0.577,2020-10
rrt,FM19(C),34,0.578,2020-10
rrt,FM19(C),33,0.736,2020-10
rrt,FM19(C),33,0.654,2020-10
rrt,FM19(C),32,0.673,2020-10
rrt,FM19(C),32,0.657,2020-10
rrt,FM19(C),30,0.655,2020-10
rrt,FM19(C),30,0.639,2020-10
rrt,M5,38,0.144,2020-10
rrt,M5,38,0.291,2020-10
rrt,M5,37,0.221,2020-10
rrt,M5,36,0.41,2020-10
rrt,M5,36,0.452,2020-10
rrt,M5,35,0.497,2020-10
rrt,M5,35,0.439,2020-10
rrt,M5,34,0.621,2020-10
rrt,M5,34,0.639,2020-10
rrt,M5,33,0.68,2020-10
rrt,M5,33,0.681,2020-10
rrt,M5,32,0.618,2020-10
rrt,M5,32,0.635,2020-10
rrt,M5,30,0.645,2020-10
rrt,M5,30,0.657,2020-10
rrt,U15(B),38,0.275,2020-10
rrt,U15(B),38,0,2020-10
rrt,U15(B),37,0.271,2020-10
rrt,U15(B),37,0,2020-10
rrt,U15(B),36,0,2020-10
rrt,U15(B),35,0.582,2020-10
rrt,U15(B),35,0.413,2020-10
rrt,U15(B),34,0.588,2020-10
rrt,U15(B),34,0.635,2020-10
rrt,U15(B),33,0.685,2020-10
rrt,U15(B),33,0.713,2020-10
rrt,U15(B),32,0.634,2020-10
rrt,U15(B),32,0.646,2020-10
rrt,U15(B),30,0.627,2020-10
rrt,U15(B),30,0.637,2020-10
rrt,ML31,38,0,2020-10
rrt,ML31,38,0.074,2020-10
rrt,ML31,37,0,2020-10
rrt,ML31,36,0,2020-10
rrt,ML31,35,0.446,2020-10
rrt,ML31,35,0.442,2020-10
rrt,ML31,34,0.553,2020-10
rrt,ML31,34,0.618,2020-10
rrt,ML31,33,0.691,2020-10
rrt,ML31,33,0.716,2020-10
rrt,ML31,32,0.635,2020-10
rrt,ML31,32,0.621,2020-10
rrt,ML31,30,0.713,2020-10
rrt,ML31,30,0.664,2020-10
rrt,FM7,38,0,2020-10
rrt,FM7,37,0.332,2020-10
rrt,FM7,37,0.409,2020-10
