nursery,geno,max_temp,fvfm
crf,CRF098,35,0.515
crf,CRF098,35,0.54
crf,CRF098,36,0.45
crf,CRF098,36,0.47
crf,CRF098,37,0
crf,CRF098,37,0
crf,CRF098,38,0.123
crf,CRF098,34,0.548
crf,CRF098,34,0.641
crf,CRF098,33,0.648
crf,CRF098,33,0.645
crf,CRF098,32,0.66
crf,CRF098,32,0.744
crf,CRF098,30,0.639
crf,CRF098,30,0.616
crf,CRF008,35,0.543
crf,CRF008,35,0.537
crf,CRF008,36,0.286
crf,CRF008,36,0.409
crf,CRF008,37,0.264
crf,CRF008,37,0.366
crf,CRF008,38,0.194
crf,CRF008,38,0.258
crf,CRF008,34,0.631
crf,CRF008,34,0.626
crf,CRF008,33,0.639
crf,CRF008,33,0.555
crf,CRF008,32,0.636
crf,CRF008,32,0.673
crf,CRF008,30,0.642
crf,CRF008,30,0.649
crf,CRF053,35,0.52
crf,CRF053,35,0.481
crf,CRF053,36,0.312
crf,CRF053,36,0.27
crf,CRF053,37,0.194
crf,CRF053,38,0
crf,CRF053,38,0
crf,CRF053,34,0.538
crf,CRF053,34,0.57
crf,CRF053,33,0.615
crf,CRF053,33,0.609
crf,CRF053,32,0.607
crf,CRF053,32,0.616
crf,CRF053,30,0.661
crf,CRF053,30,0.652
crf,CRF039,35,0.484
crf,CRF039,35,0.404
crf,CRF039,36,0.186
crf,CRF039,36,0.209
crf,CRF039,37,0
crf,CRF039,37,0
crf,CRF039,38,0
crf,CRF039,34,0.549
crf,CRF039,34,0.556
crf,CRF039,33,0.643
crf,CRF039,33,0.581
crf,CRF039,32,0.589
crf,CRF039,32,0.656
crf,CRF039,30,0.598
crf,CRF039,30,0.603
crf,CRF118,35,0.475
crf,CRF118,36,0.227
crf,CRF118,37,0
crf,CRF118,37,0
crf,CRF118,38,0
crf,CRF118,38,0
crf,CRF118,34,0.535
crf,CRF118,34,0.55
crf,CRF118,33,0.6
crf,CRF118,32,0.591
crf,CRF118,32,0.607
crf,CRF118,30,0.57
crf,CRF118,30,0.591
crf,CRF019,35,0.346
crf,CRF019,36,0.305
crf,CRF019,36,0.254
crf,CRF019,37,0.239
crf,CRF019,37,0.204
crf,CRF019,38,0.149
crf,CRF019,38,0.159
crf,CRF019,34,0.504
crf,CRF019,34,0.564
crf,CRF019,33,0.607
crf,CRF019,33,0.609
crf,CRF019,32,0.671
crf,CRF019,32,0.659
crf,CRF019,30,0.641
crf,CRF019,30,0.669
crf,CRF033,35,0.366
crf,CRF033,35,0.421
crf,CRF033,36,0.173
crf,CRF033,36,0.178
crf,CRF033,37,0.254
crf,CRF033,37,0.198
crf,CRF033,38,0.279
crf,CRF033,34,0.514
crf,CRF033,34,0.507
crf,CRF033,33,0.655
crf,CRF033,33,0.644
crf,CRF033,32,0.635
crf,CRF033,32,0.628
crf,CRF033,30,0.664
crf,CRF033,30,0.617
crf,CRF076,35,0.398
crf,CRF076,35,0.454
crf,CRF076,36,0.266
crf,CRF076,36,0.232
crf,CRF076,37,0.343
crf,CRF076,37,0.322
crf,CRF076,38,0.186
crf,CRF076,38,0.212
crf,CRF076,34,0.569
crf,CRF076,34,0.606
crf,CRF076,33,0.59
crf,CRF076,33,0.431
crf,CRF076,32,0.618
crf,CRF076,32,0.638
crf,CRF076,30,0.638
crf,CRF076,30,0.63
crf,CRF087,35,0.484
crf,CRF087,35,0.433
crf,CRF087,36,0.28
crf,CRF087,36,0.272
crf,CRF087,37,0.263
crf,CRF087,37,0.257
crf,CRF087,38,0.237
crf,CRF087,38,0.209
crf,CRF087,34,0.644
crf,CRF087,34,0.617
crf,CRF087,33,0.609
crf,CRF087,33,0.636
crf,CRF087,32,0.575
crf,CRF087,32,0.582
crf,CRF087,30,0.639
crf,CRF087,30,0.616
crf,CRF043,35,0.422
crf,CRF043,35,0.385
crf,CRF043,36,0.448
crf,CRF043,37,0.277
crf,CRF043,37,0.293
crf,CRF043,38,0.237
crf,CRF043,38,0.279
crf,CRF043,34,0.466
crf,CRF043,34,0.605
crf,CRF043,33,0.653
crf,CRF043,33,0.635
crf,CRF043,32,0.636
crf,CRF043,32,0.645
crf,CRF043,30,0.638
crf,CRF043,30,0.646
crf,CRF108,35,0.49
crf,CRF108,35,0.43
crf,CRF108,36,0.321
crf,CRF108,36,0.305
crf,CRF108,37,0.296
crf,CRF108,37,0.272
crf,CRF108,38,0.143
crf,CRF108,34,0.628
crf,CRF108,34,0.596
crf,CRF108,33,0.636
crf,CRF108,33,0.66
crf,CRF108,32,0.663
crf,CRF108,32,0.64
crf,CRF108,30,0.652
crf,CRF108,30,0.717
crf,CRF040,35,0.541
crf,CRF040,35,0.417
crf,CRF040,36,0.204
crf,CRF040,36,0.15
crf,CRF040,37,0.237
crf,CRF040,38,0
crf,CRF040,38,0.126
crf,CRF040,34,0.589
crf,CRF040,34,0.556
crf,CRF040,33,0.593
crf,CRF040,33,0.589
crf,CRF040,32,0.684
crf,CRF040,32,0.605
crf,CRF040,30,0.63
crf,CRF040,30,0.611
crf,CRF051,35,0.419
crf,CRF051,35,0.541
crf,CRF051,36,0.234
crf,CRF051,37,0
crf,CRF051,37,0
crf,CRF051,38,0
crf,CRF051,38,0
crf,CRF051,34,0.583
crf,CRF051,34,0.535
crf,CRF051,33,0.656
crf,CRF051,33,0.711
crf,CRF051,32,0.667
crf,CRF051,32,0.669
crf,CRF051,30,0.654
crf,CRF051,30,0.67
crf,CRF095,35,0.457
crf,CRF095,35,0.398
crf,CRF095,36,0.336
crf,CRF095,36,0.211
crf,CRF095,37,0
crf,CRF095,37,0.292
crf,CRF095,38,0.186
crf,CRF095,34,0.524
crf,CRF095,34,0.528
crf,CRF095,33,0.612
crf,CRF095,33,0.565
crf,CRF095,32,0.641
crf,CRF095,32,0.619
crf,CRF095,30,0.681
crf,CRF095,30,0.673
crf,CRF032,35,0.37
crf,CRF032,35,0.41
crf,CRF032,36,0.354
crf,CRF032,36,0.385
crf,CRF032,37,0.197
crf,CRF032,38,0.25
crf,CRF032,38,0.194
crf,CRF032,34,0.584
crf,CRF032,34,0.513
crf,CRF032,33,0.563
crf,CRF032,33,0.557
crf,CRF032,32,0.608
crf,CRF032,32,0.599
crf,CRF032,30,0.606
crf,CRF032,30,0.613
crf,CRF113,35,0.374
crf,CRF113,35,0.581
crf,CRF113,36,0.291
crf,CRF113,36,0.309
crf,CRF113,37,0.326
crf,CRF113,37,0.211
crf,CRF113,38,0.144
crf,CRF113,34,0.554
crf,CRF113,34,0.528
crf,CRF113,33,0.622
crf,CRF113,33,0.628
crf,CRF113,32,0.667
crf,CRF113,32,0.618
crf,CRF113,30,0.618
crf,CRF113,30,0.584
crf,CRF112,35,0.392
crf,CRF112,36,0.164
crf,CRF112,36,0
crf,CRF112,37,0
crf,CRF112,38,0
crf,CRF112,38,0
crf,CRF112,34,0.638
crf,CRF112,34,0.606
crf,CRF112,33,0.622
crf,CRF112,33,0.667
crf,CRF112,32,0.657
crf,CRF112,32,0.671
crf,CRF112,30,0.633
crf,CRF112,30,0.634
crf,CRF029,35,0.445
crf,CRF029,35,0.256
crf,CRF029,36,0.28
crf,CRF029,36,0.24
crf,CRF029,37,0.29
crf,CRF029,37,0.286
crf,CRF029,38,0.206
crf,CRF029,38,0
crf,CRF029,34,0.482
crf,CRF029,34,0.495
crf,CRF029,33,0.594
crf,CRF029,33,0.65
crf,CRF029,32,0.623
crf,CRF029,32,0.663
crf,CRF029,30,0.585
crf,CRF029,30,0.663
crf,CRF085,35,0.399
crf,CRF085,35,0.452
crf,CRF085,36,0.362
crf,CRF085,36,0.298
crf,CRF085,37,0
crf,CRF085,37,0.163
crf,CRF085,38,0.194
crf,CRF085,34,0.564
crf,CRF085,34,0.581
crf,CRF085,33,0.596
crf,CRF085,33,0.612
crf,CRF085,32,0.687
crf,CRF085,32,0.62
crf,CRF085,30,0.643
crf,CRF085,30,0.631
crf,CRF094,35,0.464
crf,CRF094,35,0.443
crf,CRF094,36,0.143
crf,CRF094,36,0.283
crf,CRF094,37,0
crf,CRF094,38,0
crf,CRF094,34,0.561
crf,CRF094,34,0.55
crf,CRF094,33,0.646
crf,CRF094,33,0.644
crf,CRF094,32,0.657
crf,CRF094,32,0.634
crf,CRF094,30,0.646
crf,CRF094,30,0.653
crf,CRF121,35,0.484
crf,CRF121,35,0.471
crf,CRF121,36,0.306
crf,CRF121,36,0.183
crf,CRF121,37,0
