nursery,geno,max_temp,fvfm,date
um,66y,35,0.414,2020-10
um,66y,35,0.533,2020-10
um,66y,36,0.263,2020-10
um,66y,36,0.406,2020-10
um,66y,37,0.211,2020-10
um,66y,37,0.209,2020-10
um,66y,38,0.199,2020-10
um,66y,34,0.563,2020-10
um,66y,34,0.594,2020-10
um,66y,33,0.612,2020-10
um,66y,33,0.638,2020-10
um,66y,32,0.669,2020-10
um,66y,32,0.673,2020-10
um,66y,30,0.65,2020-10
um,66y,30,0.659,2020-10
um,40y,35,0.259,2020-10
um,40y,35,0.296,2020-10
um,40y,36,0.195,2020-10
um,40y,36,0.207,2020-10
um,40y,37,0.283,2020-10
um,40y,37,0.265,2020-10
um,40y,38,0.191,2020-10
um,40y,34,0.555,2020-10
um,40y,34,0.602,2020-10
um,40y,33,0.648,2020-10
um,40y,33,0.627,2020-10
um,40y,32,0.644,2020-10
um,40y,32,0.62,2020-10
um,40y,30,0.663,2020-10
um,40y,30,0.588,2020-10
um,49y,35,0.532,2020-10
um,49y,35,0.475,2020-10
um,49y,36,0.304,2020-10
um,49y,36,0.31,2020-10
um,49y,37,0.147,2020-10
um,49y,38,0,2020-10
um,49y,38,0,2020-10
um,49y,34,0.641,2020-10
um,49y,34,0.672,2020-10
um,49y,33,0.615,2020-10
um,49y,33,0.608,2020-10
um,49y,32,0.672,2020-10
um,49y,32,0.593,2020-10
um,49y,30,0.643,2020-10
um,49y,30,0.66,2020-10
um,44y,35,0.517,2020-10
um,44y,35,0.448,2020-10
um,44y,36,0.203,2020-10
um,44y,36,0.243,2020-10
um,44y,37,0.089,2020-10
um,44y,38,0,2020-10
um,44y,38,0,2020-10
um,44y,34,0.608,2020-10
um,44y,34,0.651,2020-10
um,44y,33,0.586,2020-10
um,44y,33,0.645,2020-10
um,44y,32,0.656,2020-10
um,44y,32,0.682,2020-10
um,44y,30,0.706,2020-10
um,44y,30,0.667,2020-10
um,70y,35,0.425,2020-10
um,70y,35,0.378,2020-10
um,70y,36,0.421,2020-10
um,70y,37,0.266,2020-10
um,70y,37,0.261,2020-10
um,70y,38,0,2020-10
um,70y,38,0,2020-10
um,70y,34,0.576,2020-10
um,70y,34,0.58,2020-10
um,70y,33,0.666,2020-10
um,70y,33,0.609,2020-10
um,70y,32,0.638,2020-10
um,70y,32,0.64,2020-10
um,70y,30,0.719,2020-10
um,70y,30,0.683,2020-10
um,59y,35,0.358,2020-10
um,59y,35,0.35,2020-10
um,59y,36,0.35,2020-10
um,59y,36,0.174,2020-10
um,59y,37,0.28,2020-10
um,59y,37,0.162,2020-10
um,59y,38,0,2020-10
um,59y,34,0.452,2020-10
um,59y,34,0.432,2020-10
um,59y,33,0.573,2020-10
um,59y,33,0.56,2020-10
