PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
COVID_Cruise_2020,2020_August_20,40866,8,36,36,30.00,0.00,-126.70,HTR,30.00,0.00,-126.60,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-127.00,HTR,
COVID_Cruise_2020,2020_August_20,45666,8,36,41,30.00,0.00,-126.70,HTR,30.00,0.00,-126.60,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-127.00,HTR,
COVID_Cruise_2020,2020_August_20,50306,8,36,45,30.00,0.00,-126.70,HTR,30.00,0.00,-126.60,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-127.00,HTR,
COVID_Cruise_2020,2020_August_20,54944,8,36,50,30.00,0.00,-126.70,HTR,30.00,0.00,-126.60,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-127.00,HTR,
COVID_Cruise_2020,2020_August_20,59585,8,36,55,30.00,0.00,-126.70,HTR,30.00,0.00,-126.60,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-127.00,HTR,
COVID_Cruise_2020,2020_August_20,64223,8,37,1,30.00,0.00,-126.70,HTR,30.00,0.00,-126.60,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-127.00,HTR,
COVID_Cruise_2020,2020_August_20,70354,8,37,5,30.00,0.00,-126.70,HTR,30.00,0.00,-126.60,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-127.00,HTR,
COVID_Cruise_2020,2020_August_20,74995,8,37,10,30.00,0.00,-126.70,HTR,30.00,0.00,-126.60,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-127.00,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
COVID_Cruise_2020,2020_August_20,40242,11,33,38,30.00,30.05,30.05,CHL,30.00,30.09,30.09,CHL,30.00,30.05,30.05,CHL,30.00,30.00,30.00,CHL,
COVID_Cruise_2020,2020_August_20,45889,11,33,43,30.00,30.05,30.05,CHL,30.00,30.02,30.02,HTR,30.00,30.11,30.11,CHL,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,51365,11,33,48,30.00,30.05,30.05,CHL,30.00,30.09,30.09,CHL,30.00,30.05,30.05,HTR,30.00,30.00,30.00,HTR,
COVID_Cruise_2020,2020_August_20,56839,11,33,54,30.00,30.05,30.05,CHL,30.00,30.09,30.09,CHL,30.00,30.11,30.11,CHL,30.00,30.06,30.06,CHL,
