Tank,Temperature,Time,Genotype,PAM1,PAM2
S7,32,20:16,25,0.589,0.604
S7,32,20:16,162,0.584,0.561
S7,32,20:16,21,0.567,0.627
S7,32,20:16,150,0.595,0.623
S7,32,20:16,28,0.685,0.686
S7,32,20:16,11,0.591,0.595
S7,32,20:16,CN3,0.569,0.621
S7,32,20:16,182,0.605,0.55
S7,32,20:16,174,0.595,0.607
S7,32,20:16,166,0.605,0.63
S7,32,20:16,167,0.57,0.578
S7,32,20:16,176B,0.66,0.629
S7,32,20:16,171,0.65,0.676
S7,32,20:16,173,0.66,0.422
S7,32,20:16,CN2,0.567,0.576
S7,32,20:16,175,0.552,0.697
S7,32,20:16,156,0.657,0.697
S7,32,20:16,170B,0.595,0.678
S7,32,20:16,165,0.632,0.724
S7,32,20:16,161,0.551,0.679
S7,32,20:16,154,0.704,0.673
P7,32,20:35,163,0.602,0.633
P7,32,20:35,168,0.632,0.653
P7,32,20:35,PK10,0.564,0.558
P7,32,20:35,178,0.602,0.616
P7,32,20:35,26,0.657,0.43
P7,32,20:35,159,0.61,0.609
P7,32,20:35,170A,0.57,0.608
P7,32,20:35,172,0.577,0.592
P7,32,20:35,155,0.583,0.553
P7,32,20:35,10,0.577,0.568
P7,32,20:35,183,0.638,0.63
P7,32,20:35,160,0.582,0.612
P7,32,20:35,CN4,0.654,0.587
P7,32,20:35,176A,0.625,0.647
P7,32,20:35,179,0.578,0.599
P7,32,20:35,M3,0.698,0.614
P7,32,20:35,157,0.657,0.679
P7,32,20:35,153,0.714,0.688
P7,32,20:35,164,0.635,0.635
P7,32,20:35,HS1,0.724,0.665
P7,32,20:35,M2,0.698,0.68
P2,36,20:46,163,0.242,0.455
P2,36,20:46,168,0.386,0.386
P2,36,20:46,PK10,0.471,0.472
P2,36,20:46,178,0.513,0.502
P2,36,20:46,26,0.287,0.31
P2,36,20:46,159,0.545,0.555
P2,36,20:46,170A,0.284,0.394
P2,36,20:46,172,0.468,0.462
P2,36,20:46,155,0.283,0.313
P2,36,20:46,10,0.388,0.415
P2,36,20:46,183,0.535,0.461
P2,36,20:46,160,0.498,0.358
P2,36,20:46,CN4,0.416,0.414
P2,36,20:46,176A,0.266,0.207
P2,36,20:46,179,0.437,0.333
P2,36,20:46,M3,0.513,0.632
P2,36,20:46,157,0.48,0.435
P2,36,20:46,153,0.523,0.528
P2,36,20:46,164,0.511,0.573
P2,36,20:46,HS1,0.502,0.506
P2,36,20:46,M2,0.521,0.542
S3,36,21:13,25,0.589,0.627
S3,36,21:13,162,0.453,0.318
S3,36,21:13,21,0.466,0.249
S3,36,21:13,150,0.532,0.545
S3,36,21:13,28,0.278,0.464
S3,36,21:13,11,0.473,0.509
S3,36,21:13,CN3,0.257,0.366
S3,36,21:13,182,0.554,0.445
S3,36,21:13,174,0.493,0.324
S3,36,21:13,166,0.432,0.423
S3,36,21:13,167,0.233,0.248
S3,36,21:13,176B,0.387,0.399
S3,36,21:13,171,0.488,0.518
S3,36,21:13,173,0.409,0.355
S3,36,21:13,CN2,0.469,0.418
S3,36,21:13,175,0.413,0.457
S3,36,21:13,156,0.4,0.619
S3,36,21:13,170B,0.239,0.412
S3,36,21:13,165,0.583,0.427
S3,36,21:13,161,0.413,0.542
S3,36,21:13,154,0.533,0.565
S6,33,21:32,25,0.555,0.626
S6,33,21:32,162,0.574,0.64
S6,33,21:32,21,0.633,0.663
S6,33,21:32,150,0.607,0.683
S6,33,21:32,28,0.62,0.647
S6,33,21:32,11,0.626,0.657
S6,33,21:32,CN3,0.666,0.652
S6,33,21:32,182,0.584,0.686
S6,33,21:32,174,0.55,0.601
S6,33,21:32,166,0.607,0.608
S6,33,21:32,167,0.736,0.554
S6,33,21:32,176B,0.669,0.763
S6,33,21:32,171,0.731,0.621
S6,33,21:32,173,0.589,0.594
S6,33,21:32,CN2,0.691,0.74
S6,33,21:32,175,0.669,0.765
S6,33,21:32,156,0.666,0.736
S6,33,21:32,170B,0.682,0.633
S6,33,21:32,165,0.602,0.583
S6,33,21:32,161,0.669,0.583
S6,33,21:32,154,0.778,0.626
P6,33,21:49,163,0.593,0.5
P6,33,21:49,168,0.562,0.406
P6,33,21:49,PK10,0.641,0.694
P6,33,21:49,178,0.754,0.713
P6,33,21:49,26,0.698,0.645
P6,33,21:49,159,0.689,0.602
P6,33,21:49,170A,0.591,0.584
P6,33,21:49,172,0.65,0.596
P6,33,21:49,155,0.873,0.68
P6,33,21:49,10,0.493,0.601
P6,33,21:49,183,0.751,0.646
P6,33,21:49,160,0.586,0.551
P6,33,21:49,CN4,0.61,0.815
P6,33,21:49,176A,0.636,0.576
P6,33,21:49,179,0.696,0.634
P6,33,21:49,M3,0.33,0.584
P6,33,21:49,157,0.663,0.651
P6,33,21:49,153,0.588,0.7
P6,33,21:49,164,0.673,0.6
P6,33,21:49,HS1,0.615,0.686
P6,33,21:49,M2,0.57,0.539
S8,30,22:00,25,0.571,0.707
S8,30,22:00,162,0.644,0.609
S8,30,22:00,21,0.725,0.559
S8,30,22:00,150,0.825,0.722
S8,30,22:00,28,0.64,0.687
S8,30,22:00,11,0.6,0.515
S8,30,22:00,CN3,0.592,0.614
S8,30,22:00,182,0.549,0.593
S8,30,22:00,174,0.794,0.656
S8,30,22:00,166,0.614,0.602
S8,30,22:00,167,0.631,0.594
S8,30,22:00,176B,0.664,0.703
S8,30,22:00,171,0.627,0.69
S8,30,22:00,173,0.754,0.54
S8,30,22:00,CN2,0.591,0.568
S8,30,22:00,175,0.642,0.614
S8,30,22:00,156,0.681,0.618
S8,30,22:00,170B,0.459,0.63
S8,30,22:00,165,0.63,0.726
S8,30,22:00,161,0.717,0.64
S8,30,22:00,154,0.732,0.616
P8,30,22:13,163,0.736,0.686
P8,30,22:13,168,0.574,0.621
P8,30,22:13,PK10,0.778,0.668
P8,30,22:13,178,0.63,0.603
P8,30,22:13,26,0.77,0.72
P8,30,22:13,159,0.688,0.649
P8,30,22:13,170A,0.677,0.616
P8,30,22:13,172,0.627,0.751
P8,30,22:13,155,0.736,0.626
P8,30,22:13,10,0.573,0.61
P8,30,22:13,183,0.622,0.64
P8,30,22:13,160,0.716,0.666
P8,30,22:13,CN4,0.59,0.635
P8,30,22:13,176A,0.643,0.642
P8,30,22:13,179,0.551,0.62
P8,30,22:13,M3,0.719,0.692
P8,30,22:13,157,0.683,0.638
P8,30,22:13,153,0.609,0.671
P8,30,22:13,164,0.76,0.669
P8,30,22:13,HS1,0.622,0.645
P8,30,22:13,M2,0.582,0.576
P5,34,22:29,163,0.577,0.485
P5,34,22:29,168,0.483,0.605
P5,34,22:29,PK10,0.565,0.573
P5,34,22:29,178,0.583,0.61
P5,34,22:29,26,0.545,0.512
P5,34,22:29,159,0.658,0.582
P5,34,22:29,170A,0.526,0.527
P5,34,22:29,172,0.657,0.687
P5,34,22:29,155,0.48,0.552
P5,34,22:29,10,0.525,0.588
P5,34,22:29,183,0.546,0.543
P5,34,22:29,160,0.546,0.572
P5,34,22:29,CN4,0.586,0.578
P5,34,22:29,176A,0.662,0.579
P5,34,22:29,179,0.665,0.573
P5,34,22:29,M3,0.565,0.681
P5,34,22:29,157,0.497,0.477
P5,34,22:29,153,0.711,0.612
P5,34,22:29,164,0.558,0.685
P5,34,22:29,HS1,0.592,0.728
P5,34,22:29,M2,0.632,0.643
P4,38,22:41,163,,
P4,38,22:41,168,0.345,0.525
P4,38,22:41,PK10,,
P4,38,22:41,178,,0.476
P4,38,22:41,26,0.159,0.167
P4,38,22:41,159,0.302,0.354
P4,38,22:41,170A,,
P4,38,22:41,172,,0.308
P4,38,22:41,155,0.219,0.312
P4,38,22:41,10,,0.341
P4,38,22:41,183,0.427,0.415
P4,38,22:41,160,0.509,
P4,38,22:41,CN4,0.421,0.278
P4,38,22:41,176A,0.18,0.394
P4,38,22:41,179,0.306,0.414
P4,38,22:41,M3,,
P4,38,22:41,157,0.483,0.443
P4,38,22:41,153,,0.486
P4,38,22:41,164,0.278,0.09
P4,38,22:41,HS1,0.03,0.134
P4,38,22:41,M2,0.5,0.523
P3,37,22:58,163,,0.299
P3,37,22:58,168,0.24,0.247
P3,37,22:58,PK10,0.571,0.467
P3,37,22:58,178,,
P3,37,22:58,26,0.545,0.701
P3,37,22:58,159,0.719,0.619
P3,37,22:58,170A,0.491,0.612
P3,37,22:58,172,0.617,0.225
P3,37,22:58,155,0.493,0.404
P3,37,22:58,10,0.617,0.55
P3,37,22:58,183,0.658,0.405
P3,37,22:58,160,0.301,0.455
P3,37,22:58,CN4,0.426,0.523
P3,37,22:58,176A,0.621,0.293
P3,37,22:58,179,0.291,0.521
P3,37,22:58,M3,0.593,0.159
P3,37,22:58,157,,0.626
P3,37,22:58,153,0.787,0.459
P3,37,22:58,164,0.43,0.467
P3,37,22:58,HS1,0.497,0.523
P3,37,22:58,M2,0.666,0.117
P1,35,23:06,163,0.468,0.564
P1,35,23:06,168,0.772,0.573
P1,35,23:06,PK10,0.478,0.549
P1,35,23:06,178,0.458,0.504
P1,35,23:06,26,0.547,0.706
P1,35,23:06,159,0.69,0.592
P1,35,23:06,170A,0.445,0.471
P1,35,23:06,172,0.459,0.519
P1,35,23:06,155,0.436,0.478
P1,35,23:06,10,0.589,0.679
P1,35,23:06,183,0.499,0.676
P1,35,23:06,160,0.59,0.609
P1,35,23:06,CN4,0.682,0.617
P1,35,23:06,176A,0.39,0.445
P1,35,23:06,179,0.632,0.492
P1,35,23:06,M3,0.543,0.61
P1,35,23:06,157,0.488,0.56
P1,35,23:06,153,0.645,0.515
P1,35,23:06,164,0.661,0.731
P1,35,23:06,HS1,0.679,0.555
P1,35,23:06,M2,0.649,0.536
S5,34,23:18,25,0.705,0.624
S5,34,23:18,162,0.512,0.602
S5,34,23:18,21,0.514,0.591
S5,34,23:18,150,0.631,0.633
S5,34,23:18,28,0.616,0.548
S5,34,23:18,11,0.586,0.724
S5,34,23:18,CN3,0.662,0.643
S5,34,23:18,182,0.587,0.611
S5,34,23:18,174,0.584,0.544
S5,34,23:18,166,0.551,0.69
S5,34,23:18,167,0.628,0.696
S5,34,23:18,176B,0.593,0.601
S5,34,23:18,171,0.574,0.683
S5,34,23:18,173,0.634,0.643
S5,34,23:18,CN2,0.555,0.586
S5,34,23:18,175,0.656,0.619
S5,34,23:18,156,0.67,0.66
S5,34,23:18,170B,0.639,0.636
S5,34,23:18,165,0.53,0.626
S5,34,23:18,161,0.496,0.623
S5,34,23:18,154,0.533,0.567
S1,38,23:23,25,0.263,0.526
S1,38,23:23,162,0.251,0.205
S1,38,23:23,21,0.22,0.299
S1,38,23:23,150,0.48,0.581
S1,38,23:23,28,0.21,
S1,38,23:23,11,0.338,
S1,38,23:23,CN3,0.202,0.288
S1,38,23:23,182,0.354,0.399
S1,38,23:23,174,0.234,0.667
S1,38,23:23,166,0.115,0.136
S1,38,23:23,167,0.569,0.045
S1,38,23:23,176B,,0.394
S1,38,23:23,171,0.471,0.183
S1,38,23:23,173,0.316,0.368
S1,38,23:23,CN2,,0.417
S1,38,23:23,175,0.155,
S1,38,23:23,156,0.678,0.215
S1,38,23:23,170B,0.68,
S1,38,23:23,165,0.535,
S1,38,23:23,161,0.333,0.41
S1,38,23:23,154,0.188,0.177
S2,37,23:32,25,0.414,0.471
S2,37,23:32,162,,0.556
S2,37,23:32,21,0.531,0.258
S2,37,23:32,150,0.612,0.388
S2,37,23:32,28,0.314,0.492
S2,37,23:32,11,0.331,0.295
S2,37,23:32,CN3,0.223,0.191
S2,37,23:32,182,0.32,0.395
S2,37,23:32,174,0.685,0.32
S2,37,23:32,166,0.393,0.357
S2,37,23:32,167,0.635,0.209
S2,37,23:32,176B,0.299,0.442
S2,37,23:32,171,0.775,0.536
S2,37,23:32,173,0.469,0.392
S2,37,23:32,CN2,0.277,0.253
S2,37,23:32,175,0.597,0.68
S2,37,23:32,156,0.289,0.437
S2,37,23:32,170B,0.719,0.361
S2,37,23:32,165,,
S2,37,23:32,161,0.377,0.47
S2,37,23:32,154,0.752,0.509
S4,35,23:42,25,0.575,0.559
S4,35,23:42,162,0.561,0.48
S4,35,23:42,21,0.566,0.653
S4,35,23:42,150,0.721,0.57
S4,35,23:42,28,0.565,0.581
S4,35,23:42,11,0.533,0.571
S4,35,23:42,CN3,0.426,0.617
S4,35,23:42,182,0.681,0.595
S4,35,23:42,174,0.553,0.589
S4,35,23:42,166,0.637,0.575
S4,35,23:42,167,0.438,0.413
S4,35,23:42,176B,0.56,0.646
S4,35,23:42,171,0.753,0.616
S4,35,23:42,173,0.391,0.361
S4,35,23:42,CN2,0.593,0.729
S4,35,23:42,175,0.487,0.574
S4,35,23:42,156,0.483,0.475
