PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
COVID_Cruise_2020,2020_October_6,41320,10,9,50,30.00,0.00,-126.80,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-126.80,HTR,30.00,0.00,-126.60,HTR,
COVID_Cruise_2020,2020_October_6,46114,10,9,54,30.00,0.00,-126.80,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-126.80,HTR,30.00,0.00,-126.60,HTR,
COVID_Cruise_2020,2020_October_6,50743,10,9,59,30.00,0.00,-126.80,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-126.80,HTR,30.00,0.00,-126.60,HTR,
COVID_Cruise_2020,2020_October_6,55372,10,10,4,30.00,0.00,-126.80,HTR,30.00,0.00,-126.70,HTR,30.00,0.00,-126.80,HTR,30.00,0.00,-126.60,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,29498,10,4,17,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,34290,10,4,22,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,38923,10,4,27,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,32324,10,5,49,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,37117,10,5,53,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,41749,10,5,58,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,46385,10,6,3,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,51014,10,6,7,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,55646,10,6,12,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,60278,10,6,23,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,71271,10,6,28,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,75901,10,6,32,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,80535,10,6,37,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,85171,10,6,41,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,89801,10,6,46,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,94433,10,6,51,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,99066,10,6,55,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,103701,10,7,0,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,108335,10,7,5,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,112966,10,7,9,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,117599,10,7,14,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,122236,10,7,25,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,133225,10,7,30,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,137857,10,7,34,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,142490,10,7,39,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,147128,10,7,43,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,151759,10,7,48,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,30.00,0.00,-127.00,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,26947,14,23,12,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,31745,14,23,17,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,36378,14,23,22,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,41011,14,23,26,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
CRII_OCT2020,2020_October_6,45646,14,23,31,32.11,0.00,-127.00,HTR,32.53,0.00,-127.00,HTR,32.96,0.00,-127.00,HTR,33.38,0.00,-127.00,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
CRII_OCT2020,2020_October_6,25790,14,24,5,32.17,0.00,-127.00,HTR,32.60,0.00,-127.00,HTR,33.03,0.00,-127.00,HTR,33.47,0.00,-127.00,HTR,
