"2020-10-07";"23:22:30";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"21:06:07";"SCHS";"";"Chart start ";""
"5";"2020-10-06";"21:06:08";"C";"";"File Nr. 404 | File Dev. ID #1, DIVING-PAM-II:  ";""
"45395";"2020-10-06";"21:06:53";"F";"9724";"128";"266";"0";"0.519";"0.0"
"50005";"2020-10-06";"21:06:58";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"54585";"2020-10-06";"21:07:02";"F";"9725";"99";"186";"0";"0.468";"0.0"
"59005";"2020-10-06";"21:07:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.1 ";""
"119215";"2020-10-06";"21:08:07";"F";"9726";"131";"310";"0";"0.577";"0.0"
"123005";"2020-10-06";"21:08:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"133405";"2020-10-06";"21:08:21";"F";"9727";"46";"113";"0";"0.593";"0.0"
"138005";"2020-10-06";"21:08:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"143605";"2020-10-06";"21:08:31";"F";"9728";"289";"561";"0";"0.485";"0.0"
"148005";"2020-10-06";"21:08:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"162935";"2020-10-06";"21:08:50";"F";"9729";"824";"1594";"0";"0.483";"0.0"
"166005";"2020-10-06";"21:08:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"172215";"2020-10-06";"21:09:00";"F";"9730";"708";"1793";"0";"0.605";"0.0"
"177005";"2020-10-06";"21:09:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"181715";"2020-10-06";"21:09:09";"F";"9731";"775";"1780";"0";"0.565";"0.0"
"185005";"2020-10-06";"21:09:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"200375";"2020-10-06";"21:09:28";"F";"9732";"367";"859";"0";"0.573";"0.0"
"204005";"2020-10-06";"21:09:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"207985";"2020-10-06";"21:09:35";"F";"9733";"447";"1070";"0";"0.582";"0.0"
"212005";"2020-10-06";"21:09:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"213085";"2020-10-06";"21:09:41";"F";"9734";"380";"974";"0";"0.610";"0.0"
"218005";"2020-10-06";"21:09:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"222175";"2020-10-06";"21:09:50";"F";"9735";"119";"276";"0";"0.569";"0.0"
"226005";"2020-10-06";"21:09:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"253775";"2020-10-06";"21:10:21";"F";"9736";"243";"534";"0";"0.545";"0.0"
"258005";"2020-10-06";"21:10:26";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"272975";"2020-10-06";"21:10:40";"F";"9737";"228";"467";"0";"0.512";"0.0"
"277005";"2020-10-06";"21:10:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"282835";"2020-10-06";"21:10:50";"F";"9738";"423";"1238";"0";"0.658";"0.0"
"287005";"2020-10-06";"21:10:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"289485";"2020-10-06";"21:10:57";"F";"9739";"564";"1349";"0";"0.582";"0.0"
"293005";"2020-10-06";"21:11:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"298925";"2020-10-06";"21:11:06";"F";"9740";"775";"1636";"0";"0.526";"0.0"
"303005";"2020-10-06";"21:11:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"309385";"2020-10-06";"21:11:17";"F";"9741";"690";"1460";"0";"0.527";"0.0"
