"2020-10-10";"22:35:02";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"18:31:22";"SCHS";"";"Chart start ";""
"5";"2020-10-10";"18:31:23";"C";"";"File Nr. 434 | File Dev. ID #1, DIVING-PAM-II:  ";""
"10";"2020-10-10";"18:31:23";"SCHE";"";"Chart stop ";""
"1672000";"2020-10-10";"18:59:14";"SCHS";"";"Chart start ";""
"1672005";"2020-10-10";"18:59:15";"C";"";"File Nr. 435 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1672010";"2020-10-10";"18:59:15";"SCHE";"";"Chart stop ";""
"1722000";"2020-10-10";"19:00:04";"SCHS";"";"Chart start ";""
"1722005";"2020-10-10";"19:00:05";"C";"";"File Nr. 436 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1875415";"2020-10-10";"19:02:38";"F";"10900";"58";"67";"0";"0.134";"0.0"
"1879005";"2020-10-10";"19:02:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.1 ";""
"1883415";"2020-10-10";"19:02:46";"F";"10901";"41";"72";"0";"0.431";"0.0"
"1887005";"2020-10-10";"19:02:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.1 ";""
"1891215";"2020-10-10";"19:02:54";"F";"10902";"42";"59";"0";"0.288";"0.0"
"1894005";"2020-10-10";"19:02:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.1 ";""
"1898525";"2020-10-10";"19:03:01";"F";"10903";"90";"153";"0";"0.412";"0.0"
"1902005";"2020-10-10";"19:03:05";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.2 ";""
"1906655";"2020-10-10";"19:03:09";"F";"10904";"35";"51";"0";"0.314";"0.0"
"1910005";"2020-10-10";"19:03:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.2 ";""
"1916305";"2020-10-10";"19:03:19";"F";"10905";"26";"43";"0";"-";"-"
"1920005";"2020-10-10";"19:03:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.2 ";""
"1925735";"2020-10-10";"19:03:28";"F";"10906";"432";"495";"0";"0.127";"0.0"
"1929005";"2020-10-10";"19:03:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.2 ";""
"1932665";"2020-10-10";"19:03:35";"F";"10907";"324";"439";"0";"0.262";"0.0"
"1936005";"2020-10-10";"19:03:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.3 ";""
"1939485";"2020-10-10";"19:03:42";"F";"10908";"173";"214";"0";"0.192";"0.0"
"1943005";"2020-10-10";"19:03:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.3 ";""
"1949435";"2020-10-10";"19:03:52";"F";"10909";"275";"333";"0";"0.174";"0.0"
"1953005";"2020-10-10";"19:03:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.3 ";""
"1954875";"2020-10-10";"19:03:57";"F";"10910";"118";"125";"0";"0.056";"0.0"
"1958005";"2020-10-10";"19:04:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.4 ";""
"1960965";"2020-10-10";"19:04:03";"F";"10911";"108";"135";"0";"0.200";"0.0"
"1964005";"2020-10-10";"19:04:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.4 ";""
"1968405";"2020-10-10";"19:04:11";"F";"10912";"113";"136";"0";"0.169";"0.0"
"1972005";"2020-10-10";"19:04:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.4 ";""
"1976345";"2020-10-10";"19:04:19";"F";"10913";"64";"67";"0";"0.045";"0.0"
"1980005";"2020-10-10";"19:04:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.4 ";""
"1982335";"2020-10-10";"19:04:25";"F";"10914";"212";"212";"0";"0.000";"0.0"
"1986005";"2020-10-10";"19:04:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.5 ";""
"1992745";"2020-10-10";"19:04:35";"F";"10915";"110";"133";"0";"0.173";"0.0"
"1996005";"2020-10-10";"19:04:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.5 ";""
"1998145";"2020-10-10";"19:04:41";"F";"10916";"211";"284";"0";"0.257";"0.0"
"2002005";"2020-10-10";"19:04:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.5 ";""
"2005645";"2020-10-10";"19:04:48";"F";"10917";"69";"86";"0";"0.198";"0.0"
"2009005";"2020-10-10";"19:04:52";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.6 ";""
"2010975";"2020-10-10";"19:04:53";"F";"10918";"50";"63";"0";"0.206";"0.0"
"2014005";"2020-10-10";"19:04:57";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.6 ";""
"2016925";"2020-10-10";"19:04:59";"F";"10919";"195";"195";"0";"0.000";"0.0"
"2020005";"2020-10-10";"19:05:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.6 ";""
"2023045";"2020-10-10";"19:05:06";"F";"10920";"101";"136";"0";"0.257";"0.0"
"2027005";"2020-10-10";"19:05:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.6 ";""
"2033735";"2020-10-10";"19:05:16";"F";"10921";"110";"125";"0";"0.120";"0.0"
"2037005";"2020-10-10";"19:05:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.6 ";""
"2041895";"2020-10-10";"19:05:24";"F";"10922";"87";"87";"0";"0.000";"0.0"
"2045005";"2020-10-10";"19:05:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.7 ";""
"2046315";"2020-10-10";"19:05:29";"F";"10923";"86";"131";"0";"0.344";"0.0"
"2050005";"2020-10-10";"19:05:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.7 ";""
"2053195";"2020-10-10";"19:05:36";"F";"10924";"89";"112";"0";"0.205";"0.0"
"2057005";"2020-10-10";"19:05:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.7 ";""
"2063885";"2020-10-10";"19:05:46";"F";"10925";"18";"27";"0";"-";"-"
"2067005";"2020-10-10";"19:05:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.7 ";""
"2073315";"2020-10-10";"19:05:56";"F";"10926";"47";"97";"0";"0.515";"0.0"
"2077005";"2020-10-10";"19:06:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.7 ";""
"2082245";"2020-10-10";"19:06:05";"F";"10927";"103";"133";"0";"0.226";"0.0"
"2086005";"2020-10-10";"19:06:09";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"2092075";"2020-10-10";"19:06:15";"F";"10928";"26";"44";"0";"-";"-"
"2096005";"2020-10-10";"19:06:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"2100525";"2020-10-10";"19:06:23";"F";"10929";"73";"89";"0";"0.180";"0.0"
"2105005";"2020-10-10";"19:06:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"2109475";"2020-10-10";"19:06:32";"F";"10930";"171";"171";"0";"0.000";"0.0"
"2114005";"2020-10-10";"19:06:37";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"2133455";"2020-10-10";"19:06:56";"F";"10931";"187";"214";"0";"0.126";"0.0"
"2133460";"2020-10-10";"19:06:56";"SCHE";"";"Chart stop ";""
"2137005";"2020-10-10";"19:07:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 28.8 ";""
"2240000";"2020-10-10";"19:08:42";"SCHS";"";"Chart start ";""
"2240005";"2020-10-10";"19:08:43";"C";"";"File Nr. 437 | File Dev. ID #1, DIVING-PAM-II:  ";""
"2274825";"2020-10-10";"19:09:17";"F";"10932";"89";"123";"0";"0.276";"0.0"
"2278005";"2020-10-10";"19:09:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.0 ";""
"2286085";"2020-10-10";"19:09:29";"F";"10933";"55";"78";"0";"0.295";"0.0"
"2290005";"2020-10-10";"19:09:33";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.1 ";""
"2298545";"2020-10-10";"19:09:41";"F";"10934";"305";"372";"0";"0.180";"0.0"
"2302005";"2020-10-10";"19:09:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.1 ";""
"2307185";"2020-10-10";"19:09:50";"F";"10935";"191";"256";"0";"0.254";"0.0"
"2311005";"2020-10-10";"19:09:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.1 ";""
"2328165";"2020-10-10";"19:10:11";"F";"10936";"41";"67";"0";"0.388";"0.0"
"2332005";"2020-10-10";"19:10:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.2 ";""
"2341975";"2020-10-10";"19:10:24";"F";"10937";"30";"52";"0";"0.423";"0.0"
"2345005";"2020-10-10";"19:10:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.2 ";""
"2360135";"2020-10-10";"19:10:43";"F";"10938";"188";"236";"0";"0.203";"0.0"
"2364005";"2020-10-10";"19:10:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.2 ";""
"2369575";"2020-10-10";"19:10:52";"F";"10939";"96";"295";"0";"0.675";"0.0"
"2373005";"2020-10-10";"19:10:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.2 ";""
"2376255";"2020-10-10";"19:10:59";"F";"10940";"262";"324";"0";"0.191";"0.0"
"2380005";"2020-10-10";"19:11:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.3 ";""
"2386025";"2020-10-10";"19:11:09";"F";"10941";"88";"122";"0";"0.279";"0.0"
"2390005";"2020-10-10";"19:11:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.3 ";""
"2394415";"2020-10-10";"19:11:17";"F";"10942";"164";"192";"0";"0.146";"0.0"
"2398005";"2020-10-10";"19:11:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.3 ";""
"2401235";"2020-10-10";"19:11:24";"F";"10943";"56";"90";"0";"0.378";"0.0"
"2405005";"2020-10-10";"19:11:28";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.3 ";""
"2421905";"2020-10-10";"19:11:44";"F";"10944";"33";"57";"0";"0.421";"0.0"
"2425005";"2020-10-10";"19:11:48";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.4 ";""
"2428065";"2020-10-10";"19:11:51";"F";"10945";"65";"86";"0";"0.244";"0.0"
"2432005";"2020-10-10";"19:11:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.4 ";""
"2433985";"2020-10-10";"19:11:56";"F";"10946";"102";"133";"0";"0.233";"0.0"
"2437005";"2020-10-10";"19:12:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.4 ";""
"2444825";"2020-10-10";"19:12:07";"F";"10947";"84";"84";"0";"0.000";"0.0"
"2448005";"2020-10-10";"19:12:11";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.5 ";""
"2451745";"2020-10-10";"19:12:14";"F";"10948";"116";"152";"0";"0.237";"0.0"
"2455005";"2020-10-10";"19:12:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.5 ";""
"2464085";"2020-10-10";"19:12:27";"F";"10949";"95";"115";"0";"0.174";"0.0"
"2468005";"2020-10-10";"19:12:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.5 ";""
"2474085";"2020-10-10";"19:12:37";"F";"10950";"117";"163";"0";"0.282";"0.0"
"2478005";"2020-10-10";"19:12:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.5 ";""
"2482865";"2020-10-10";"19:12:45";"F";"10951";"90";"133";"0";"0.323";"0.0"
"2486005";"2020-10-10";"19:12:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.5 ";""
"2492235";"2020-10-10";"19:12:55";"F";"10952";"184";"224";"0";"0.179";"0.0"
"2496005";"2020-10-10";"19:12:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.6 ";""
"2510695";"2020-10-10";"19:13:13";"F";"10953";"130";"158";"0";"0.177";"0.0"
"2514005";"2020-10-10";"19:13:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.6 ";""
