"2020-10-10";"22:27:36";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"20:09:24";"SCHS";"";"Chart start ";""
"5";"2020-10-10";"20:09:25";"C";"";"File Nr. 450 | File Dev. ID #1, DIVING-PAM-II:  ";""
"271465";"2020-10-10";"20:13:56";"F";"11235";"156";"366";"0";"0.574";"0.0"
"275005";"2020-10-10";"20:14:00";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"277505";"2020-10-10";"20:14:02";"F";"11236";"164";"381";"0";"0.570";"0.0"
"281005";"2020-10-10";"20:14:06";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"285335";"2020-10-10";"20:14:10";"F";"11237";"160";"420";"0";"0.619";"0.0"
"289005";"2020-10-10";"20:14:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"291105";"2020-10-10";"20:14:16";"F";"11238";"123";"405";"0";"0.696";"0.0"
"295005";"2020-10-10";"20:14:20";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"299055";"2020-10-10";"20:14:24";"F";"11239";"140";"408";"0";"0.657";"0.0"
"304005";"2020-10-10";"20:14:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"310675";"2020-10-10";"20:14:35";"F";"11240";"137";"373";"0";"0.633";"0.0"
"315005";"2020-10-10";"20:14:40";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"321105";"2020-10-10";"20:14:46";"F";"11241";"155";"393";"0";"0.606";"0.0"
"326005";"2020-10-10";"20:14:51";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"349545";"2020-10-10";"20:15:14";"F";"11242";"130";"330";"0";"0.606";"0.0"
"354005";"2020-10-10";"20:15:19";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"364245";"2020-10-10";"20:15:29";"F";"11243";"129";"372";"0";"0.653";"0.0"
"369005";"2020-10-10";"20:15:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
