geno,f,fm,fvfm,tank_id,tank_set,max_temp
FM19,58,67,0.134,S1,starboard,38
FM19,41,72,0.431,S1,starboard,38
CM6,42,59,0.288,S1,starboard,38
CM6,90,153,0.412,S1,starboard,38
CB024,35,51,0.314,S1,starboard,38
CB024,26,43,NA,S1,starboard,38
ML5,432,495,0.127,S1,starboard,38
ML5,324,439,0.262,S1,starboard,38
ML1,173,214,0.192,S1,starboard,38
ML1,275,333,0.174,S1,starboard,38
FM12,118,125,0.056,S1,starboard,38
FM12,108,135,0.2,S1,starboard,38
TDT1,113,136,0.169,S1,starboard,38
TDT1,64,67,0.045,S1,starboard,38
FM9,110,133,0.173,S1,starboard,38
FM9,211,284,0.257,S1,starboard,38
FM13,69,86,0.198,S1,starboard,38
FM13,50,63,0.206,S1,starboard,38
FM20,101,136,0.257,S1,starboard,38
FM20,110,125,0.12,S1,starboard,38
CM5,86,131,0.344,S1,starboard,38
CM5,89,112,0.205,S1,starboard,38
ML7,18,27,NA,S1,starboard,38
ML7,103,133,0.226,S1,starboard,38
ApalCCN4,73,89,0.18,S1,starboard,38
ApalCCN4,187,214,0.126,S1,starboard,38
FM19,377,378,0.003,S2,starboard,37
FM19,741,859,0.137,S2,starboard,37
CM6,171,196,0.128,S2,starboard,37
CM6,173,211,0.18,S2,starboard,37
CB024,56,88,0.364,S2,starboard,37
CB024,21,42,NA,S2,starboard,37
ML5,407,492,0.173,S2,starboard,37
ML5,179,272,0.342,S2,starboard,37
ML1,539,597,0.097,S2,starboard,37
ML1,399,481,0.17,S2,starboard,37
FM12,268,343,0.219,S2,starboard,37
FM12,526,611,0.139,S2,starboard,37
TDT1,110,132,0.167,S2,starboard,37
TDT1,63,74,0.149,S2,starboard,37
FM9,145,226,0.358,S2,starboard,37
FM9,240,407,0.41,S2,starboard,37
FM13,488,492,0.008,S2,starboard,37
FM13,483,526,0.082,S2,starboard,37
FM20,239,272,0.121,S2,starboard,37
FM20,126,190,0.337,S2,starboard,37
CM5,530,627,0.155,S2,starboard,37
CM5,388,471,0.176,S2,starboard,37
ML7,370,401,0.077,S2,starboard,37
ML7,328,366,0.104,S2,starboard,37
ApalCCN4,161,198,0.187,S2,starboard,37
ApalCCN4,149,179,0.168,S2,starboard,37
FM19,349,398,0.123,S3,starboard,36
FM19,281,331,0.151,S3,starboard,36
CM6,452,522,0.134,S3,starboard,36
CM6,471,551,0.145,S3,starboard,36
CB024,253,329,0.231,S3,starboard,36
CB024,185,252,0.266,S3,starboard,36
ML5,635,856,0.258,S3,starboard,36
ML5,408,611,0.332,S3,starboard,36
ML1,367,387,0.052,S3,starboard,36
ML1,380,499,0.238,S3,starboard,36
FM12,416,473,0.121,S3,starboard,36
FM12,346,387,0.106,S3,starboard,36
TDT1,272,403,0.325,S3,starboard,36
TDT1,380,506,0.249,S3,starboard,36
FM9,421,604,0.303,S3,starboard,36
FM9,393,563,0.302,S3,starboard,36
FM13,438,527,0.169,S3,starboard,36
FM13,210,250,0.16,S3,starboard,36
FM20,292,368,0.207,S3,starboard,36
FM20,384,472,0.186,S3,starboard,36
CM5,569,717,0.206,S3,starboard,36
CM5,603,790,0.237,S3,starboard,36
ML7,440,510,0.137,S3,starboard,36
ML7,384,488,0.213,S3,starboard,36
ApalCCN4,302,491,0.385,S3,starboard,36
ApalCCN4,272,472,0.424,S3,starboard,36
FM19,504,657,0.233,S4,starboard,35
FM19,413,555,0.256,S4,starboard,35
CM6,412,542,0.24,S4,starboard,35
CM6,392,552,0.29,S4,starboard,35
CB024,391,649,0.398,S4,starboard,35
CB024,262,422,0.379,S4,starboard,35
ML5,459,783,0.414,S4,starboard,35
ML5,429,864,0.503,S4,starboard,35
ML1,438,791,0.446,S4,starboard,35
ML1,383,537,0.287,S4,starboard,35
FM12,387,596,0.351,S4,starboard,35
FM12,197,385,0.488,S4,starboard,35
TDT1,359,541,0.336,S4,starboard,35
TDT1,396,513,0.228,S4,starboard,35
FM9,306,451,0.322,S4,starboard,35
FM9,334,475,0.297,S4,starboard,35
FM13,439,593,0.26,S4,starboard,35
FM13,499,774,0.355,S4,starboard,35
FM20,425,597,0.288,S4,starboard,35
FM20,431,798,0.46,S4,starboard,35
CM5,485,785,0.382,S4,starboard,35
CM5,478,770,0.379,S4,starboard,35
ML7,457,911,0.498,S4,starboard,35
ML7,519,880,0.41,S4,starboard,35
ApalCCN4,219,482,0.546,S4,starboard,35
ApalCCN4,211,443,0.524,S4,starboard,35
FM19,507,1099,0.539,S5,starboard,34
FM19,415,968,0.571,S5,starboard,34
CM6,148,320,0.538,S5,starboard,34
CM6,131,276,0.525,S5,starboard,34
CB024,147,339,0.566,S5,starboard,34
CB024,175,420,0.583,S5,starboard,34
ML5,211,527,0.6,S5,starboard,34
ML5,209,591,0.646,S5,starboard,34
ML1,194,432,0.551,S5,starboard,34
ML1,184,514,0.642,S5,starboard,34
FM12,128,312,0.59,S5,starboard,34
FM12,148,324,0.543,S5,starboard,34
TDT1,152,376,0.596,S5,starboard,34
TDT1,167,465,0.641,S5,starboard,34
FM9,167,390,0.572,S5,starboard,34
FM9,159,357,0.555,S5,starboard,34
FM13,204,451,0.548,S5,starboard,34
FM13,166,421,0.606,S5,starboard,34
FM20,154,343,0.551,S5,starboard,34
FM20,174,419,0.585,S5,starboard,34
CM5,206,480,0.571,S5,starboard,34
CM5,188,501,0.625,S5,starboard,34
ML7,184,413,0.554,S5,starboard,34
ML7,166,363,0.543,S5,starboard,34
ApalCCN4,141,364,0.613,S5,starboard,34
ApalCCN4,137,335,0.591,S5,starboard,34
FM19,175,464,0.623,S6,starboard,33
FM19,140,405,0.654,S6,starboard,33
CM6,113,290,0.61,S6,starboard,33
CM6,129,345,0.626,S6,starboard,33
CB024,148,510,0.71,S6,starboard,33
CB024,128,388,0.67,S6,starboard,33
ML5,195,568,0.657,S6,starboard,33
ML5,162,438,0.63,S6,starboard,33
ML1,167,448,0.627,S6,starboard,33
ML1,169,488,0.654,S6,starboard,33
FM12,133,359,0.63,S6,starboard,33
FM12,148,405,0.635,S6,starboard,33
TDT1,119,347,0.657,S6,starboard,33
TDT1,135,379,0.644,S6,starboard,33
FM9,152,378,0.598,S6,starboard,33
FM9,126,314,0.599,S6,starboard,33
FM13,150,396,0.621,S6,starboard,33
FM13,123,317,0.612,S6,starboard,33
FM20,154,373,0.587,S6,starboard,33
FM20,145,396,0.634,S6,starboard,33
CM5,185,494,0.626,S6,starboard,33
CM5,178,484,0.632,S6,starboard,33
ML7,134,338,0.604,S6,starboard,33
ML7,129,332,0.611,S6,starboard,33
ApalCCN4,114,282,0.596,S6,starboard,33
ApalCCN4,151,345,0.562,S6,starboard,33
FM19,145,368,0.606,S7,starboard,32
FM19,189,555,0.659,S7,starboard,32
CM6,130,345,0.623,S7,starboard,32
CM6,104,250,0.584,S7,starboard,32
CB024,139,379,0.633,S7,starboard,32
CB024,150,389,0.614,S7,starboard,32
ML5,167,520,0.679,S7,starboard,32
ML5,132,396,0.667,S7,starboard,32
