"2020-10-11";"23:04:22";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-11";"20:27:21";"SCHS";"";"Chart start ";""
"5";"2020-10-11";"20:27:22";"C";"";"File Nr. 473 | File Dev. ID #1, DIVING-PAM-II:  ";""
"10";"2020-10-11";"20:27:22";"SCHE";"";"Chart stop ";""
"7005";"2020-10-11";"20:27:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"19000";"2020-10-11";"20:27:40";"SCHS";"";"Chart start ";""
"19005";"2020-10-11";"20:27:41";"C";"";"File Nr. 474 | File Dev. ID #1, DIVING-PAM-II:  ";""
"38465";"2020-10-11";"20:28:00";"F";"11868";"6";"18";"0";"-";"-"
"42005";"2020-10-11";"20:28:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"48345";"2020-10-11";"20:28:10";"F";"11869";"8";"15";"0";"-";"-"
"52005";"2020-10-11";"20:28:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"57375";"2020-10-11";"20:28:19";"F";"11870";"5";"13";"0";"-";"-"
"61005";"2020-10-11";"20:28:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"79585";"2020-10-11";"20:28:41";"F";"11871";"6";"16";"0";"-";"-"
"83005";"2020-10-11";"20:28:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"87995";"2020-10-11";"20:28:49";"F";"11872";"8";"12";"0";"-";"-"
"91005";"2020-10-11";"20:28:53";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"94645";"2020-10-11";"20:28:56";"F";"11873";"8";"15";"0";"-";"-"
"98005";"2020-10-11";"20:29:00";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"101025";"2020-10-11";"20:29:03";"F";"11874";"4";"12";"0";"-";"-"
"105005";"2020-10-11";"20:29:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"111745";"2020-10-11";"20:29:13";"F";"11875";"9";"15";"0";"-";"-"
"115005";"2020-10-11";"20:29:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"120135";"2020-10-11";"20:29:22";"F";"11876";"6";"12";"0";"-";"-"
"124005";"2020-10-11";"20:29:26";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"128425";"2020-10-11";"20:29:30";"F";"11877";"1";"11";"0";"-";"-"
"132005";"2020-10-11";"20:29:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"136145";"2020-10-11";"20:29:38";"F";"11878";"3";"16";"0";"-";"-"
"140005";"2020-10-11";"20:29:42";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"144975";"2020-10-11";"20:29:46";"F";"11879";"0";"14";"0";"-";"-"
"148005";"2020-10-11";"20:29:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"151935";"2020-10-11";"20:29:53";"F";"11880";"7";"14";"0";"-";"-"
"155005";"2020-10-11";"20:29:57";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"159065";"2020-10-11";"20:30:01";"F";"11881";"6";"18";"0";"-";"-"
"163005";"2020-10-11";"20:30:05";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"168065";"2020-10-11";"20:30:10";"F";"11882";"0";"20";"0";"-";"-"
"172005";"2020-10-11";"20:30:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"176335";"2020-10-11";"20:30:18";"F";"11883";"5";"13";"0";"-";"-"
"180005";"2020-10-11";"20:30:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"184875";"2020-10-11";"20:30:26";"F";"11884";"7";"10";"0";"-";"-"
"188005";"2020-10-11";"20:30:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"193445";"2020-10-11";"20:30:35";"F";"11885";"4";"17";"0";"-";"-"
"197005";"2020-10-11";"20:30:39";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"201205";"2020-10-11";"20:30:43";"F";"11886";"6";"15";"0";"-";"-"
"205005";"2020-10-11";"20:30:47";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"208075";"2020-10-11";"20:30:50";"F";"11887";"0";"15";"0";"-";"-"
"212005";"2020-10-11";"20:30:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"217525";"2020-10-11";"20:30:59";"F";"11888";"8";"16";"0";"-";"-"
"217530";"2020-10-11";"20:30:59";"SCHE";"";"Chart stop ";""
"222005";"2020-10-11";"20:31:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"310000";"2020-10-11";"20:32:31";"SCHS";"";"Chart start ";""
"310005";"2020-10-11";"20:32:32";"C";"";"File Nr. 475 | File Dev. ID #1, DIVING-PAM-II:  ";""
"359095";"2020-10-11";"20:33:21";"F";"11889";"328";"857";"0";"0.617";"0.0"
"364005";"2020-10-11";"20:33:26";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"366035";"2020-10-11";"20:33:28";"F";"11890";"327";"901";"0";"0.637";"0.0"
"370005";"2020-10-11";"20:33:32";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"372815";"2020-10-11";"20:33:34";"F";"11891";"10";"18";"0";"-";"-"
"376005";"2020-10-11";"20:33:38";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"379845";"2020-10-11";"20:33:41";"F";"11892";"130";"553";"0";"0.765";"0.0"
"383005";"2020-10-11";"20:33:45";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"388375";"2020-10-11";"20:33:50";"F";"11893";"196";"393";"0";"0.501";"0.0"
"392005";"2020-10-11";"20:33:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"395625";"2020-10-11";"20:33:57";"F";"11894";"180";"563";"0";"0.680";"0.0"
"399005";"2020-10-11";"20:34:01";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"401955";"2020-10-11";"20:34:03";"F";"11895";"241";"558";"0";"0.568";"0.0"
