"2020-10-11";"23:16:08";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-11";"21:19:08";"SCHS";"";"Chart start ";""
"5";"2020-10-11";"21:19:09";"C";"";"File Nr. 482 | File Dev. ID #1, DIVING-PAM-II:  ";""
"15325";"2020-10-11";"21:19:24";"F";"12158";"2";"14";"0";"-";"-"
"20005";"2020-10-11";"21:19:29";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"25545";"2020-10-11";"21:19:34";"F";"12159";"5";"14";"0";"-";"-"
"29005";"2020-10-11";"21:19:38";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"35065";"2020-10-11";"21:19:44";"F";"12160";"0";"21";"0";"-";"-"
"39005";"2020-10-11";"21:19:48";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"45455";"2020-10-11";"21:19:54";"F";"12161";"6";"15";"0";"-";"-"
"49005";"2020-10-11";"21:19:58";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"69665";"2020-10-11";"21:20:18";"F";"12162";"2";"14";"0";"-";"-"
"73005";"2020-10-11";"21:20:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"81685";"2020-10-11";"21:20:30";"F";"12163";"7";"17";"0";"-";"-"
"85005";"2020-10-11";"21:20:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"88115";"2020-10-11";"21:20:37";"F";"12164";"5";"17";"0";"-";"-"
"92005";"2020-10-11";"21:20:41";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"95435";"2020-10-11";"21:20:44";"F";"12165";"7";"13";"0";"-";"-"
"99005";"2020-10-11";"21:20:48";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"109525";"2020-10-11";"21:20:58";"F";"12166";"9";"15";"0";"-";"-"
"113005";"2020-10-11";"21:21:02";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"115735";"2020-10-11";"21:21:04";"F";"12167";"6";"17";"0";"-";"-"
"119005";"2020-10-11";"21:21:08";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"122805";"2020-10-11";"21:21:11";"F";"12168";"0";"11";"0";"-";"-"
"126005";"2020-10-11";"21:21:15";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"131855";"2020-10-11";"21:21:20";"F";"12169";"0";"14";"0";"-";"-"
"135005";"2020-10-11";"21:21:24";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"140025";"2020-10-11";"21:21:29";"F";"12170";"11";"11";"0";"-";"-"
"144005";"2020-10-11";"21:21:33";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"148345";"2020-10-11";"21:21:37";"F";"12171";"3";"13";"0";"-";"-"
"152005";"2020-10-11";"21:21:41";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"155025";"2020-10-11";"21:21:44";"F";"12172";"8";"21";"0";"-";"-"
"159005";"2020-10-11";"21:21:48";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"163945";"2020-10-11";"21:21:52";"F";"12173";"5";"13";"0";"-";"-"
"167005";"2020-10-11";"21:21:56";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"174845";"2020-10-11";"21:22:03";"F";"12174";"8";"15";"0";"-";"-"
"178005";"2020-10-11";"21:22:07";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"184245";"2020-10-11";"21:22:13";"F";"12175";"8";"19";"0";"-";"-"
"189005";"2020-10-11";"21:22:18";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"194315";"2020-10-11";"21:22:23";"F";"12176";"8";"16";"0";"-";"-"
"198005";"2020-10-11";"21:22:27";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"202255";"2020-10-11";"21:22:31";"F";"12177";"2";"9";"0";"-";"-"
"202260";"2020-10-11";"21:22:31";"SCHE";"";"Chart stop ";""
"206005";"2020-10-11";"21:22:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
