"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"1",5,2020-10-11,19:01:50,"C",NA,"File Nr. 460 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"2",20625,2020-10-11,19:02:10,"F",11410,"492",545,0,"0.097","0.0"
"3",27825,2020-10-11,19:02:17,"F",11411,"242",316,0,"0.234","0.0"
"4",42845,2020-10-11,19:02:32,"F",11412,"133",185,0,"0.281","0.0"
"5",51085,2020-10-11,19:02:41,"F",11413,"129",161,0,"0.199","0.0"
"6",57215,2020-10-11,19:02:47,"F",11414,"499",556,0,"0.103","0.0"
"7",65355,2020-10-11,19:02:55,"F",11415,"391",451,0,"0.133","0.0"
"8",75185,2020-10-11,19:03:05,"F",11416,"190",223,0,"0.148","0.0"
"9",90145,2020-10-11,19:03:20,"F",11417,"147",183,0,"0.197","0.0"
"10",96075,2020-10-11,19:03:26,"F",11418,"258",312,0,"0.173","0.0"
"11",103045,2020-10-11,19:03:33,"F",11419,"695",943,0,"0.263","0.0"
"12",108395,2020-10-11,19:03:38,"F",11420,"217",278,0,"0.219","0.0"
"13",116675,2020-10-11,19:03:46,"F",11421,"167",212,0,"0.212","0.0"
"14",121055,2020-10-11,19:03:51,"F",11422,"205",258,0,"0.205","0.0"
"15",128815,2020-10-11,19:03:58,"F",11423,"166",205,0,"0.190","0.0"
"16",146915,2020-10-11,19:04:16,"F",11424,"104",122,0,"0.148","0.0"
"17",153385,2020-10-11,19:04:23,"F",11425,"121",148,0,"0.182","0.0"
"18",160465,2020-10-11,19:04:30,"F",11426,"427",533,0,"0.199","0.0"
"19",170225,2020-10-11,19:04:40,"F",11427,"162",195,0,"0.169","0.0"
"20",181865,2020-10-11,19:04:51,"F",11428,"102",293,0,"0.652","0.0"
"21",187955,2020-10-11,19:04:57,"F",11429,"108",128,0,"0.156","0.0"
"22",193605,2020-10-11,19:05:03,"F",11430,"264",335,0,"0.212","0.0"
"23",199605,2020-10-11,19:05:09,"F",11431,"308",375,0,"0.179","0.0"
"24",206125,2020-10-11,19:05:16,"F",11432,"270",310,0,"0.129","0.0"
"25",252635,2020-10-11,19:06:02,"F",11433,"29",44,0,"-","-"
"26",262995,2020-10-11,19:06:12,"F",11434,"23",57,0,"0.596","0.0"
"27",282055,2020-10-11,19:06:32,"F",11435,"43",53,0,"0.189","0.0"
"28",289615,2020-10-11,19:06:39,"F",11436,"45",67,0,"0.328","0.0"
"29",299195,2020-10-11,19:06:49,"F",11437,"87",95,0,"0.084","0.0"
"30",304675,2020-10-11,19:06:54,"F",11438,"202",445,0,"0.546","0.0"
"31",316985,2020-10-11,19:07:06,"F",11439,"41",48,0,"-","-"
"32",323025,2020-10-11,19:07:13,"F",11440,"161",183,0,"0.120","0.0"
"33",329205,2020-10-11,19:07:19,"F",11441,"72",87,0,"0.172","0.0"
"34",350155,2020-10-11,19:07:40,"F",11442,"32",36,0,"-","-"
"35",359305,2020-10-11,19:07:49,"F",11443,"42",67,0,"0.373","0.0"
"36",367765,2020-10-11,19:07:57,"F",11444,"62",96,0,"0.354","0.0"
