dttm,hm,sp,temp,max_temp,tank_set,tank_id
2020-10-11T13:17:16Z,13:17,30.28,30.25,35,starboard,S4
2020-10-11T13:17:16Z,13:17,30.33,30.12,36,starboard,S3
2020-10-11T13:17:16Z,13:17,30.39,30.12,37,starboard,S2
2020-10-11T13:17:16Z,13:17,30.44,30.12,38,starboard,S1
2020-10-11T13:17:22Z,13:17,30.28,30.25,35,starboard,S4
2020-10-11T13:17:22Z,13:17,30.33,30.12,36,starboard,S3
2020-10-11T13:17:22Z,13:17,30.39,30.12,37,starboard,S2
2020-10-11T13:17:22Z,13:17,30.44,30.12,38,starboard,S1
2020-10-11T13:17:27Z,13:17,30.28,30.31,35,starboard,S4
2020-10-11T13:17:27Z,13:17,30.33,30.12,36,starboard,S3
2020-10-11T13:17:27Z,13:17,30.39,30.12,37,starboard,S2
2020-10-11T13:17:27Z,13:17,30.44,30.12,38,starboard,S1
2020-10-11T13:17:33Z,13:17,30.28,30.31,35,starboard,S4
2020-10-11T13:17:33Z,13:17,30.33,30.12,36,starboard,S3
2020-10-11T13:17:33Z,13:17,30.39,30.12,37,starboard,S2
2020-10-11T13:17:33Z,13:17,30.44,30.12,38,starboard,S1
2020-10-11T13:17:38Z,13:17,30.28,30.31,35,starboard,S4
2020-10-11T13:17:38Z,13:17,30.33,30.12,36,starboard,S3
2020-10-11T13:17:38Z,13:17,30.39,30.12,37,starboard,S2
2020-10-11T13:17:38Z,13:17,30.44,30.12,38,starboard,S1
2020-10-11T13:17:44Z,13:17,30.28,30.31,35,starboard,S4
2020-10-11T13:17:44Z,13:17,30.33,30.19,36,starboard,S3
2020-10-11T13:17:44Z,13:17,30.39,30.12,37,starboard,S2
2020-10-11T13:17:44Z,13:17,30.44,30.12,38,starboard,S1
2020-10-11T13:17:50Z,13:17,30.33,30.31,35,starboard,S4
2020-10-11T13:17:50Z,13:17,30.4,30.12,36,starboard,S3
2020-10-11T13:17:50Z,13:17,30.47,30.12,37,starboard,S2
2020-10-11T13:17:50Z,13:17,30.53,30.12,38,starboard,S1
2020-10-11T13:17:55Z,13:17,30.33,30.31,35,starboard,S4
2020-10-11T13:17:55Z,13:17,30.4,30.19,36,starboard,S3
2020-10-11T13:17:55Z,13:17,30.47,30.12,37,starboard,S2
2020-10-11T13:17:55Z,13:17,30.53,30.12,38,starboard,S1
2020-10-11T13:18:00Z,13:18,30.33,30.31,35,starboard,S4
2020-10-11T13:18:00Z,13:18,30.4,30.19,36,starboard,S3
2020-10-11T13:18:00Z,13:18,30.47,30.19,37,starboard,S2
2020-10-11T13:18:00Z,13:18,30.53,30.12,38,starboard,S1
2020-10-11T13:18:06Z,13:18,30.33,30.31,35,starboard,S4
2020-10-11T13:18:06Z,13:18,30.4,30.19,36,starboard,S3
2020-10-11T13:18:06Z,13:18,30.47,30.19,37,starboard,S2
2020-10-11T13:18:06Z,13:18,30.53,30.19,38,starboard,S1
2020-10-11T13:18:11Z,13:18,30.33,30.31,35,starboard,S4
2020-10-11T13:18:11Z,13:18,30.4,30.25,36,starboard,S3
2020-10-11T13:18:11Z,13:18,30.47,30.19,37,starboard,S2
2020-10-11T13:18:11Z,13:18,30.53,30.19,38,starboard,S1
2020-10-11T13:18:17Z,13:18,30.33,30.31,35,starboard,S4
2020-10-11T13:18:17Z,13:18,30.4,30.25,36,starboard,S3
2020-10-11T13:18:17Z,13:18,30.47,30.19,37,starboard,S2
2020-10-11T13:18:17Z,13:18,30.53,30.25,38,starboard,S1
2020-10-11T13:18:22Z,13:18,30.33,30.31,35,starboard,S4
2020-10-11T13:18:22Z,13:18,30.4,30.25,36,starboard,S3
2020-10-11T13:18:22Z,13:18,30.47,30.25,37,starboard,S2
2020-10-11T13:18:22Z,13:18,30.53,30.25,38,starboard,S1
2020-10-11T13:18:28Z,13:18,30.33,30.31,35,starboard,S4
2020-10-11T13:18:28Z,13:18,30.4,30.25,36,starboard,S3
2020-10-11T13:18:28Z,13:18,30.47,30.25,37,starboard,S2
2020-10-11T13:18:28Z,13:18,30.53,30.25,38,starboard,S1
2020-10-11T13:18:33Z,13:18,30.33,30.31,35,starboard,S4
2020-10-11T13:18:33Z,13:18,30.4,30.31,36,starboard,S3
2020-10-11T13:18:33Z,13:18,30.47,30.31,37,starboard,S2
2020-10-11T13:18:33Z,13:18,30.53,30.31,38,starboard,S1
2020-10-11T13:18:39Z,13:18,30.33,30.37,35,starboard,S4
2020-10-11T13:18:39Z,13:18,30.4,30.31,36,starboard,S3
2020-10-11T13:18:39Z,13:18,30.47,30.31,37,starboard,S2
2020-10-11T13:18:39Z,13:18,30.53,30.31,38,starboard,S1
2020-10-11T13:18:44Z,13:18,30.33,30.37,35,starboard,S4
2020-10-11T13:18:44Z,13:18,30.4,30.31,36,starboard,S3
2020-10-11T13:18:44Z,13:18,30.47,30.31,37,starboard,S2
2020-10-11T13:18:44Z,13:18,30.53,30.37,38,starboard,S1
2020-10-11T13:18:51Z,13:18,30.33,30.37,35,starboard,S4
2020-10-11T13:18:51Z,13:18,30.4,30.37,36,starboard,S3
2020-10-11T13:18:51Z,13:18,30.47,30.37,37,starboard,S2
2020-10-11T13:18:51Z,13:18,30.53,30.37,38,starboard,S1
2020-10-11T13:18:57Z,13:18,30.33,30.44,35,starboard,S4
2020-10-11T13:18:57Z,13:18,30.4,30.37,36,starboard,S3
2020-10-11T13:18:57Z,13:18,30.47,30.37,37,starboard,S2
2020-10-11T13:18:57Z,13:18,30.53,30.44,38,starboard,S1
2020-10-11T13:19:02Z,13:19,30.33,30.44,35,starboard,S4
2020-10-11T13:19:02Z,13:19,30.4,30.37,36,starboard,S3
2020-10-11T13:19:02Z,13:19,30.47,30.37,37,starboard,S2
2020-10-11T13:19:02Z,13:19,30.53,30.44,38,starboard,S1
2020-10-11T13:19:08Z,13:19,30.33,30.44,35,starboard,S4
2020-10-11T13:19:08Z,13:19,30.4,30.44,36,starboard,S3
2020-10-11T13:19:08Z,13:19,30.47,30.44,37,starboard,S2
2020-10-11T13:19:08Z,13:19,30.53,30.5,38,starboard,S1
2020-10-11T13:19:13Z,13:19,30.33,30.44,35,starboard,S4
2020-10-11T13:19:13Z,13:19,30.4,30.44,36,starboard,S3
2020-10-11T13:19:13Z,13:19,30.47,30.44,37,starboard,S2
2020-10-11T13:19:13Z,13:19,30.53,30.5,38,starboard,S1
2020-10-11T13:19:19Z,13:19,30.33,30.44,35,starboard,S4
2020-10-11T13:19:19Z,13:19,30.4,30.5,36,starboard,S3
2020-10-11T13:19:19Z,13:19,30.47,30.5,37,starboard,S2
2020-10-11T13:19:19Z,13:19,30.53,30.5,38,starboard,S1
2020-10-11T13:19:24Z,13:19,30.33,30.44,35,starboard,S4
2020-10-11T13:19:24Z,13:19,30.4,30.5,36,starboard,S3
2020-10-11T13:19:24Z,13:19,30.47,30.5,37,starboard,S2
2020-10-11T13:19:24Z,13:19,30.53,30.56,38,starboard,S1
2020-10-11T13:19:30Z,13:19,30.33,30.5,35,starboard,S4
2020-10-11T13:19:30Z,13:19,30.4,30.5,36,starboard,S3
2020-10-11T13:19:30Z,13:19,30.47,30.5,37,starboard,S2
2020-10-11T13:19:30Z,13:19,30.53,30.56,38,starboard,S1
2020-10-11T13:19:35Z,13:19,30.33,30.5,35,starboard,S4
2020-10-11T13:19:35Z,13:19,30.4,30.5,36,starboard,S3
2020-10-11T13:19:35Z,13:19,30.47,30.5,37,starboard,S2
2020-10-11T13:19:35Z,13:19,30.53,30.56,38,starboard,S1
2020-10-11T13:19:41Z,13:19,30.33,30.5,35,starboard,S4
2020-10-11T13:19:41Z,13:19,30.4,30.56,36,starboard,S3
2020-10-11T13:19:41Z,13:19,30.47,30.56,37,starboard,S2
2020-10-11T13:19:41Z,13:19,30.53,30.62,38,starboard,S1
2020-10-11T13:19:46Z,13:19,30.33,30.5,35,starboard,S4
2020-10-11T13:19:46Z,13:19,30.4,30.56,36,starboard,S3
2020-10-11T13:19:46Z,13:19,30.47,30.56,37,starboard,S2
2020-10-11T13:19:46Z,13:19,30.53,30.62,38,starboard,S1
2020-10-11T13:19:52Z,13:19,30.39,30.5,35,starboard,S4
2020-10-11T13:19:52Z,13:19,30.47,30.56,36,starboard,S3
2020-10-11T13:19:52Z,13:19,30.54,30.56,37,starboard,S2
2020-10-11T13:19:52Z,13:19,30.62,30.62,38,starboard,S1
2020-10-11T13:19:57Z,13:19,30.39,30.5,35,starboard,S4
2020-10-11T13:19:57Z,13:19,30.47,30.56,36,starboard,S3
2020-10-11T13:19:57Z,13:19,30.54,30.56,37,starboard,S2
2020-10-11T13:19:57Z,13:19,30.62,30.62,38,starboard,S1
2020-10-11T13:20:03Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:03Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:03Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:03Z,13:20,30.62,30.62,38,starboard,S1
2020-10-11T13:20:08Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:08Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:08Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:08Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:14Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:14Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:14Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:14Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:19Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:19Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:19Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:19Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:25Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:25Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:25Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:25Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:30Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:30Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:30Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:30Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:36Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:36Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:36Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:36Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:41Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:41Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:41Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:41Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:47Z,13:20,30.39,30.5,35,starboard,S4
2020-10-11T13:20:47Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:47Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:47Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:54Z,13:20,30.39,30.44,35,starboard,S4
2020-10-11T13:20:54Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:54Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:54Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:20:59Z,13:20,30.39,30.44,35,starboard,S4
2020-10-11T13:20:59Z,13:20,30.47,30.56,36,starboard,S3
2020-10-11T13:20:59Z,13:20,30.54,30.62,37,starboard,S2
2020-10-11T13:20:59Z,13:20,30.62,30.69,38,starboard,S1
2020-10-11T13:21:05Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:05Z,13:21,30.47,30.56,36,starboard,S3
2020-10-11T13:21:05Z,13:21,30.54,30.62,37,starboard,S2
2020-10-11T13:21:05Z,13:21,30.62,30.69,38,starboard,S1
2020-10-11T13:21:10Z,13:21,30.39,30.44,35,starboard,S4
2020-10-11T13:21:10Z,13:21,30.47,30.56,36,starboard,S3
2020-10-11T13:21:10Z,13:21,30.54,30.62,37,starboard,S2
2020-10-11T13:21:10Z,13:21,30.62,30.69,38,starboard,S1
2020-10-11T13:21:16Z,13:21,30.39,30.44,35,starboard,S4
