"2020-10-14";"00:02:17";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-13";"20:13:19";"SCHS";"";"Chart start ";""
"5";"2020-10-13";"20:13:20";"C";"";"File Nr. 503 | File Dev. ID #1, DIVING-PAM-II:  ";""
"53545";"2020-10-13";"20:14:13";"F";"12648";"351";"1032";"0";"0.660";"0.0"
"57005";"2020-10-13";"20:14:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"59895";"2020-10-13";"20:14:19";"F";"12649";"238";"929";"0";"0.744";"0.0"
"63005";"2020-10-13";"20:14:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"65525";"2020-10-13";"20:14:25";"F";"12650";"358";"984";"0";"0.636";"0.0"
"69005";"2020-10-13";"20:14:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"71955";"2020-10-13";"20:14:31";"F";"12651";"234";"715";"0";"0.673";"0.0"
"75005";"2020-10-13";"20:14:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"81395";"2020-10-13";"20:14:41";"F";"12652";"245";"623";"0";"0.607";"0.0"
"85005";"2020-10-13";"20:14:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"86065";"2020-10-13";"20:14:46";"F";"12653";"235";"612";"0";"0.616";"0.0"
"90005";"2020-10-13";"20:14:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"99625";"2020-10-13";"20:14:59";"F";"12654";"285";"694";"0";"0.589";"0.0"
"103005";"2020-10-13";"20:15:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"103925";"2020-10-13";"20:15:03";"F";"12655";"224";"652";"0";"0.656";"0.0"
"107005";"2020-10-13";"20:15:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"109455";"2020-10-13";"20:15:09";"F";"12656";"330";"807";"0";"0.591";"0.0"
"113005";"2020-10-13";"20:15:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"116595";"2020-10-13";"20:15:16";"F";"12657";"289";"735";"0";"0.607";"0.0"
"120005";"2020-10-13";"20:15:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.4 ";""
"126555";"2020-10-13";"20:15:26";"F";"12658";"281";"853";"0";"0.671";"0.0"
