geno,f,fm,fvfm,tank_id,tank_set,max_temp
CRF098,132,272,0.515,P1,port,35
CRF098,268,582,0.54,P1,port,35
CRF008,409,895,0.543,P1,port,35
CRF008,213,460,0.537,P1,port,35
CRF053,260,542,0.52,P1,port,35
CRF053,391,753,0.481,P1,port,35
CRF039,389,754,0.484,P1,port,35
CRF039,208,349,0.404,P1,port,35
CRF118,229,511,0.552,P1,port,35
CRF118,372,709,0.475,P1,port,35
CRF019,339,680,0.501,P1,port,35
CRF019,344,526,0.346,P1,port,35
CRF033,413,651,0.366,P1,port,35
CRF033,340,587,0.421,P1,port,35
CRF076,331,550,0.398,P1,port,35
CRF076,330,604,0.454,P1,port,35
CRF087,247,479,0.484,P1,port,35
CRF087,315,556,0.433,P1,port,35
CRF043,262,453,0.422,P1,port,35
CRF043,363,590,0.385,P1,port,35
CRF108,277,543,0.49,P1,port,35
CRF108,256,449,0.43,P1,port,35
CRF040,300,654,0.541,P1,port,35
CRF040,313,537,0.417,P1,port,35
CRF051,379,652,0.419,P1,port,35
CRF051,409,892,0.541,P1,port,35
CRF095,194,357,0.457,P1,port,35
CRF095,150,249,0.398,P1,port,35
CRF032,288,457,0.37,P1,port,35
CRF032,279,473,0.41,P1,port,35
CRF113,305,487,0.374,P1,port,35
CRF113,257,613,0.581,P1,port,35
CRF112,161,404,0.601,P1,port,35
CRF112,161,265,0.392,P1,port,35
CRF029,208,375,0.445,P1,port,35
CRF029,163,219,0.256,P1,port,35
CRF085,264,439,0.399,P1,port,35
CRF085,344,628,0.452,P1,port,35
CRF094,314,586,0.464,P1,port,35
CRF094,381,684,0.443,P1,port,35
CRF121,262,508,0.484,P1,port,35
CRF121,328,620,0.471,P1,port,35
CRF024,235,380,0.382,P1,port,35
CRF024,155,239,0.351,P1,port,35
CRF098,224,407,0.45,P2,port,36
CRF098,238,449,0.47,P2,port,36
CRF008,110,154,0.286,P2,port,36
CRF008,290,491,0.409,P2,port,36
CRF053,185,269,0.312,P2,port,36
CRF053,290,397,0.27,P2,port,36
CRF039,206,253,0.186,P2,port,36
CRF039,299,378,0.209,P2,port,36
CRF118,153,198,0.227,P2,port,36
CRF118,205,277,0.26,P2,port,36
CRF019,226,325,0.305,P2,port,36
CRF019,226,303,0.254,P2,port,36
CRF033,430,520,0.173,P2,port,36
CRF033,467,568,0.178,P2,port,36
CRF076,347,473,0.266,P2,port,36
CRF076,282,367,0.232,P2,port,36
CRF087,324,450,0.28,P2,port,36
CRF087,305,419,0.272,P2,port,36
CRF043,278,504,0.448,P2,port,36
CRF043,241,573,0.579,P2,port,36
CRF108,456,672,0.321,P2,port,36
CRF108,373,537,0.305,P2,port,36
CRF040,403,506,0.204,P2,port,36
CRF040,408,480,0.15,P2,port,36
CRF051,347,453,0.234,P2,port,36
CRF051,353,635,0.444,P2,port,36
CRF095,85,128,0.336,P2,port,36
CRF095,101,128,0.211,P2,port,36
CRF032,148,229,0.354,P2,port,36
CRF032,241,392,0.385,P2,port,36
CRF113,188,265,0.291,P2,port,36
CRF113,224,324,0.309,P2,port,36
CRF112,306,366,0.164,P2,port,36
CRF112,NA,NA,NA,P2,port,36
CRF029,360,500,0.28,P2,port,36
CRF029,364,479,0.24,P2,port,36
CRF085,227,356,0.362,P2,port,36
CRF085,224,319,0.298,P2,port,36
CRF094,318,371,0.143,P2,port,36
CRF094,370,516,0.283,P2,port,36
CRF121,102,147,0.306,P2,port,36
CRF121,389,476,0.183,P2,port,36
CRF024,174,207,0.159,P2,port,36
CRF024,139,213,0.347,P2,port,36
CRF098,21,28,NA,P3,port,37
CRF098,41,71,0.423,P3,port,37
CRF008,187,254,0.264,P3,port,37
CRF008,199,314,0.366,P3,port,37
CRF053,225,279,0.194,P3,port,37
CRF053,116,148,0.216,P3,port,37
CRF039,18,23,NA,P3,port,37
CRF039,10,38,NA,P3,port,37
CRF118,18,38,NA,P3,port,37
CRF118,11,45,NA,P3,port,37
CRF019,150,197,0.239,P3,port,37
CRF019,121,152,0.204,P3,port,37
CRF033,334,448,0.254,P3,port,37
CRF033,271,338,0.198,P3,port,37
CRF076,151,230,0.343,P3,port,37
CRF076,213,314,0.322,P3,port,37
CRF087,202,274,0.263,P3,port,37
CRF087,179,241,0.257,P3,port,37
CRF043,188,260,0.277,P3,port,37
CRF043,118,167,0.293,P3,port,37
CRF108,162,230,0.296,P3,port,37
CRF108,131,180,0.272,P3,port,37
CRF040,251,329,0.237,P3,port,37
CRF040,316,498,0.365,P3,port,37
CRF051,43,62,0.306,P3,port,37
CRF051,33,68,0.515,P3,port,37
CRF095,83,148,0.439,P3,port,37
CRF095,187,264,0.292,P3,port,37
CRF032,168,266,0.368,P3,port,37
CRF032,187,233,0.197,P3,port,37
CRF113,180,267,0.326,P3,port,37
CRF113,295,374,0.211,P3,port,37
CRF112,141,208,0.322,P3,port,37
CRF112,121,209,0.421,P3,port,37
CRF029,142,200,0.29,P3,port,37
CRF029,162,227,0.286,P3,port,37
CRF085,157,297,0.471,P3,port,37
CRF085,307,367,0.163,P3,port,37
CRF094,120,198,0.394,P3,port,37
CRF094,101,174,0.42,P3,port,37
CRF121,121,190,0.363,P3,port,37
CRF121,109,201,0.458,P3,port,37
CRF024,105,240,0.563,P3,port,37
CRF024,140,266,0.474,P3,port,37
CRF098,135,154,0.123,P4,port,38
CRF098,135,179,0.246,P4,port,38
CRF008,141,175,0.194,P4,port,38
CRF008,138,186,0.258,P4,port,38
CRF053,150,264,0.432,P4,port,38
CRF053,147,147,0,P4,port,38
CRF039,9,70,NA,P4,port,38
CRF039,81,103,0.214,P4,port,38
CRF118,41,61,0.328,P4,port,38
CRF118,40,49,NA,P4,port,38
CRF019,252,296,0.149,P4,port,38
CRF019,90,107,0.159,P4,port,38
CRF033,313,434,0.279,P4,port,38
CRF033,198,314,0.369,P4,port,38
CRF076,262,322,0.186,P4,port,38
CRF076,152,193,0.212,P4,port,38
CRF087,87,114,0.237,P4,port,38
CRF087,102,129,0.209,P4,port,38
CRF043,229,300,0.237,P4,port,38
CRF043,88,122,0.279,P4,port,38
CRF108,109,176,0.381,P4,port,38
CRF108,342,399,0.143,P4,port,38
CRF040,141,252,0.44,P4,port,38
CRF040,256,293,0.126,P4,port,38
CRF051,30,46,NA,P4,port,38
CRF051,33,51,0.353,P4,port,38
CRF095,214,263,0.186,P4,port,38
CRF095,221,340,0.35,P4,port,38
CRF032,129,172,0.25,P4,port,38
CRF032,83,103,0.194,P4,port,38
CRF113,77,90,0.144,P4,port,38
CRF113,62,93,0.333,P4,port,38
CRF112,20,49,NA,P4,port,38
CRF112,25,46,NA,P4,port,38
CRF029,212,267,0.206,P4,port,38
CRF029,134,232,0.422,P4,port,38
CRF085,108,134,0.194,P4,port,38
CRF085,103,132,0.22,P4,port,38
CRF094,84,167,0.497,P4,port,38
CRF094,107,158,0.323,P4,port,38
CRF121,62,81,0.235,P4,port,38
CRF121,86,102,0.157,P4,port,38
CRF024,89,116,0.233,P4,port,38
CRF024,103,135,0.237,P4,port,38
CRF098,185,409,0.548,P5,port,34
CRF098,218,608,0.641,P5,port,34
CRF008,347,940,0.631,P5,port,34
CRF008,333,890,0.626,P5,port,34
CRF053,262,567,0.538,P5,port,34
CRF053,232,539,0.57,P5,port,34
CRF039,329,730,0.549,P5,port,34
CRF039,277,624,0.556,P5,port,34
CRF118,256,550,0.535,P5,port,34
CRF118,259,576,0.55,P5,port,34
CRF019,140,282,0.504,P5,port,34
CRF019,247,567,0.564,P5,port,34
CRF033,197,405,0.514,P5,port,34
CRF033,184,373,0.507,P5,port,34
CRF076,233,540,0.569,P5,port,34
CRF076,281,713,0.606,P5,port,34
CRF087,231,648,0.644,P5,port,34
CRF087,282,736,0.617,P5,port,34
CRF043,294,551,0.466,P5,port,34
