Serial Number:20835041 --

"Date Time, GMT -0500","Temp, (*C)","Intensity, ( lux)","Host Connect","Button Down","Button Up","EOF"
2020-11-04 12:18:32,24.79,74, , , , 
2020-11-04 12:18:43, , ,Logged, , , 
2020-11-04 12:19:32,25.01,274, , , , 
2020-11-04 12:20:32,24.97,97, , , , 
2020-11-04 12:21:32,24.88,137, , , , 
2020-11-04 12:22:32,24.84,237, , , , 
2020-11-04 12:23:32,24.79,162, , , , 
2020-11-04 12:24:32,24.75,260, , , , 
2020-11-04 12:25:16, , , ,Logged,Logged, 
2020-11-04 12:25:32,24.71,236, , , , 
2020-11-04 12:26:32,24.79,120, , , , 
2020-11-04 12:27:32,24.75,240, , , , 
2020-11-04 12:28:32,24.88,131, , , , 
2020-11-04 12:29:32,24.97,238, , , , 
2020-11-04 12:30:32,25.09,238, , , , 
2020-11-04 12:31:32,25.14,233, , , , 
2020-11-04 12:32:32,25.14,240, , , , 
2020-11-04 12:33:32,25.18,230, , , , 
2020-11-04 12:34:32,25.18,225, , , , 
2020-11-04 12:35:32,25.18,225, , , , 
2020-11-04 12:36:32,25.14,226, , , , 
2020-11-04 12:37:32,25.14,226, , , , 
2020-11-04 12:38:32,25.18,226, , , , 
2020-11-04 12:39:32,25.18,226, , , , 
2020-11-04 12:40:32,25.14,227, , , , 
2020-11-04 12:41:32,25.05,227, , , , 
2020-11-04 12:42:32,25.14,228, , , , 
2020-11-04 12:43:32,25.09,228, , , , 
2020-11-04 12:44:32,25.09,228, , , , 
2020-11-04 12:45:32,25.05,228, , , , 
2020-11-04 12:46:32,25.05,229, , , , 
2020-11-04 12:47:32,25.01,229, , , , 
2020-11-04 12:48:32,24.97,229, , , , 
2020-11-04 12:49:32,25.01,230, , , , 
2020-11-04 12:50:32,25.01,230, , , , 
2020-11-04 12:51:32,24.97,230, , , , 
2020-11-04 12:52:32,24.97,228, , , , 
2020-11-04 12:53:32,24.92,229, , , , 
2020-11-04 12:54:32,24.92,229, , , , 
2020-11-04 12:55:32,24.88,230, , , , 
2020-11-04 12:56:32,24.88,230, , , , 
2020-11-04 12:57:32,24.88,230, , , , 
2020-11-04 12:58:32,24.84,230, , , , 
2020-11-04 12:59:32,24.79,230, , , , 
2020-11-04 13:00:32,24.75,230, , , , 
2020-11-04 13:01:32,24.75,230, , , , 
2020-11-04 13:02:32,24.79,230, , , , 
2020-11-04 13:03:32,24.71,230, , , , 
2020-11-04 13:04:32,24.71,230, , , , 
2020-11-04 13:05:32,24.71,230, , , , 
2020-11-04 13:06:32,24.66,230, , , , 
2020-11-04 13:07:32,24.66,230, , , , 
2020-11-04 13:08:32,24.66,228, , , , 
2020-11-04 13:09:32,24.58,230, , , , 
2020-11-04 13:10:32,24.62,230, , , , 
2020-11-04 13:11:32,24.58,230, , , , 
2020-11-04 13:12:32,24.58,230, , , , 
2020-11-04 13:13:32,24.58,230, , , , 
2020-11-04 13:14:32,24.58,230, , , , 
2020-11-04 13:15:32,24.54,230, , , , 
2020-11-04 13:16:32,24.45,230, , , , 
2020-11-04 13:17:32,24.54,230, , , , 
2020-11-04 13:18:32,24.45,230, , , , 
2020-11-04 13:19:32,24.45,230, , , , 
2020-11-04 13:20:32,24.41,229, , , , 
2020-11-04 13:21:32,24.41,230, , , , 
2020-11-04 13:22:32,24.36,230, , , , 
2020-11-04 13:23:32,24.36,230, , , , 
2020-11-04 13:24:32,24.32,230, , , , 
2020-11-04 13:25:32,24.36,230, , , , 
2020-11-04 13:26:32,24.32,231, , , , 
2020-11-04 13:27:32,24.28,229, , , , 
